input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,final_url,tls_expired,csp_domains_,cdn_name,cdn
01.baidu.com,,500,21,01.baidu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-07-05T05:16:02Z,2023-08-06T05:16:01Z,"CN=baidu.com, O=Beijing Baidu Netcom Science Technology Co.\, Ltd, OU=service operation department, L=beijing, ST=beijing, C=CN",baidu.com,"Beijing Baidu Netcom Science Technology Co., Ltd",update.pan.baidu.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,ed1949098287a63d206f549a22918c38,9ee66a02e0af04405c3e9570b039427af237cab3404d42d56dad235969ce626a,True,ctls,01.baidu.com,443,https://01.baidu.com:443,https,,text/plain,GET,110.242.68.125,/,44395602,110.242.68.125,,1,False,,,,,
100.baidu.com,交付平台,200,1025,100.baidu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-07-05T05:16:02Z,2023-08-06T05:16:01Z,"CN=baidu.com, O=Beijing Baidu Netcom Science Technology Co.\, Ltd, OU=service operation department, L=beijing, ST=beijing, C=CN",baidu.com,"Beijing Baidu Netcom Science Technology Co., Ltd",update.pan.baidu.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,ed1949098287a63d206f549a22918c38,9ee66a02e0af04405c3e9570b039427af237cab3404d42d56dad235969ce626a,True,ctls,100.baidu.com,443,https://100.baidu.com:443,https,nginx/1.20.1,text/html,GET,223.109.81.78,/,-2101860634,124.237.177.90,Nginx:1.20.1,3,False,,,,,
11.baidu.com,,500,,11.baidu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-07-05T05:16:02Z,2023-08-06T05:16:01Z,"CN=baidu.com, O=Beijing Baidu Netcom Science Technology Co.\, Ltd, OU=service operation department, L=beijing, ST=beijing, C=CN",baidu.com,"Beijing Baidu Netcom Science Technology Co., Ltd",update.pan.baidu.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,ed1949098287a63d206f549a22918c38,9ee66a02e0af04405c3e9570b039427af237cab3404d42d56dad235969ce626a,True,ctls,11.baidu.com,443,https://11.baidu.com:443,https,bfe,text/plain,GET,182.61.62.50,/,-1840324437,182.61.62.50,,1,False,,,,,
110.baidu.com,反诈中心,200,2461,110.baidu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-07-05T05:16:02Z,2023-08-06T05:16:01Z,"CN=baidu.com, O=Beijing Baidu Netcom Science Technology Co.\, Ltd, OU=service operation department, L=beijing, ST=beijing, C=CN",baidu.com,"Beijing Baidu Netcom Science Technology Co., Ltd",update.pan.baidu.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,ed1949098287a63d206f549a22918c38,9ee66a02e0af04405c3e9570b039427af237cab3404d42d56dad235969ce626a,True,ctls,110.baidu.com,443,https://110.baidu.com:443,https,Apache,text/html,GET,180.101.49.171,/,-830443744,124.237.176.84,React,1,False,,,,,
1111.baidu.com,页面不存在_百度搜索,200,19531,,,,,,,,,,,,,,,,,,,,,443,https://1111.baidu.com:443,https,Apache,text/html,GET,153.37.235.31,/,-1382194732,153.37.235.31,Apache,539,False,http://www.baidu.com/search/error.html?tc=06761303090348112650060322,,,,
1212.baidu.com,,404,9,1212.baidu.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-01T00:00:00Z,2024-03-31T23:59:59Z,CN=1212.baidu.com,1212.baidu.com,,www.1212.baidu.com,"CN=Baidu\, Inc. DV CA, O=Baidu\, Inc., C=CN","Baidu, Inc. DV CA","Baidu, Inc.",bf3eb5f6ae7bbf9ba99dd79835dca4e8,d811ea98577f12b8bb38f94c8b853dfa891ef50cc786ed3936aad1cdf98bb515,,ctls,1212.baidu.com,443,https://1212.baidu.com:443,https,JSP3/2.0.14,text/plain,GET,104.193.90.80,/,-738705486,104.193.90.80,,1,False,,,,,
123.baidu.com,百度一下，你就知道,200,384601,123.baidu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-07-05T05:16:02Z,2023-08-06T05:16:01Z,"CN=baidu.com, O=Beijing Baidu Netcom Science Technology Co.\, Ltd, OU=service operation department, L=beijing, ST=beijing, C=CN",baidu.com,"Beijing Baidu Netcom Science Technology Co., Ltd",update.pan.baidu.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,ed1949098287a63d206f549a22918c38,9ee66a02e0af04405c3e9570b039427af237cab3404d42d56dad235969ce626a,True,ctls,123.baidu.com,443,https://123.baidu.com:443,https,BWS/1.1,text/html,GET,103.235.46.40,/,-1588080585,103.235.46.40,HSTS,1636,False,,,https://njjs-chat.baidu.com,,
12306.hao123.com,,200,89,img.hao123.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-07-05T05:16:02Z,2023-08-06T05:16:01Z,"CN=baidu.com, O=Beijing Baidu Netcom Science Technology Co.\, Ltd, OU=service operation department, L=beijing, ST=beijing, C=CN",baidu.com,"Beijing Baidu Netcom Science Technology Co., Ltd",update.pan.baidu.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,ed1949098287a63d206f549a22918c38,9ee66a02e0af04405c3e9570b039427af237cab3404d42d56dad235969ce626a,True,ctls,img.hao123.com,443,https://12306.hao123.com:443,https,JSP3/2.0.14,text/html,GET,103.235.46.234,/,537243814,103.235.46.234,,2,False,https://img.hao123.com/manual_res_2023/redict/to_www.html,,https://www.hao123.com?from=offline_host,,
2012.baidu.com,,404,,2012.baidu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-07-05T05:16:02Z,2023-08-06T05:16:01Z,"CN=baidu.com, O=Beijing Baidu Netcom Science Technology Co.\, Ltd, OU=service operation department, L=beijing, ST=beijing, C=CN",baidu.com,"Beijing Baidu Netcom Science Technology Co., Ltd",update.pan.baidu.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,ed1949098287a63d206f549a22918c38,9ee66a02e0af04405c3e9570b039427af237cab3404d42d56dad235969ce626a,True,ctls,2012.baidu.com,443,https://2012.baidu.com:443,https,,application/x-gzip,GET,103.235.46.122,/,-1840324437,103.235.46.122,,1,False,,,,,
2014.baidu.com,,404,,2014.baidu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-07-05T05:16:02Z,2023-08-06T05:16:01Z,"CN=baidu.com, O=Beijing Baidu Netcom Science Technology Co.\, Ltd, OU=service operation department, L=beijing, ST=beijing, C=CN",baidu.com,"Beijing Baidu Netcom Science Technology Co., Ltd",update.pan.baidu.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,ed1949098287a63d206f549a22918c38,9ee66a02e0af04405c3e9570b039427af237cab3404d42d56dad235969ce626a,True,ctls,2014.baidu.com,443,https://2014.baidu.com:443,https,,application/x-gzip,GET,103.235.46.122,/,-1840324437,103.235.46.122,,1,False,,,,,
