input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_,final_url
admin-testnet.pandora.digital,502 Bad Gateway,502,176,admin-testnet.pandora.digital,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-26T00:00:00Z,2023-10-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.pandora.digital,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ed85a0a061c686fe2b5be36b737f24a6,84bcf6513e32a5d78b82ec14f81f397e9e1baca35fd35e4469c96b74d432fa2e,True,ctls,admin-testnet.pandora.digital,cloudflare,443,https://admin-testnet.pandora.digital:443,https,cloudflare,text/html,GET,188.114.97.3,/,-767018978,2a06:98c1:3120::3,HTTP/3,8,False,True,,,
admin-testnet2.pandora.digital,Microsoft Azure Web App - Error 404,404,2667,admin-testnet2.pandora.digital,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-10T03:05:55Z,2024-03-04T03:05:55Z,"CN=*.azurewebsites.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azurewebsites.net,Microsoft Corporation,*.sso.azurewebsites.net,"CN=Microsoft Azure TLS Issuing CA 02, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 02,Microsoft Corporation,34e8bb57e6dfaa5c2aa7153ca66267a8,5a3902ccc4b77e83d8334c36f36b280ba75f4bad0bdd844ce57816586fd07609,True,ctls,admin-testnet2.pandora.digital,,443,https://admin-testnet2.pandora.digital:443,https,,text/html,GET,20.118.56.12,/,387302845,20.118.56.12,,87,False,,True,,
admin.pandora.digital,,403,16,admin.pandora.digital,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-26T00:00:00Z,2023-10-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.pandora.digital,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ed85a0a061c686fe2b5be36b737f24a6,84bcf6513e32a5d78b82ec14f81f397e9e1baca35fd35e4469c96b74d432fa2e,True,ctls,admin.pandora.digital,cloudflare,443,https://admin.pandora.digital:443,https,cloudflare,text/plain,GET,188.114.97.3,/,1253481126,2a06:98c1:3120::3,HTTP/3,1,False,True,,,
api.pandora.digital,Error,404,139,api.pandora.digital,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-26T00:00:00Z,2023-10-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.pandora.digital,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ed85a0a061c686fe2b5be36b737f24a6,84bcf6513e32a5d78b82ec14f81f397e9e1baca35fd35e4469c96b74d432fa2e,True,ctls,api.pandora.digital,cloudflare,443,https://api.pandora.digital:443,https,cloudflare,text/html,GET,188.114.97.3,/,1593207841,2a06:98c1:3121::3,Node.js,11,False,True,,,
dataseed3.pandora.digital,404 Not Found,404,172,dataseed3.pandora.digital,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-26T00:00:00Z,2023-10-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.pandora.digital,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ed85a0a061c686fe2b5be36b737f24a6,84bcf6513e32a5d78b82ec14f81f397e9e1baca35fd35e4469c96b74d432fa2e,True,ctls,dataseed3.pandora.digital,cloudflare,443,https://dataseed3.pandora.digital:443,https,cloudflare,text/html,GET,188.114.96.3,/,-463759846,2a06:98c1:3120::3,HTTP/3,8,False,True,,,
dataseed4.pandora.digital,404 Not Found,404,172,dataseed4.pandora.digital,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-26T00:00:00Z,2023-10-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.pandora.digital,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ed85a0a061c686fe2b5be36b737f24a6,84bcf6513e32a5d78b82ec14f81f397e9e1baca35fd35e4469c96b74d432fa2e,True,ctls,dataseed4.pandora.digital,cloudflare,443,https://dataseed4.pandora.digital:443,https,cloudflare,text/html,GET,188.114.96.3,/,-463759846,2a06:98c1:3120::3,HTTP/3,8,False,True,,,
dataseed6.pandora.digital,,200,,dataseed6.pandora.digital,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-26T00:00:00Z,2023-10-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.pandora.digital,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ed85a0a061c686fe2b5be36b737f24a6,84bcf6513e32a5d78b82ec14f81f397e9e1baca35fd35e4469c96b74d432fa2e,True,ctls,dataseed6.pandora.digital,cloudflare,443,https://dataseed6.pandora.digital:443,https,cloudflare,,GET,188.114.97.3,/,-1840324437,2a06:98c1:3121::3,HTTP/3,1,False,True,,,
dev-sign.pandora.digital,,403,16,dev-sign.pandora.digital,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-26T00:00:00Z,2023-10-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.pandora.digital,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ed85a0a061c686fe2b5be36b737f24a6,84bcf6513e32a5d78b82ec14f81f397e9e1baca35fd35e4469c96b74d432fa2e,True,ctls,dev-sign.pandora.digital,cloudflare,443,https://dev-sign.pandora.digital:443,https,cloudflare,text/plain,GET,188.114.97.3,/,1253481126,2a06:98c1:3120::3,HTTP/3,1,False,True,,,
dev.pandora.digital,,403,16,dev.pandora.digital,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-26T00:00:00Z,2023-10-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.pandora.digital,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ed85a0a061c686fe2b5be36b737f24a6,84bcf6513e32a5d78b82ec14f81f397e9e1baca35fd35e4469c96b74d432fa2e,True,ctls,dev.pandora.digital,cloudflare,443,https://dev.pandora.digital:443,https,cloudflare,text/plain,GET,188.114.96.3,/,1253481126,2a06:98c1:3120::3,HTTP/3,1,False,True,,,
devapi.pandora.digital,,403,16,devapi.pandora.digital,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-26T00:00:00Z,2023-10-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.pandora.digital,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ed85a0a061c686fe2b5be36b737f24a6,84bcf6513e32a5d78b82ec14f81f397e9e1baca35fd35e4469c96b74d432fa2e,True,ctls,devapi.pandora.digital,cloudflare,443,https://devapi.pandora.digital:443,https,cloudflare,text/plain,GET,188.114.96.3,/,1253481126,2a06:98c1:3121::3,HTTP/3,1,False,True,,,
