new,host,ttl,a,mx,soa,txt,status_code,cname,aaaa,cdn,cdn-name,ns,caa,has_internal_ips,internal_ips
[x],_spf.exness.com,900,,,"{'name': 'exness.com', 'ns': 'ns-1334.awsdns-38.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.com', 'ns': 'ns-1334.awsdns-38.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.com', 'ns': 'ns-1334.awsdns-38.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.com', 'ns': 'ns-1334.awsdns-38.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.com', 'ns': 'ns-1334.awsdns-38.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.com', 'ns': 'ns-1334.awsdns-38.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.com', 'ns': 'ns-1334.awsdns-38.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",v=spf1 a mx ip4:193.194.119.185 ip4:193.194.119.186 ip4:193.194.119.187 ip4:193.194.119.188 ip4:193.194.119.189 ip4:188.72.207.158 ip4:193.194.119.166 ip4:193.194.119.184  ~all,NOERROR,,,,,,,,
[x],exness.asia,900,,,"{'name': 'exness.asia', 'ns': 'ns-1017.awsdns-63.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.asia', 'ns': 'ns-1017.awsdns-63.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.asia', 'ns': 'ns-1017.awsdns-63.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","globalsign-domain-verification=F524367A36779C9D7D19585BE2C9FD38, globalsign-domain-verification=3a98cdd88c7c71dd4c9537888d036867, 2zanw.x.incapdns.net, google-site-verification=Q1sAPnedUrpaVBkoG-lGTScP38cx_PSrhw0kHzOJO-M, facebook-domain-verification=xppjo9c8oglx0uamfytargk65fi0j6, globalsign-domain-verification=466D2766B36C71358AA712E53BF9FF80, _globalsign-domain-verification=N7XfG1q6nNAcBty1O7VUb8q6Mt0TnTwcqnSQaXWxdl, _globalsign-domain-verification=gEeBCDTnZbIRkuwW2mYAeMTJN7u1_SCsaxdCj-MEjt, globalsign-domain-verification=51534CA9C7D28F55C9871BB573CB3C24, google-site-verification=xrLQ0Ycb8Wb67xiidkffA6lREvwAnXmgqFJ1vzB_Oo8, google-site-verification=hwgoA9aIBMXLvr4rl7Fpnk38k9lAft9oZihwP8-VkiQ, globalsign-domain-verification=mmIvs8LksTdZj0P9rVgFlRxD-7p22lMCO2ggSoSHPn, globalsign-domain-verification=5E8B0B4E837287A0C539D11525D2B225, globalsign-domain-verification=71d88b6be5830c03eacb7a7b4517f823",NOERROR,,,,,"ns-1544.awsdns-01.co.uk, ns-1017.awsdns-63.net, ns-1086.awsdns-07.org, ns-28.awsdns-03.com",,,
[x],exness.com,300,"45.60.78.64, 45.60.133.64","aspmx3.googlemail.com, aspmx2.googlemail.com, alt2.aspmx.l.google.com, aspmx4.googlemail.com, aspmx5.googlemail.com, alt1.aspmx.l.google.com, aspmx.l.google.com","{'name': 'exness.com', 'ns': 'ns-1334.awsdns-38.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.com', 'ns': 'ns-1334.awsdns-38.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.com', 'ns': 'ns-1334.awsdns-38.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.com', 'ns': 'ns-1334.awsdns-38.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","aliyun-site-verification=0933e7e6-34f1-4ad5-b420-e13758bc292fMS=ms51262458, amazonses:fOqvnOuwnoMosH5TrWKr8gbCce7gg, apple-domain-verification=HB3FnfUSldgR3liQ, docker-verification=d4b72fa0-06fc-4178-89eb-afbdfd27a416, dropbox-domain-verification=zxyl12ns2j22cNOFah/QgY0uHU=, facebook-domain-verification=3fm2ufftaxs8928ritydjusybthsa0, globalsign-domain-verification=10383D30241B45B0B16DC13C609ACC7B, globalsign-domain-verification=39ba90d27a028317c7f679544abda097, globalsign-domain-verification=439CE283C3B7A2CF0466E208AFE4575D, globalsign-domain-verification=768e5eb6853d53c9d7584d7cdb5bb383, globalsign-domain-verification=8D71807BDEA8FFAF14547AD794EC5A21, globalsign-domain-verification=96ivngYOeV_QPfyWExQIPiAa3MQ8IkSQBTCAZoDGJM, globalsign-domain-verification=A28EC042E76F4386084755267C159035, globalsign-domain-verification=a59e94d3a959a1eb9770155143efcbfb, google-site-verification=08MspYUXrui5gnIb6xDw_f-SnEsvqf0pY4KayDwtt18, google-site-verification=I01X6Uo1cpLumJZnIcUxkzHhg6OffLwhpXsAvFjw0bw, google-site-verification=tcmRShJ0wRDQ8hLWZbdvM3bUU-sBjw-dZ8Age2hhO5g, google-site-verification=w27J8tx22HJKxQQkJkPlo9zk78qLJUod9_rg7XHQLbg, h1-domain-verification=wGqVCccn5hgxu3pfFxEfRzwYscsDe2VGbFikYtABUgp4QZ21, mailru-verification: 18d4de556f10dba7, parallels-domain-verification=3b85dc51f412427ca6384f83a9c37646f312ce9d950e46bf8ac9ae0ed10fa0bf, rm_verify=7017cbf890, twilio-domain-verification=4e9eeb978c8b203c44a59d3049f3483c, v=spf1 include:_spf.google.com include:amazonses.com include:cust-spf.exacttarget.com include:_spf.exness.com ip4:161.71.6.229/32 ip4:161.71.6.230/32 ip4:161.71.6.237/32 ip4:161.71.6.238/32 ~all, yandex-verification: 41d8cf8d1bfb41cc, yandex-verification: 4393f88e0a1d7f1d, yandex-verification: 4578626f6da2670a, yandex-verification: 497d489e31b1fc22, SFMC-NrFuJKrkJ-diItnfKY0YTBJk9jih0IzmqyIDEcck, _globalsign-domain-verification=gEeBCDTnZbIRkuwW2mYAeMTJN7u1_SCsaxdCj-MEjt",NOERROR,,,,,"ns-101.awsdns-12.com, ns-1693.awsdns-19.co.uk, ns-1334.awsdns-38.org, ns-845.awsdns-41.net",,,
[x],exnessaffiliates.com,900,"107.154.216.37, 107.154.192.37",,"{'name': 'exnessaffiliates.com', 'ns': 'ns-1512.awsdns-61.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exnessaffiliates.com', 'ns': 'ns-1512.awsdns-61.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exnessaffiliates.com', 'ns': 'ns-1512.awsdns-61.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exnessaffiliates.com', 'ns': 'ns-1512.awsdns-61.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exnessaffiliates.com', 'ns': 'ns-1512.awsdns-61.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","google-site-verification=GrWP2N6eSc8zcH0mvXKnwfDTS41_4exu3Uu9TogW0ps, globalsign-domain-verification=A4E077A54EC5918EDB4E28C08F5B136D, google-site-verification=i1rnX0BNNyfClJapGmECnAP5rjdcmxRVe1gHkSlp1Ic, v=spf1 include:_spf.google.com include:amazonses.com include:cust-spf.exacttarget.com include:_spf.exness.com ip4:161.71.6.229/32 ip4:161.71.6.230/32 ip4:161.71.6.237/32 ip4:161.71.6.238/32 ~all, _globalsign-domain-verification=lNaVN-033uhdsLnzsP9lfwA9VE1l3pZAP_7fPGYi3u, google-site-verification=YGLa-RfiMsAvVydkbmYOO1LoQ2ireaTvCIIWS0nTObE, _globalsign-domain-verification=N7XfG1q6nNAcBty1O7VUb8q6Mt0TnTwcqnSQaXWxdl, _globalsign-domain-verification=30JhdIt3i14OXHK9XjDfR5Q0hGQ7Fi32pj2m7jHZsx",NOERROR,,,,,"ns-1512.awsdns-61.org, ns-1577.awsdns-05.co.uk, ns-201.awsdns-25.com, ns-927.awsdns-51.net",,,
[x],insights.exness.com,300,,,"{'name': 'impervadns.net', 'ns': 'ns1.impervadns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 3001, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'impervadns.net', 'ns': 'ns1.impervadns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 3001, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'impervadns.net', 'ns': 'ns1.impervadns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 3001, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'impervadns.net', 'ns': 'ns1.impervadns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 3001, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 600}, {'name': 'impervadns.net', 'ns': 'ns1.impervadns.net', 'mailbox': 'hostmaster.incapsula.com', 'serial': 3001, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 600}",,NOERROR,v6rhgpm.ng.impervadns.net,,,,,,,
[x],npw-acs-asia-slb1.exness.asia,300,47.57.145.2,,"{'name': 'exness.asia', 'ns': 'ns-1017.awsdns-63.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.asia', 'ns': 'ns-1017.awsdns-63.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.asia', 'ns': 'ns-1017.awsdns-63.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.asia', 'ns': 'ns-1017.awsdns-63.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.asia', 'ns': 'ns-1017.awsdns-63.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,NOERROR,,,,,,,,
,backup2.exness.com,3600,5.254.106.151,,"{'name': 'exness.com', 'ns': 'ns-1334.awsdns-38.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.com', 'ns': 'ns-1334.awsdns-38.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.com', 'ns': 'ns-1334.awsdns-38.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.com', 'ns': 'ns-1334.awsdns-38.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.com', 'ns': 'ns-1334.awsdns-38.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,NOERROR,,,,,,,,
,blog.exness.asia,157,13.251.232.145,,"{'name': 'exness.asia', 'ns': 'ns-1017.awsdns-63.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.asia', 'ns': 'ns-1017.awsdns-63.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.asia', 'ns': 'ns-1017.awsdns-63.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.asia', 'ns': 'ns-1017.awsdns-63.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.asia', 'ns': 'ns-1017.awsdns-63.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,NOERROR,,,,,,,,
,blog.exness.com,300,13.251.232.145,,"{'name': 'exness.com', 'ns': 'ns-1334.awsdns-38.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.com', 'ns': 'ns-1334.awsdns-38.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'exness.com', 'ns': 'ns-1334.awsdns-38.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,NOERROR,,,,,,,,
,brand.exness.com,300,13.49.11.25,,"{'name': 'corebook.io', 'ns': 'ns55.domaincontrol.com', 'mailbox': 'dns.jomax.net', 'serial': 2024042500, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 600}, {'name': 'corebook.io', 'ns': 'ns55.domaincontrol.com', 'mailbox': 'dns.jomax.net', 'serial': 2024042500, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 600}, {'name': 'corebook.io', 'ns': 'ns55.domaincontrol.com', 'mailbox': 'dns.jomax.net', 'serial': 2024042500, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 600}, {'name': 'corebook.io', 'ns': 'ns55.domaincontrol.com', 'mailbox': 'dns.jomax.net', 'serial': 2024042500, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 600}, {'name': 'corebook.io', 'ns': 'ns55.domaincontrol.com', 'mailbox': 'dns.jomax.net', 'serial': 2024042500, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 600}",,NOERROR,domain.corebook.io,,,,"ns56.domaincontrol.com, ns55.domaincontrol.com, ns-101.awsdns-12.com, ns-1334.awsdns-38.org, ns-1693.awsdns-19.co.uk, ns-845.awsdns-41.net",,,
