input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,webserver,tls_expired,final_url,csp_domains_,location
aaaa.t-mobile.cz,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,cloudfront,80,http://aaaa.t-mobile.cz:80,http,text/html,GET,18.66.112.26,/,118807249,2600:9000:223f:5800:1:9bc:d2c0:93a1,Amazon Web Services,20,False,True,,,,CloudFront,,,,
adp1.uc.dc.t-mobile.cz,HTTP Status 404 – Not Found,404,431,adp1.uc.dc.t-mobile.cz,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-10T07:16:58Z,2024-04-09T23:59:59Z,"L=Prague, ST=capital city Prague, CN=adp.uc.dc.t-mobile.cz, O=T-Mobile Czech Republic a.s., C=CZ",adp.uc.dc.t-mobile.cz,adp2.uc.dc.t-mobile.cz,"CN=TeleSec Business TLS-CA 2022, O=Deutsche Telekom Security GmbH, C=DE",TeleSec Business TLS-CA 2022,Deutsche Telekom Security GmbH,841988951e5d2637ab47307d201a6b61,4058572c70f3f417f659a82c63f92ca34bfb7210e2e1ae6f9baafff6645eae78,ctls,adp1.uc.dc.t-mobile.cz,,443,https://adp1.uc.dc.t-mobile.cz:443,https,text/html,GET,62.77.70.10,/,-230353730,62.77.70.10,,1,False,,,T-Mobile Czech Republic a.s.,,HTTP Server,,,,
adp2.uc.dc.t-mobile.cz,HTTP Status 404 – Not Found,404,431,adp2.uc.dc.t-mobile.cz,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-10T07:16:58Z,2024-04-09T23:59:59Z,"L=Prague, ST=capital city Prague, CN=adp.uc.dc.t-mobile.cz, O=T-Mobile Czech Republic a.s., C=CZ",adp.uc.dc.t-mobile.cz,adp2.uc.dc.t-mobile.cz,"CN=TeleSec Business TLS-CA 2022, O=Deutsche Telekom Security GmbH, C=DE",TeleSec Business TLS-CA 2022,Deutsche Telekom Security GmbH,841988951e5d2637ab47307d201a6b61,4058572c70f3f417f659a82c63f92ca34bfb7210e2e1ae6f9baafff6645eae78,ctls,adp2.uc.dc.t-mobile.cz,,443,https://adp2.uc.dc.t-mobile.cz:443,https,text/html,GET,62.77.70.11,/,-230353730,62.77.70.11,,1,False,,,T-Mobile Czech Republic a.s.,,HTTP Server,,,,
aes.t-mobile.cz,,200,,aes.t-mobile.cz,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-04-17T08:55:14Z,2024-05-16T08:55:14Z,"CN=*.t-mobile.cz, O=T-Mobile Czech Republic a.s., L=Praha 4, C=CZ",*.t-mobile.cz,t-mobile.cz,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",2a4ddf2c2d5e6f28308029daf67d83ed,6b8beb12b7eeb28571c22fe230385c337d4bdb072990d9700ce757104e7db859,ctls,aes.t-mobile.cz,,443,https://aes.t-mobile.cz:443,https,application/json,GET,62.141.14.79,/,-1840324437,62.141.14.79,,1,False,,,T-Mobile Czech Republic a.s.,True,,,,,
analytics.t-mobile.cz,Bloomreach,200,3601,analytics.t-mobile.cz,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-06T06:39:57Z,2023-10-04T07:33:51Z,CN=analytics.t-mobile.cz,analytics.t-mobile.cz,analytics.t-mobile.cz,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,da8f3d7941ff0f63feae96a4324d6227,b84a420eb01f30e27cb765283720a334e6de25395375b17d004bfc8c7e780521,ctls,analytics.t-mobile.cz,google,443,https://analytics.t-mobile.cz:443,https,text/html,GET,34.102.193.26,/,1230015318,34.102.193.26,HTTP/3,26,False,True,,,,,,,,
api-analytics.t-mobile.cz,,200,2,api-analytics.t-mobile.cz,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-25T13:08:02Z,2023-08-23T14:00:15Z,CN=api-analytics.t-mobile.cz,api-analytics.t-mobile.cz,api-analytics.t-mobile.cz,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,a2a1c15d0181e0af27540e34e33ac74e,35ede8426b7f9181ca22f2fb402e3be20651fa1c612bec9e05eea4f623277a6c,ctls,api-analytics.t-mobile.cz,google,443,https://api-analytics.t-mobile.cz:443,https,text/html,GET,34.102.193.26,/,1549303605,34.102.193.26,HTTP/3,1,False,True,,,,,,,,
apis.com/maps/api/geocode/json,404 Not Found,404,196,apis.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-13T12:24:17Z,2024-01-13T12:24:16Z,CN=*.lh.pl,*.lh.pl,lh.pl,"CN=Certum Domain Validation CA SHA2, OU=Certum Certification Authority, O=Unizeto Technologies S.A., C=PL",Certum Domain Validation CA SHA2,Unizeto Technologies S.A.,a1d757a4d02ef704af691200f800a11a,264436a2bdc7618489feb3656c4743ad23c934df032d014a089e25e168f95281,ctls,apis.com,,443,https://apis.com:443/maps/api/geocode/json,https,text/html,GET,185.135.90.235,/maps/api/geocode/json,-780928015,185.135.90.235,Apache,8,False,,True,,True,Apache,,,,
app.t-mobile.cz,403 Forbidden,403,202,app.t-mobile.cz,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-04-17T08:55:14Z,2024-05-16T08:55:14Z,"CN=*.t-mobile.cz, O=T-Mobile Czech Republic a.s., L=Praha 4, C=CZ",*.t-mobile.cz,t-mobile.cz,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",2a4ddf2c2d5e6f28308029daf67d83ed,6b8beb12b7eeb28571c22fe230385c337d4bdb072990d9700ce757104e7db859,ctls,app.t-mobile.cz,,443,https://app.t-mobile.cz:443,https,text/html,GET,62.141.14.37,/,-366337701,62.141.14.37,,9,False,,,T-Mobile Czech Republic a.s.,True,,,,,
autodiscover.obchod.t-mobile.cz,Sign in to Outlook,200,39191,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,ctls,login.microsoftonline.com,,80,http://autodiscover.obchod.t-mobile.cz:80,http,text/html,GET,40.99.150.56,/,-1249852061,2603:1026:c0d:c2b::8,HSTS,95,False,,,Microsoft Corporation,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=26f91787-7786-947e-1d92-be390b6bd351&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=obchod.t-mobile.cz&nonce=638243798236502901.550096ee-44d9-47f0-b0d5-a0a8259c333a&state=DctJDsIwDEDRBO7CLqmJ4wyLirM4A6JSK0ulFInTk8X7u6-VUtfhMmgYUTFgch5jTg4Dgctwt0QAOfRuvG_Z-PgEU6CRYeDkKFdEZD1eO8mXp8feed1mKfUlzR5mk7Ks3dbf7Wwzfw5py7vK2fc_,,
autodiscover.osobne.t-mobile.cz,Sign in to Outlook,200,39188,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,ctls,login.microsoftonline.com,,80,http://autodiscover.osobne.t-mobile.cz:80,http,text/html,GET,40.99.149.216,/,-1249852061,2603:1026:c0d:803::8,HSTS,95,False,,,Microsoft Corporation,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=52180535-7921-aebf-b636-7f79eb24e159&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=osobne.t-mobile.cz&nonce=638243798236457137.040df37b-f719-4f1e-9ceb-e0238353025e&state=DctJDsMgDEBRaO_SHQQwxGQR9SwMRoqU1FKmSj19Wby_-1II8ewenTQ9AkeIzgNO0cHoA1pAbbypDTCrhnZSvllSU6GsyDiIEMC4QLK_euBvGt47pXWb-eD8IX2qjfOyki6_113ndJ1cl6PwTfsf,,
