input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_expired,final_url,csp_domains_
account.krisp.ai,Krisp,200,1573,account.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-27T09:55:42Z,2023-07-26T09:55:41Z,CN=account.krisp.ai,account.krisp.ai,,account.krisp.ai,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,d3efbab593798e868fd772543cfcc0a7,4c083bf071ea4622e9a97cb6112f71a3d39695a8affc00a56e8c4ec4efc8abfb,,ctls,account.krisp.ai,cloudflare,443,https://account.krisp.ai:443,https,cloudflare,text/html,GET,104.18.26.251,/,1953174895,104.18.27.251,Cloudflare,1,False,True,,,,
amplitude.krisp.ai,,522,,amplitude.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.new.account.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2f54e755a86e9a02def2a5f39362aaed,b6640a2e3538b31f386c128f7c98ac342909f50775cac7b43d655990b828e55d,True,ctls,amplitude.krisp.ai,cloudflare,443,https://amplitude.krisp.ai:443,https,cloudflare,,GET,104.18.27.251,/,-1840324437,104.18.26.251,Cloudflare,1,False,True,,,,
analytics.krisp.ai,,403,23,analytics.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-31T00:00:00Z,2024-03-30T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5f18a5ec377f6033d9f976041b538966,3905f82cde10450f4698e8daa36f00558c0c629a066fa09a1fbcfd7b975c73ac,True,ctls,analytics.krisp.ai,cloudflare,443,https://analytics.krisp.ai:443,https,cloudflare,application/json,GET,104.18.26.251,/,968070783,104.18.27.251,Cloudflare,1,False,True,,,,
api.krisp.ai,,503,,api.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.new.account.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2f54e755a86e9a02def2a5f39362aaed,b6640a2e3538b31f386c128f7c98ac342909f50775cac7b43d655990b828e55d,True,ctls,api.krisp.ai,cloudflare,443,https://api.krisp.ai:443,https,cloudflare,text/plain,GET,104.18.27.251,/,-1840324437,104.18.26.251,Cloudflare,1,False,True,,,,
api.prelive.krisp.ai,Error,404,139,api.prelive.krisp.ai,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-02-10T23:59:59Z,CN=api.prelive.krisp.ai,api.prelive.krisp.ai,,api.prelive.krisp.ai,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,70a7c4037695c1d4a62912e9c67e1c47,7a822f36be1ea0d6097ec2bda4a3119eb08a4c044dce0cfd0d5b81ab7636c7a6,,ctls,api.prelive.krisp.ai,,443,https://api.prelive.krisp.ai:443,https,,text/html,GET,54.90.37.36,/,1593207841,3.220.37.170,,11,False,,,,,
cdn.krisp.ai,,403,255,cdn.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.new.account.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2f54e755a86e9a02def2a5f39362aaed,b6640a2e3538b31f386c128f7c98ac342909f50775cac7b43d655990b828e55d,True,ctls,cdn.krisp.ai,cloudflare,443,https://cdn.krisp.ai:443,https,cloudflare,application/xml,GET,104.18.27.251,/,-1669689414,104.18.26.251,Cloudflare,2,False,True,,,,
dev.account.krisp.ai,Krisp,200,1573,dev.account.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-23T11:26:31Z,2023-07-22T11:26:30Z,CN=dev.account.krisp.ai,dev.account.krisp.ai,,dev.account.krisp.ai,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,604325751cce680999a38ef8481ca157,c49bd524a1f020b79e282a6dc12e44dd8c029fcfdc610892f80f1e3a4b4d84f8,,ctls,dev.account.krisp.ai,cloudflare,443,https://dev.account.krisp.ai:443,https,cloudflare,text/html,GET,104.18.26.251,/,1711262464,104.18.27.251,Cloudflare,1,False,True,,,,
dev.new.account.krisp.ai,,403,,dev.new.account.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.new.account.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2f54e755a86e9a02def2a5f39362aaed,b6640a2e3538b31f386c128f7c98ac342909f50775cac7b43d655990b828e55d,True,ctls,dev.new.account.krisp.ai,cloudflare,443,https://dev.new.account.krisp.ai:443,https,cloudflare,text/plain,GET,104.18.26.251,/,-1840324437,104.18.27.251,Cloudflare,1,False,True,,,,
dev.old.account.krisp.ai,Krisp,200,1573,dev.account.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-23T11:26:31Z,2023-07-22T11:26:30Z,CN=dev.account.krisp.ai,dev.account.krisp.ai,,dev.account.krisp.ai,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,604325751cce680999a38ef8481ca157,c49bd524a1f020b79e282a6dc12e44dd8c029fcfdc610892f80f1e3a4b4d84f8,,ctls,dev.account.krisp.ai,cloudflare,443,https://dev.old.account.krisp.ai:443,https,cloudflare,text/html,GET,104.18.26.251,/,1711262464,104.18.27.251,Cloudflare,1,False,True,,,https://dev.account.krisp.ai:443/,
dev.r.krisp.ai,Krisp,200,1573,dev.account.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-23T11:26:31Z,2023-07-22T11:26:30Z,CN=dev.account.krisp.ai,dev.account.krisp.ai,,dev.account.krisp.ai,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,604325751cce680999a38ef8481ca157,c49bd524a1f020b79e282a6dc12e44dd8c029fcfdc610892f80f1e3a4b4d84f8,,ctls,dev.account.krisp.ai,,443,https://dev.r.krisp.ai:443,https,cloudflare,text/html,GET,3.218.190.90,/,1200386906,54.235.160.76,Cloudflare,1,False,,,,https://dev.account.krisp.ai:443/share/record/,
