input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,content_type,final_url,csp_domains_,tls_expired,cdn_name,cdn,location,tls_self_signed
able.ibm.com,Home – IBM Accessibility,200,808644,www.ibm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-05T00:00:00Z,2023-08-27T23:59:59Z,"CN=www.ibm.com, O=International Business Machines Corporation, L=Armonk, ST=NEW YORK, C=US",www.ibm.com,International Business Machines Corporation,wwwtest.ibm.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c0f36c9641c620ec98fae1d76ff9d758,267bc7481f34a63e1bb106c1c257d01faf29536a8102c54d622bd01c5e78bc1f,,ctls,www.ibm.com,80,http://able.ibm.com:80,http,AkamaiNetStorage,GET,172.65.236.237,/,286282905,2606:4700:90:0:ccbf:8179:24e4:4ba2,webpack,20,False,text/html,https://www.ibm.com/able/,,,cloudflare,True,,
academic.ibm.com,IBM Academic Initiative,200,3462,academic.ibm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-08T00:00:00Z,2024-03-07T23:59:59Z,"CN=ibm.com, O=International Business Machines Corporation, L=Armonk, ST=New York, C=US",ibm.com,International Business Machines Corporation,www14.software.ibm.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,560038ce722ef34b256d94bf5a4dd41e,65e77230203d04c66002ba7e2cb66f0fa5014ceda516a8c652a2cdb9f2f95e80,,ctls,academic.ibm.com,443,https://academic.ibm.com:443,https,,GET,184.30.210.46,/,1029952573,2a02:26f0:7100:384::31a3,Java Servlet:4.0,1,False,text/html,https://academic.ibm.com/a2mt/email-auth,,,,,,
accounts.cloud.ibm.com,,404,,accounts.cloud.ibm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-01-22T00:00:00Z,2024-01-24T23:59:59Z,"CN=wildcard.bluemix.net, O=International Business Machines Corporation, L=Armonk, ST=New York, C=US",wildcard.bluemix.net,International Business Machines Corporation,us-east.provisioning.cloud.ibm.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,104f2c6a7b2531c27274997c91497e49,e6493eb047dcf70fb0cfa1d78879df54a2608ee8a1ffe5efd39f89677bf902f2,True,ctls,accounts.cloud.ibm.com,80,http://accounts.cloud.ibm.com:80,http,istio-envoy,GET,104.102.54.251,/,-1840324437,104.102.54.251,HSTS,1,False,,https://accounts.cloud.ibm.com/,,,,,,
accounts.test.cloud.ibm.com,,404,,accounts.test.cloud.ibm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-01-21T00:00:00Z,2024-01-24T23:59:59Z,"CN=wildcard.stage1.ng.bluemix.net, O=International Business Machines Corporation, L=Armonk, ST=New York, C=US",wildcard.stage1.ng.bluemix.net,International Business Machines Corporation,user-management.test.cloud.ibm.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7fcee6279bff48c4928fc1530e313cf4,fe64fc268e79ce6d4988b0153a93adafd49d8f5cb6d9ef675e4c59e69a687fc9,True,ctls,accounts.test.cloud.ibm.com,443,https://accounts.test.cloud.ibm.com:443,https,istio-envoy,GET,104.102.48.196,/,-1840324437,104.102.48.196,HSTS,1,False,,,,,,,,
ace.ibm.com,,404,50,,,,,,,,,,,,,,,,,,,,,80,http://ace.ibm.com:80,http,,GET,169.46.120.190,/,754889859,169.48.246.222,,1,False,text/html,,,,,,,
acep.global.gslb.cloud-object-storage.cloud.ibm.com,,400,144,acep.global.gslb.cloud-object-storage.cloud.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-03-22T00:00:00Z,2024-03-20T23:59:59Z,"CN=config.cloud-object-storage.cloud.ibm.com, O=International Business Machines Corporation, L=Armonk, ST=New York, C=US",config.cloud-object-storage.cloud.ibm.com,International Business Machines Corporation,config.cloud-object-storage.cloud.ibm.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,7a0fa801c0e4aae97798814d6393d0a9,5c1007172aa389d06c6a6904ee929aac0a3a28fa2bc7d610b5bc331a672ef53b,,ctls,acep.global.gslb.cloud-object-storage.cloud.ibm.com,443,https://acep.global.gslb.cloud-object-storage.cloud.ibm.com:443,https,,GET,198.23.119.242,/,285552499,198.23.119.242,,2,False,application/json,,,,,,,
acs.res.ibm.com,Almaden Cloud Support Portal,200,3892,acs.res.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=*.res.ibm.com, O=International Business Machines Corporation, L=Armonk, ST=New York, C=US",*.res.ibm.com,International Business Machines Corporation,res.ibm.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ade6fac8c5ff29356dd788baa722a1c9,4742d5602f4b42649602da5e781fdab3d53573179a74a98de872157636be7c07,True,ctls,acs.res.ibm.com,80,http://acs.res.ibm.com:80,http,Apache,GET,129.34.40.80,/,-366337701,129.34.40.80,HSTS,111,False,text/html,https://acs.res.ibm.com/ACS,,,,,,
admin-api.0022-42f69f1e.eu-de.apiconnect.cloud.ibm.com,404 Not Found,404,146,admin-api.0022-42f69f1e.eu-de.apiconnect.cloud.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-22T05:52:13Z,2023-07-21T05:52:12Z,CN=admin-api.0022-42f69f1e.eu-de.apiconnect.cloud.ibm.com,admin-api.0022-42f69f1e.eu-de.apiconnect.cloud.ibm.com,,admin-api.0022-42f69f1e.eu-de.apiconnect.cloud.ibm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,788eb3f552c9c3831bb42832d81a7a35,a997afb3e08da2c7800d5c3cdf77d80f3a3e56ad0d5c67535d151b56ccc33416,,ctls,admin-api.0022-42f69f1e.eu-de.apiconnect.cloud.ibm.com,443,https://admin-api.0022-42f69f1e.eu-de.apiconnect.cloud.ibm.com:443,https,,GET,149.81.108.20,/,1494302000,169.50.30.34,HSTS,8,False,text/html,,,,,,,
admin-api.1647-63a93ef4.us-south.apiconnect.cloud.ibm.com,404 Not Found,404,146,admin-api.1647-63a93ef4.us-south.apiconnect.cloud.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-20T10:10:11Z,2023-06-18T10:10:10Z,CN=admin-api.1647-63a93ef4.us-south.apiconnect.cloud.ibm.com,admin-api.1647-63a93ef4.us-south.apiconnect.cloud.ibm.com,,admin-api.1647-63a93ef4.us-south.apiconnect.cloud.ibm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e41fbc877f61f421d575bfa49f3c79fe,eaa9996daaed07d74aa692fd1f766452e73e8efbf9d7847b3a866f22cd0c4c47,,ctls,admin-api.1647-63a93ef4.us-south.apiconnect.cloud.ibm.com,443,https://admin-api.1647-63a93ef4.us-south.apiconnect.cloud.ibm.com:443,https,,GET,150.238.5.156,/,1494302000,150.238.5.156,HSTS,8,False,text/html,,,,,,,
admin-api.4e5d-58f1c4c4.eu-gb.apiconnect.cloud.ibm.com,404 Not Found,404,548,admin-api.4e5d-58f1c4c4.eu-gb.apiconnect.cloud.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-25T10:18:04Z,2023-07-24T10:18:03Z,CN=admin-api.4e5d-58f1c4c4.eu-gb.apiconnect.cloud.ibm.com,admin-api.4e5d-58f1c4c4.eu-gb.apiconnect.cloud.ibm.com,,admin-api.4e5d-58f1c4c4.eu-gb.apiconnect.cloud.ibm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,83f2e09690a9ca90d32f9c765fa26d5b,8617f06ef039f7278c90e23a153c5b2949434d8dd0b62c01c17c6d275f411e43,,ctls,admin-api.4e5d-58f1c4c4.eu-gb.apiconnect.cloud.ibm.com,443,https://admin-api.4e5d-58f1c4c4.eu-gb.apiconnect.cloud.ibm.com:443,https,,GET,141.125.76.142,/,566218143,141.125.76.142,HSTS,14,False,text/html,,,,,,,
