input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_self_signed,tls_mismatched,cdn_name,tech_,cdn,tls_expired,csp_domains_,location,final_url
abonnement.ad.nl,DPG Media Privacy Gate,200,8817,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://abonnement.ad.nl:443,https,,text/html,GET,184.86.103.207,/,-318086011,2a02:26f0:480:23::1726:62a7,278,False,,,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=dn139c7xlo9nablj&callbackUrl=https://abonnement.ad.nl/
abonnementen.ad.nl,Invalid URL,400,209,abonnementen.ad.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-08T00:00:00Z,2024-02-09T23:59:59Z,"CN=*.ad.nl, O=DPG Media Services NV, L=Antwerpen, C=BE",*.ad.nl,DPG Media Services NV,ad.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8e330642eabb01f46083bbb83492f7e9,43bf37116106b8113fa5be9e62cc5f0396e21960dfe26cfdfa639eef841ab23c,True,ctls,abonnementen.ad.nl,443,https://abonnementen.ad.nl:443,https,AkamaiGHost,text/html,GET,23.3.88.59,/,-2112933991,2a02:26f0:ab00::214:8e52,8,False,,,,,,,,,
acc.ad.nl,,401,,acc.ad.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-29T22:58:08Z,2023-06-27T22:58:07Z,CN=ad.nl,ad.nl,,www.gemeentekieswijzer.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e19e528aad2274272273f65aa3c33475,940a5a669f847fee6407cee72a2c4956fe5666b4fb4e87321cd0ac54ae56658f,,ctls,acc.ad.nl,443,https://acc.ad.nl:443,https,,text/html,GET,23.3.88.9,/,898916477,2a02:26f0:ab00::5c7a:d730,1,False,,,,Basic,,,https:,https://myprivacy.dpgmedia.nl/consent?siteKey=V9f6VUvlHxq9wKIN&callbackUrl=https%3A%2F%2Facc.ad.nl%2Fprivacy-gate%2Faccept-tcf2%3FredirectUri%3D%252F,
acceptance-abonnement.ad.nl,DPG Media Privacy Gate,200,8850,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://acceptance-abonnement.ad.nl:443,https,,text/html,GET,184.86.103.207,/,-318086011,2a02:26f0:480:23::1726:62a7,278,False,,,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=dn139c7xlo9nablj&callbackUrl=https://acceptance-abonnement.ad.nl/
acceptance-opzeggen.ad.nl,DPG Media Privacy Gate,200,8844,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://acceptance-opzeggen.ad.nl:443,https,,text/html,GET,23.3.88.41,/,-318086011,2a02:26f0:ab00::214:8e71,278,False,,,,Google Tag Manager,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=dn139c7xlo9nablj&callbackUrl=https://acceptance-opzeggen.ad.nl/
acceptance-wijzigen.ad.nl,,200,966,acceptance-wijzigen.ad.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T22:35:35Z,2023-08-10T22:35:34Z,CN=acceptance-wijzigen.ad.nl,acceptance-wijzigen.ad.nl,,acceptance-wijzigen.ad.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b18052fe44b89285d687a005c7c34412,ebb5395e2eadfcf27d54ffb85bf38f363bb5d991a9b80d10f6f01dce01954184,,ctls,acceptance-wijzigen.ad.nl,443,https://acceptance-wijzigen.ad.nl:443,https,,text/html,GET,23.3.88.66,/,-931852653,2a02:26f0:ab00::214:8e42,34,False,,,,HSTS,,,https:,,
account.ad.nl,Inlogpoging geblokkeerd,406,3322,account.ad.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-08T00:00:00Z,2024-02-09T23:59:59Z,"CN=*.ad.nl, O=DPG Media Services NV, L=Antwerpen, C=BE",*.ad.nl,DPG Media Services NV,ad.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8e330642eabb01f46083bbb83492f7e9,43bf37116106b8113fa5be9e62cc5f0396e21960dfe26cfdfa639eef841ab23c,True,ctls,account.ad.nl,443,https://account.ad.nl:443,https,AkamaiGHost,text/html,GET,23.3.88.51,/,605262456,2a02:26f0:ab00::214:8e60,1,False,,,,,,,,,
accounts.ad.nl,,200,,accounts.ad.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-17T00:00:00Z,2023-10-17T23:59:59Z,CN=accounts.persgroep.nl,accounts.persgroep.nl,,social.volkskrant.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3f3039929bd7e3a154638178dd28b2d2,070e06f614f39e7264de842fe97efda4a8fe5f7226694e8933595229380a2dd0,,ctls,accounts.ad.nl,443,https://accounts.ad.nl:443,https,,text/html,GET,54.229.120.124,/,-1516177449,54.229.120.124,1,False,,,,,,,,,
accounts.myaccount.ad.nl,,200,,accounts.myaccount.ad.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-16T00:00:00Z,2024-06-15T23:59:59Z,"CN=*.eu1.gigya.com, O=SAP SE, L=Walldorf, ST=Baden-Württemberg, C=DE",*.eu1.gigya.com,SAP SE,api.console.eu1-st4.cdc.cloud.sap,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,eac7ca7784d13b6ce21614ebaaa909b9,883bdfdb305d30398711a8eac97e0a7702dfe4eac74810ea0a4a470bf0fda0f1,True,ctls,accounts.myaccount.ad.nl,443,https://accounts.myaccount.ad.nl:443,https,,text/html,GET,52.31.157.92,/,-1516177449,52.31.157.92,1,False,,True,,,,,,,
accounts.nieuw-demo.ad.nl,,200,,accounts.nieuw-demo.ad.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-17T00:00:00Z,2023-10-17T23:59:59Z,CN=accounts.persgroep.nl,accounts.persgroep.nl,,social.volkskrant.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3f3039929bd7e3a154638178dd28b2d2,070e06f614f39e7264de842fe97efda4a8fe5f7226694e8933595229380a2dd0,,ctls,accounts.nieuw-demo.ad.nl,443,https://accounts.nieuw-demo.ad.nl:443,https,,text/html,GET,54.229.120.124,/,-1516177449,54.229.120.124,1,False,,,,,,,,,
