input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_expired,final_url
*.swagger.io,API Documentation & Design Tools for Teams | Swagger,200,104683,swagger.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-01-14T23:59:59Z,CN=*.swagger.io,*.swagger.io,,swagger.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,db751197aa73c37edf7c804df6bb2ece,eb8f608c73146c580f3de50b4dbf26f7f86009a96661585b278a469767e92876,True,ctls,swagger.io,,443,https://swagger.io:443,https,,text/html,GET,18.221.44.241,/,-1606945233,3.140.179.145,Microsoft ASP.NET,796,False,,,,
admin-api-dev.bitaccessbtm.com,Heroku | Application Error,404,563,admin-api-dev.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",bitaccessbtm.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9f751cca39ebeb2f768d1782912131c3,5dfa2342f370459978d53d5006fbd2d71901dde175090f6fb483da2ebf97398d,True,ctls,admin-api-dev.bitaccessbtm.com,cloudflare,443,https://admin-api-dev.bitaccessbtm.com:443,https,cloudflare,text/html,GET,104.26.13.113,/,1719434788,2606:4700:20::681a:c71,Cloudflare,27,False,True,,,
admin-api-eu.bitaccessbtm.com,Application Error,503,506,admin-api-eu.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",bitaccessbtm.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9f751cca39ebeb2f768d1782912131c3,5dfa2342f370459978d53d5006fbd2d71901dde175090f6fb483da2ebf97398d,True,ctls,admin-api-eu.bitaccessbtm.com,cloudflare,443,https://admin-api-eu.bitaccessbtm.com:443,https,cloudflare,text/html,GET,172.67.75.129,/,1508041395,2606:4700:20::ac43:4b81,Cloudflare,26,False,True,,,
admin-api.bitaccessbtm.com,,204,,admin-api.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-04T20:15:00Z,2023-08-02T20:14:59Z,CN=admin-api.bitaccessbtm.com,admin-api.bitaccessbtm.com,,admin-api.bitaccessbtm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,41c6fe9673e25a26e1d0e96985962c20,d6cd3c8501269d38fcf26f506df3e8d77025047c8ccde65b76eb0b44837893a6,,ctls,admin-api.bitaccessbtm.com,,443,https://admin-api.bitaccessbtm.com:443,https,Cowboy,,GET,54.209.91.188,/,-35195074,54.221.251.148,Node.js,1,False,,,,
api-dev.bitaccessbtm.com,,403,16,api-dev.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",bitaccessbtm.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9f751cca39ebeb2f768d1782912131c3,5dfa2342f370459978d53d5006fbd2d71901dde175090f6fb483da2ebf97398d,True,ctls,api-dev.bitaccessbtm.com,cloudflare,443,https://api-dev.bitaccessbtm.com:443,https,cloudflare,text/plain,GET,104.26.12.113,/,1659100526,2606:4700:20::ac43:4b81,Cloudflare,1,False,True,,,
api-eu.bitaccessbtm.com,Heroku | Application Error,404,563,api-eu.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",bitaccessbtm.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9f751cca39ebeb2f768d1782912131c3,5dfa2342f370459978d53d5006fbd2d71901dde175090f6fb483da2ebf97398d,True,ctls,api-eu.bitaccessbtm.com,cloudflare,443,https://api-eu.bitaccessbtm.com:443,https,cloudflare,text/html,GET,172.67.75.129,/,1719434788,2606:4700:20::681a:d71,Cloudflare,27,False,True,,,
api-rc.bitaccessbtm.com,,204,,api-rc.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",bitaccessbtm.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9f751cca39ebeb2f768d1782912131c3,5dfa2342f370459978d53d5006fbd2d71901dde175090f6fb483da2ebf97398d,True,ctls,api-rc.bitaccessbtm.com,cloudflare,443,https://api-rc.bitaccessbtm.com:443,https,cloudflare,,GET,104.26.12.113,/,-35195074,2606:4700:20::681a:c71,Node.js,1,False,True,,,
api.bitaccessbtm.com,,204,,api.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",bitaccessbtm.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9f751cca39ebeb2f768d1782912131c3,5dfa2342f370459978d53d5006fbd2d71901dde175090f6fb483da2ebf97398d,True,ctls,api.bitaccessbtm.com,cloudflare,443,https://api.bitaccessbtm.com:443,https,cloudflare,,GET,172.67.75.129,/,-35195074,2606:4700:20::ac43:4b81,Node.js,1,False,True,,,
api.faa.st,Application Error,503,506,api.faa.st,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-16T02:02:11Z,2023-08-14T02:02:10Z,CN=faa.st,faa.st,,faa.st,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,30e104c831983e35094a986aca2464fc,3d6bac565ac8a0dad1244bd8c99d38853657e3e21b01f5c93d95fd688b036e00,True,ctls,api.faa.st,cloudflare,443,https://api.faa.st:443,https,cloudflare,text/html,GET,172.67.133.214,/,1508041395,2606:4700:3035::6815:5cf,HTTP/3,26,False,True,,,
apidev.bitaccessbtm.com,,204,,apidev.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T23:44:37Z,2023-06-19T23:44:36Z,CN=apidev.bitaccessbtm.com,apidev.bitaccessbtm.com,,apidev.bitaccessbtm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0fe27ea0c212b30f85c0819e337500d4,b6dfaeb10db774a4b29d3fa93453f2b1bb8f53790ce28286b519602181673e23,,ctls,apidev.bitaccessbtm.com,,443,https://apidev.bitaccessbtm.com:443,https,Cowboy,,GET,52.212.52.84,/,-35195074,63.32.161.232,Node.js,1,False,,,,
