input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,csp_domains_,tls_expired,final_url
*.swagger.io,API Documentation & Design Tools for Teams | Swagger,200,104682,swagger.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-01-14T23:59:59Z,CN=*.swagger.io,*.swagger.io,swagger.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,db751197aa73c37edf7c804df6bb2ece,eb8f608c73146c580f3de50b4dbf26f7f86009a96661585b278a469767e92876,True,ctls,swagger.io,,443,https://swagger.io:443,https,,text/html,GET,3.131.111.79,/,926479732,3.140.179.145,Microsoft ASP.NET,796,False,,,,,
admin-api-dev.bitaccessbtm.com,Heroku | Application Error,404,563,admin-api-dev.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,bitaccessbtm.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9f751cca39ebeb2f768d1782912131c3,5dfa2342f370459978d53d5006fbd2d71901dde175090f6fb483da2ebf97398d,True,ctls,admin-api-dev.bitaccessbtm.com,cloudflare,443,https://admin-api-dev.bitaccessbtm.com:443,https,cloudflare,text/html,GET,104.26.12.113,/,1719434788,2606:4700:20::681a:d71,Cloudflare,27,False,True,"Cloudflare, Inc.",,,
admin-api-eu.bitaccessbtm.com,Application Error,503,506,admin-api-eu.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,bitaccessbtm.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9f751cca39ebeb2f768d1782912131c3,5dfa2342f370459978d53d5006fbd2d71901dde175090f6fb483da2ebf97398d,True,ctls,admin-api-eu.bitaccessbtm.com,cloudflare,443,https://admin-api-eu.bitaccessbtm.com:443,https,cloudflare,text/html,GET,104.26.13.113,/,1508041395,2606:4700:20::681a:c71,Cloudflare,26,False,True,"Cloudflare, Inc.",,,
admin-api-rc.bitaccessbtm.com,,204,,admin-api-rc.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,bitaccessbtm.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9f751cca39ebeb2f768d1782912131c3,5dfa2342f370459978d53d5006fbd2d71901dde175090f6fb483da2ebf97398d,True,ctls,admin-api-rc.bitaccessbtm.com,cloudflare,443,https://admin-api-rc.bitaccessbtm.com:443,https,cloudflare,,GET,104.26.13.113,/,-35195074,2606:4700:20::ac43:4b81,Node.js,1,False,True,"Cloudflare, Inc.",,,
api-rc.bitaccessbtm.com,,204,,api-rc.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,bitaccessbtm.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9f751cca39ebeb2f768d1782912131c3,5dfa2342f370459978d53d5006fbd2d71901dde175090f6fb483da2ebf97398d,True,ctls,api-rc.bitaccessbtm.com,cloudflare,443,https://api-rc.bitaccessbtm.com:443,https,cloudflare,,GET,104.26.13.113,/,-35195074,2606:4700:20::ac43:4b81,Node.js,1,False,True,"Cloudflare, Inc.",,,
api.bitaccessbtm.com,,204,,api.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,bitaccessbtm.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9f751cca39ebeb2f768d1782912131c3,5dfa2342f370459978d53d5006fbd2d71901dde175090f6fb483da2ebf97398d,True,ctls,api.bitaccessbtm.com,cloudflare,443,https://api.bitaccessbtm.com:443,https,cloudflare,,GET,172.67.75.129,/,-35195074,2606:4700:20::681a:d71,Node.js,1,False,True,"Cloudflare, Inc.",,,
api.faa.st,Application Error,503,506,api.faa.st,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-15T00:00:00Z,2023-06-15T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,faa.st,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ef5d70e261a33f9405bdbeca70ec4b55,4ebc9d0cbc1b2de67a1eac18231c929db5da9485934db8d62cae172c8153f13a,True,ctls,api.faa.st,cloudflare,443,https://api.faa.st:443,https,cloudflare,text/html,GET,172.67.133.214,/,1508041395,2606:4700:3032::ac43:85d6,HTTP/3,26,False,True,"Cloudflare, Inc.",,,
apidev.bitaccessbtm.com,,204,,apidev.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T23:44:37Z,2023-06-19T23:44:36Z,CN=apidev.bitaccessbtm.com,apidev.bitaccessbtm.com,apidev.bitaccessbtm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0fe27ea0c212b30f85c0819e337500d4,b6dfaeb10db774a4b29d3fa93453f2b1bb8f53790ce28286b519602181673e23,,ctls,apidev.bitaccessbtm.com,,443,https://apidev.bitaccessbtm.com:443,https,Cowboy,,GET,54.247.69.169,/,-35195074,52.212.52.84,Node.js,1,False,,,,,
bitcoindepot-dev.bitaccessbtm.com,,200,8958,bitcoindepot-dev.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,bitaccessbtm.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9f751cca39ebeb2f768d1782912131c3,5dfa2342f370459978d53d5006fbd2d71901dde175090f6fb483da2ebf97398d,True,ctls,bitcoindepot-dev.bitaccessbtm.com,cloudflare,443,https://bitcoindepot-dev.bitaccessbtm.com:443,https,cloudflare,text/html,GET,104.26.12.113,/,1736297263,2606:4700:20::681a:d71,Node.js,12,False,True,"Cloudflare, Inc.",,,
bitcoindepot-rc.bitaccessbtm.com,,200,8958,bitcoindepot-rc.bitaccessbtm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,bitaccessbtm.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9f751cca39ebeb2f768d1782912131c3,5dfa2342f370459978d53d5006fbd2d71901dde175090f6fb483da2ebf97398d,True,ctls,bitcoindepot-rc.bitaccessbtm.com,cloudflare,443,https://bitcoindepot-rc.bitaccessbtm.com:443,https,cloudflare,text/html,GET,172.67.75.129,/,1736297263,2606:4700:20::681a:c71,Node.js,12,False,True,"Cloudflare, Inc.",,,
