input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_mismatched,tls_wildcard_certificate,tls_expired,location
abl.pat.td.com,IIS Windows Server,200,701,abl.pat.td.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-13T20:17:28Z,2024-01-13T20:17:28Z,"CN=abl.pat.td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",abl.pat.td.com,The Toronto-Dominion Bank,abl.pat.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",ad1d6ab4b2df902fd7c9702d16db9d84,1e7f2468c4ff9894f41437c07cf4ff5b15f9bb3ee145ab3a7da13413b64e96ce,ctls,abl.pat.td.com,,443,https://abl.pat.td.com:443,https,ECD (nya/78BA),text/html,GET,152.199.16.100,/,1631801191,152.199.16.100,Microsoft ASP.NET,32,False,,,,,,,
abl.td.com,IIS Windows Server,200,701,abl.td.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-22T16:17:39Z,2024-01-22T16:17:39Z,"CN=abl.td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",abl.td.com,The Toronto-Dominion Bank,abl.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",6f9b5a627072ffc056bd10a3727c7d35,d1fdd0a521f2ccd9fc09f40fa2c1f25da69ed9c3c54cac4de555c8c96b699ae3,ctls,abl.td.com,,443,https://abl.td.com:443,https,ECD (nya/79BE),text/html,GET,152.199.16.99,/,1631801191,152.199.16.99,Microsoft ASP.NET,32,False,,,,,,,
academy.td.com,403 Forbidden,403,118,academy.td.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-17T13:12:22Z,2023-09-03T13:12:22Z,"CN=crush.td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",crush.td.com,The Toronto-Dominion Bank,academy.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",ff2217fccf3aa7af4082b29fadbf4e89,35f999d0b4a4029c798ada93339f837c853e38b604ff81e53073a72b267609cd,ctls,academy.td.com,,443,https://academy.td.com:443,https,awselb/2.0,text/html,GET,3.222.203.211,/,1344368402,54.157.72.121,,7,False,,,,,,,
actualites.td.com,TD Stories | Enriching lives one story at a time. | TD Stories,200,90909,actualites.td.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-15T02:09:54Z,2023-12-15T02:09:54Z,"CN=stories.td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",stories.td.com,The Toronto-Dominion Bank,www.stories.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",6bf104968571f931bdebd6b26d69dbf9,fbe607a8333f743fed3202c29ae52398a7d2d4cec0ca14852ebf3e2816b279b0,ctls,actualites.td.com,,443,https://actualites.td.com:443,https,,text/html,GET,52.60.219.22,/,1584032669,52.60.219.22,Yii,2153,False,,,,,,,
admin.newissues.td.com,TD Waterhouse New Issues Portal,200,875,admin.newissues.td.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-02T15:59:28Z,2023-09-13T15:59:28Z,"CN=webbroker.newissues.td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",webbroker.newissues.td.com,The Toronto-Dominion Bank,admin.testnewissues.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",d1d3070fa130b67d4d97af802d68bd2d,6ca265b2d5a007f5bac195ea183bcdb4c181800f31f8ffd781ec94e2a82456b4,ctls,admin.newissues.td.com,,443,https://admin.newissues.td.com:443,https,Apache,text/html,GET,147.249.58.228,/,-604651218,147.249.58.228,HSTS,26,False,,https://*.td.com,,,,,
admin.testnewissues.td.com,TD Waterhouse New Issues Portal,200,875,admin.testnewissues.td.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-02T15:59:28Z,2023-09-13T15:59:28Z,"CN=webbroker.newissues.td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",webbroker.newissues.td.com,The Toronto-Dominion Bank,admin.testnewissues.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",d1d3070fa130b67d4d97af802d68bd2d,6ca265b2d5a007f5bac195ea183bcdb4c181800f31f8ffd781ec94e2a82456b4,ctls,admin.testnewissues.td.com,,443,https://admin.testnewissues.td.com:443,https,Apache,text/html,GET,147.249.58.240,/,-604651218,147.249.58.240,HSTS,26,False,,https://www.google-analytics.com,,,,,
advanceddashboard.pat.td.com,TD Advanced Dashboard,200,17160,advanceddashboard.pat.td.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-24T20:28:22Z,2024-05-15T20:28:22Z,"CN=advanceddashboard.pat.td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",advanceddashboard.pat.td.com,The Toronto-Dominion Bank,advanceddashboard1.pat.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",e3732260cef2bee7fc81b47d2d7b7838,e488ece1881254742e404d6b8d3db47e81fdfabaffb61b3c99ffe5ad51475c31,ctls,advanceddashboard.pat.td.com,,443,https://advanceddashboard.pat.td.com:443,https,,text/html,GET,2.17.100.210,/,-1972330247,2.17.100.171,HSTS,20,False,,,,,,,
advanceddashboard.sys.td.com,Login,200,3041,advanceddashboard.sys.td.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-22T13:09:32Z,2023-08-22T13:09:32Z,"CN=advanceddashboard.sys.td.com, OU=e-BSSTIS, O=The Toronto-Dominion Bank, L=Toronto, ST=Ontario, C=CA",advanceddashboard.sys.td.com,The Toronto-Dominion Bank,advanceddashboard.sys.td.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",7edf3d87ba8cca3955b473dbf8d570bb,7cc708aa3a027367c586aa270cd2ccd54024bea3a70bc4ac77564807fbe17966,ctls,advanceddashboard.sys.td.com,,443,https://advanceddashboard.sys.td.com:443,https,WildFly/8,text/html,GET,216.220.45.87,/,-1972330247,216.220.45.87,JavaServer Pages:2.2,90,False,,,,,,,
advanceddashboard.td.com,TD Advanced Dashboard,200,17042,advanceddashboard.td.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-24T20:01:04Z,2024-05-15T20:01:04Z,"CN=advanceddashboard.td.com, serialNumber=1223766, businessCategory=Private Organization, O=The Toronto-Dominion Bank, jurisdictionCountry=CA, L=Toronto, ST=Ontario, C=CA, businessCategory=Private Organization, jurisdictionCountry=CA",advanceddashboard.td.com,The Toronto-Dominion Bank,advanceddashboard.td.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",45abb7c5c5efcddec8f55194d2c3290e,8fba79fc2f2857355ffb7c024c73cb6842afedc44a9ee757fcb3538c1dd1fb6f,ctls,advanceddashboard.td.com,,443,https://advanceddashboard.td.com:443,https,,text/html,GET,2.16.187.88,/,-1972330247,2.16.187.48,HSTS,20,False,,,,,,,
advisor.pat.td.com,Microsoft Azure App Service - Welcome,200,6232,advisor.pat.td.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-30T15:16:22Z,2024-01-26T15:16:22Z,"CN=www1.pat.tdadvisor.com, O=The Toronto-Dominion Bank, L=Toronto, ST=Ontario, C=CA",www1.pat.tdadvisor.com,The Toronto-Dominion Bank,advisor.pat.td.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",9ffdd3a55afe47993a70c100158f6420,f3829a12e2c4a8571e5d4a4ac38f60441f160f2a01267964cbb8de80956cf4d4,ctls,advisor.pat.td.com,,443,https://advisor.pat.td.com:443,https,ECD (nya/78BA),text/html,GET,152.199.16.140,/,-230353730,152.199.16.140,Microsoft ASP.NET,194,False,,,,,,,
