new,host,ttl,soa,status_code,aaaa,txt,cname,caa,a,mx
[x],games.jamieweb.net,1800,"{'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
[x],ipv4.jamieweb.net,300,"{'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,v=spf1 -all,,,"139.162.222.67, 157.230.83.95",
[x],ipv6.jamieweb.net,1800,"{'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2604:a880:400:d1::aad:8001, 2a01:7e00::f03c:91ff:fec6:27a3",v=spf1 -all,,,,
[x],irc.jamieweb.net,1800,"{'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
[x],jamieweb.net,300,"{'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2a01:7e00::f03c:91ff:fec6:27a3, 2604:a880:400:d1::aad:8001",v=spf1 include:spf.messagingengine.com include:mailgun.org -all,,"mailto:abuse@jamieweb.net, comodoca.com, digicert.com; cansignhttpexchanges=yes, letsencrypt.org, pki.goog; cansignhttpexchanges=yes","139.162.222.67, 157.230.83.95","in2-smtp.messagingengine.com, in1-smtp.messagingengine.com"
[x],ldn01.jamieweb.net,300,"{'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,2a01:7e00::f03c:91ff:fec6:27a3,,,,139.162.222.67,
[x],mta-sts.jamieweb.net,300,"{'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,www.jamieweb.net,,"157.230.83.95, 139.162.222.67",
[x],nyc01.jamieweb.net,300,"{'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,2604:a880:400:d1::aad:8001,,,,157.230.83.95,
[x],proxy.jamieweb.net,300,"{'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'jamieweb.net', 'ns': 'bruce.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343129711, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
[x],status.jamieweb.net,300,"{'name': 'uptimerobot.com', 'ns': 'cruz.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343547732, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 5}, {'name': 'uptimerobot.com', 'ns': 'cruz.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343547732, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'uptimerobot.com', 'ns': 'cruz.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343547732, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'uptimerobot.com', 'ns': 'cruz.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343547732, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'uptimerobot.com', 'ns': 'cruz.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343547732, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,stats.uptimerobot.com,letsencrypt.org,,
