input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,final_url,cdn_name,cdn
atlas.namejet.com,Empty,200,886,atlas.namejet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-05-07T23:59:59Z,CN=*.namejet.com,*.namejet.com,namejet.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,23b6f2acacc81b1a41c693e2a670d096,8a5f75226502cc366bc60e9141db109252a8853cd642d8392f4054b9e160ee3d,True,ctls,atlas.namejet.com,443,https://atlas.namejet.com:443,https,Microsoft-IIS/10.0,text/html,GET,207.204.41.38,/,1631801191,207.204.41.38,Windows Server,42,False,,,,
autodiscover.namejet.com,Sign in to Outlook,200,38991,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,,ctls,login.microsoftonline.com,80,http://autodiscover.namejet.com:80,http,,text/html,GET,40.99.150.40,/,-1249852061,2603:1026:c0d:c06::8,HSTS,95,False,Microsoft Corporation,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=38a4cb50-5780-b9ed-428e-e7b9859be455&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=namejet.com&nonce=638251608680175850.53d6a2ab-2091-43f8-b165-736395c14f60&state=DctBDoMgEEBRaO_SrtABnGFcGM8yAiZtiiTW2uvL4v3d10qpe3NrNLSoQJ4dWgImBhuQETr0icTJYhyM1gx-ZbNYQhM8-RGjHVYC3d5nX__Sz3uWT5k2Kfmdjy7W8jjTJL-jptc31jPvFw,,
classic.namejet.com,,403,16,classic.namejet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-10T00:00:00Z,2024-06-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",63d907d53b536eae66688fe9ccd1f53d,48a697788d2ea8dad3d0f6888fef776f9408ac7287dfe2072e66ba84d2f34e62,,ctls,classic.namejet.com,443,https://classic.namejet.com:443,https,cloudflare,text/plain,GET,162.159.137.38,/,1253481126,162.159.136.38,HSTS,1,False,"Cloudflare, Inc.",,cloudflare,True
cloud9.namejet.com,,403,16,cloud9.namejet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-05-07T23:59:59Z,CN=*.namejet.com,*.namejet.com,namejet.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,23b6f2acacc81b1a41c693e2a670d096,8a5f75226502cc366bc60e9141db109252a8853cd642d8392f4054b9e160ee3d,True,ctls,cloud9.namejet.com,443,https://cloud9.namejet.com:443,https,cloudflare,text/plain,GET,162.159.137.38,/,1253481126,162.159.136.38,HSTS,1,False,,,cloudflare,True
customerservice.namejet.com,Just a moment...,403,6462,customerservice.namejet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-05-07T23:59:59Z,CN=*.namejet.com,*.namejet.com,namejet.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,23b6f2acacc81b1a41c693e2a670d096,8a5f75226502cc366bc60e9141db109252a8853cd642d8392f4054b9e160ee3d,True,ctls,customerservice.namejet.com,443,https://customerservice.namejet.com:443,https,cloudflare,text/html,GET,162.159.136.38,/,-780928015,162.159.137.38,HSTS,82,False,,,cloudflare,True
maintenance.namejet.com,namejet.com: HTTP 400,200,1914,maintenance.namejet.com,443,True,tls12,TLS_RSA_WITH_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-05-07T23:59:59Z,CN=*.namejet.com,*.namejet.com,namejet.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,23b6f2acacc81b1a41c693e2a670d096,8a5f75226502cc366bc60e9141db109252a8853cd642d8392f4054b9e160ee3d,True,ctls,maintenance.namejet.com,443,https://maintenance.namejet.com:443,https,Apache,text/html,GET,207.204.49.12,/,-366337701,207.204.49.12,PHP:5.3.3,55,False,,,,
partnerapi.namejet.com,Index,200,759,partnerapi.namejet.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-08T00:00:00Z,2024-05-07T23:59:59Z,CN=*.namejet.com,*.namejet.com,namejet.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,23b6f2acacc81b1a41c693e2a670d096,8a5f75226502cc366bc60e9141db109252a8853cd642d8392f4054b9e160ee3d,True,ctls,partnerapi.namejet.com,443,https://partnerapi.namejet.com:443,https,Microsoft-IIS/10.0,text/html,GET,64.69.222.220,/,1772087922,64.69.222.220,Windows Server,32,False,,,,
partnertest.namejet.com,Just a moment...,403,6454,partnertest.namejet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-05-07T23:59:59Z,CN=*.namejet.com,*.namejet.com,namejet.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,23b6f2acacc81b1a41c693e2a670d096,8a5f75226502cc366bc60e9141db109252a8853cd642d8392f4054b9e160ee3d,True,ctls,partnertest.namejet.com,443,https://partnertest.namejet.com:443,https,cloudflare,text/html,GET,162.159.136.38,/,1645477668,162.159.137.38,HSTS,82,False,,,cloudflare,True
update.namejet.com,,403,243,update.namejet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-12T00:00:00Z,2024-07-10T23:59:59Z,CN=update.namejet.com,update.namejet.com,update.namejet.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,edc6ae1b766cf6960e7c57ba11fdc7ba,f6da4d3532f273b5c626f4e5a766a3e59af1eaae8b28d00d3550155415bed16d,,ctls,update.namejet.com,443,https://update.namejet.com:443,https,AmazonS3,application/xml,GET,13.225.78.94,/,322570629,2600:9000:21f3:8c00:14:ad20:db40:93a1,Amazon Web Services,2,False,,,cloudfront,True
www.namejet.com,Just a moment...,403,6391,www.namejet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-05-07T23:59:59Z,CN=*.namejet.com,*.namejet.com,namejet.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,23b6f2acacc81b1a41c693e2a670d096,8a5f75226502cc366bc60e9141db109252a8853cd642d8392f4054b9e160ee3d,True,ctls,www.namejet.com,443,https://www.namejet.com:443,https,cloudflare,text/html,GET,162.159.136.38,/,434689121,162.159.137.38,HSTS,82,False,,,cloudflare,True
