new,host,ttl,a,cname,soa,status_code,aaaa,caa,mx,txt,ns
[x],bugbase.in,300,,,"{'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:3034::6815:894, 2606:4700:3036::ac43:8289",,,"MS=ms89971604, google-site-verification=DX1Mj6TZ8IyZV5xYasUBE3RWT0MFvW_Ll4ocwpP4PJk, google-site-verification=TUvpukCxVs7N1-hEwQeeImwa1zIjkO_v3NYlXccoxU4, google-site-verification=voUcBVNFUSBp4zAfiLuepBOD_D_1jl8fO1_UzcOKgw0, google-site-verification=y23DWy8IHxjlIonYAO5SVOvRm1v6mjX3DZmOAdsz1lU, platform=bugbase.in domain=bugbase.in company=BugBase token=63287c30037fb9d8dbd06256, platform=bugbase.in domain=bugbase.in company=Ferrari token=6378d1f76db72d6385382798, v=spf1 include:_spf.google.com include:transmail.net.in ~all","nora.ns.cloudflare.com, anuj.ns.cloudflare.com"
,api.bugbase.in,1800,,,"{'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,copilot.bugbase.in,300,"104.21.8.148, 172.67.130.137",,"{'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:3036::ac43:8289, 2606:4700:3034::6815:894",,,,
,demo.bugbase.in,300,"172.67.130.137, 104.21.8.148",,"{'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,docs.bugbase.in,299,"104.18.40.47, 172.64.147.209","docs.bugbase.ai, cec1a628a2-hosting.gitbook.io","{'name': 'gitbook.io', 'ns': 'dahlia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2338377290, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gitbook.io', 'ns': 'dahlia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2338377290, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'gitbook.io', 'ns': 'dahlia.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2338377290, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:4400::ac40:93d1, 2606:4700:4400::6812:282f","digicert.com, letsencrypt.org, pki.goog",,,
,employee.bugbase.in,300,"172.67.130.137, 104.21.8.148",,"{'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,files.bugbase.in,300,"172.67.130.137, 104.21.8.148",,"{'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:3036::ac43:8289, 2606:4700:3034::6815:894",,,,
,fwtrack1.bugbase.in,300,"167.89.123.54, 167.89.123.124, 167.89.123.204, 167.89.115.56, 167.89.115.120, 167.89.115.150, 167.89.118.52, 167.89.118.83, 167.89.118.120","trsg.myfreshworks.com, trsg.freshemail.io, sendgrid.net","{'name': 'sendgrid.net', 'ns': 'ns10.dnsmadeeasy.com', 'mailbox': 'dns.dnsmadeeasy.com', 'serial': 2011264518, 'refresh': 14400, 'retry': 600, 'expire': 1728000, 'minttl': 180}, {'name': 'sendgrid.net', 'ns': 'ns10.dnsmadeeasy.com', 'mailbox': 'dns.dnsmadeeasy.com', 'serial': 2011264518, 'refresh': 14400, 'retry': 600, 'expire': 1728000, 'minttl': 180}",NOERROR,,"godaddy.com, amazonaws.com","mx.sendgrid.net, mx2.sendgrid.net","p8bnb2lp424dkl3c4io1aemiei, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE, i52uk89q4nfe1mpgqv5qsmsj3j, mailru-verification: 2e3995fa8a7d00e0, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all","ns14.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns13.dnsmadeeasy.com, ns12.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns11.dnsmadeeasy.com"
,inst.bugbase.in,300,213.188.223.109,prox.itrackly.com,"{'name': 'itrackly.com', 'ns': 'matias.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2334137071, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'itrackly.com', 'ns': 'matias.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2334137071, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'itrackly.com', 'ns': 'matias.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2334137071, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'itrackly.com', 'ns': 'matias.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2334137071, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'itrackly.com', 'ns': 'matias.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2334137071, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,kpi.bugbase.in,300,,,"{'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bugbase.in', 'ns': 'anuj.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337695256, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:3034::6815:894, 2606:4700:3036::ac43:8289",,,,
