input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,content_type,tls_mismatched,final_url
355777.skyscanner.net,404 Not Found,404,162,355777.skyscanner.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,355777.skyscanner.net,,443,https://355777.skyscanner.net:443,https,nginx,GET,167.89.115.56,/,190856733,167.89.123.124,Nginx,8,False,,,text/html,True,
9735476.sender.skyscanner.net,Cheap flights | Free flight comparison at www.skyscanner.net,200,144933,www.skyscanner.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-03-14T23:59:59Z,CN=www.skyscanner.net,www.skyscanner.net,www.skyscanner.com.mx,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e57f37b3f626b5c4fc433fdc425ac17e,d0efba973ce42b6d58867018b35a5d1f6acad29e3b7f9dbd9d576b6983e34074,,ctls,www.skyscanner.net,,443,https://9735476.sender.skyscanner.net:443,https,istio-envoy,GET,54.177.39.185,/,-1693978155,50.18.24.210,React,364,False,,,text/html,,https://www.skyscanner.net/mobile
9735476.skyscanner.net,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://9735476.skyscanner.net:80,http,CloudFront,GET,18.66.122.7,/,-1478659685,2600:9000:2250:6c00:1d:93cd:5c00:93a1,Amazon Web Services,20,False,True,,text/html,,
9735476.test.skyscanner.net,Skyscanner,200,694,www.skyscanner.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-03-14T23:59:59Z,CN=www.skyscanner.net,www.skyscanner.net,www.skyscanner.com.mx,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e57f37b3f626b5c4fc433fdc425ac17e,d0efba973ce42b6d58867018b35a5d1f6acad29e3b7f9dbd9d576b6983e34074,,ctls,www.skyscanner.net,,443,https://9735476.test.skyscanner.net:443,https,AmazonS3,GET,50.18.24.210,/,-1693978155,54.177.39.185,HTTP/3,1,False,,,text/html,,https://www.skyscanner.net/sttc/px/captcha-v2/index.html?url=Lz8=&uuid=6e151bbb-1c70-11ee-a548-44514c486666&vid=
ablink.sender.skyscanner.net,Skyscanner,200,694,www.skyscanner.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-03-14T23:59:59Z,CN=www.skyscanner.net,www.skyscanner.net,www.skyscanner.com.mx,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e57f37b3f626b5c4fc433fdc425ac17e,d0efba973ce42b6d58867018b35a5d1f6acad29e3b7f9dbd9d576b6983e34074,,ctls,www.skyscanner.net,,443,https://ablink.sender.skyscanner.net:443,https,AmazonS3,GET,54.177.39.185,/,-1693978155,50.18.24.210,HTTP/3,1,False,,,text/html,,https://www.skyscanner.net/sttc/px/captcha-v2/index.html?url=L21vYmlsZT8=&uuid=6e080ff6-1c70-11ee-804c-646f6f4b4c48&vid=
ablink.test.skyscanner.net,Compare Cheap Flights & Book Airline Tickets to Everywhere | Skyscanner,200,77650,www.skyscanner.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-03-14T23:59:59Z,CN=www.skyscanner.net,www.skyscanner.net,www.skyscanner.com.mx,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e57f37b3f626b5c4fc433fdc425ac17e,d0efba973ce42b6d58867018b35a5d1f6acad29e3b7f9dbd9d576b6983e34074,,ctls,www.skyscanner.net,,443,https://ablink.test.skyscanner.net:443,https,istio-envoy,GET,54.177.39.185,/,-1693978155,50.18.24.210,PerimeterX,6,False,,,text/html,,https://www.skyscanner.net/
adfs1.skyscanner.net,Not Found,404,315,adfs1.skyscanner.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T00:00:00Z,2024-03-15T23:59:59Z,"CN=adfs1.skyscanner.net, O=Skyscanner Limited, L=London, C=GB",adfs1.skyscanner.net,adfs1.skyscanner.net,"CN=Thawte TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte TLS RSA CA G1,DigiCert Inc,c11030c05a960fd7f6c8c64b65d06186,dd801392a4af45efc3aeea37e15610ced06c9f0dfa32db30115a7c869613b6d6,,ctls,adfs1.skyscanner.net,,443,https://adfs1.skyscanner.net:443,https,Microsoft-HTTPAPI/2.0 Microsoft-HTTPAPI/2.0,GET,52.77.147.98,/,225052475,18.139.120.224,Microsoft HTTPAPI:2.0,7,False,,Skyscanner Limited,text/html,,
affiliates.skyscanner.net,,404,,affiliates.skyscanner.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-14T00:00:00Z,2024-07-13T23:59:59Z,CN=*.skyscanner.net,*.skyscanner.net,*.skyscanner.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,02fd686a5cda9b350c5b6cd59574b45d,bdb63a9d4391000a3c3273132acda0fb6ad9540693b299ac9921ca3dcc451ece,True,ctls,affiliates.skyscanner.net,cloudfront,80,http://affiliates.skyscanner.net:80,http,istio-envoy,GET,65.9.66.118,/,-1840324437,65.9.66.55,HTTP/3,1,False,True,,,,https://affiliates.skyscanner.net/
amp.skyscanner.net,404 Not Found,404,345,,,,,,,,,,,,,,,,,,,,80,http://amp.skyscanner.net:80,http,AmazonS3,GET,52.218.52.90,/,-1951727233,52.92.3.28,Amazon Web Services,15,False,,,text/html,,
analytics.skyscanner.net,Compare Cheap Flights & Book Airline Tickets to Everywhere | Skyscanner,200,77650,www.skyscanner.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-03-14T23:59:59Z,CN=www.skyscanner.net,www.skyscanner.net,www.skyscanner.com.mx,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e57f37b3f626b5c4fc433fdc425ac17e,d0efba973ce42b6d58867018b35a5d1f6acad29e3b7f9dbd9d576b6983e34074,,ctls,www.skyscanner.net,cloudfront,443,https://analytics.skyscanner.net:443,https,istio-envoy,GET,13.224.189.105,/,-1693978155,13.224.189.92,PerimeterX,6,False,True,,text/html,,https://www.skyscanner.net
api.skyscanner.net,,404,,api.skyscanner.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=api.skyscanner.net,api.skyscanner.net,partners.api.skyscanner.net,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,286b891b620721d071dc9d97a401b8f8,f8f9f8153736b670a49f00510cbbfb651d9564ead85ff1cc8a6562a28fc863e5,,ctls,api.skyscanner.net,cloudfront,443,https://api.skyscanner.net:443,https,istio-envoy,GET,143.204.215.125,/,-1840324437,143.204.215.91,HTTP/3,1,False,True,,,,
api2.skyscanner.net,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://api2.skyscanner.net:80,http,CloudFront,GET,143.204.215.112,/,-58814511,143.204.215.17,Amazon Web Services,20,False,True,,text/html,,
