input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_wildcard_certificate,tls_mismatched,final_url
account-closing.upstox.com,Account Closing,200,1460,account-closing.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-13T00:00:00Z,2024-07-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",c6b221e870af9279c0790c0a93a7a0a6,e752ff7280157babb9790952d5a83c9cea6649342bb1ee8bab0fb313fccdc95e,ctls,account-closing.upstox.com,cloudflare,443,https://account-closing.upstox.com:443,https,cloudflare,text/html,GET,104.18.0.212,/,-2144897620,2606:4700::6812:d4,React,7,False,True,,,,
account.upstox.com,Upstox Accounts,200,5564,account.upstox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-28T00:00:00Z,2024-06-24T23:59:59Z,CN=*.upstox.com,*.upstox.com,,*.prod.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a2f487b1674dd2b22b1ef420b483cbe3,cd05c45f27ea5538b14b3c551340921318ac375fdbedd2a9545256fdd4ba18f1,ctls,account.upstox.com,,443,https://account.upstox.com:443,https,nginx,text/html,GET,35.154.183.94,/,1733561871,3.7.226.226,Nginx,1,False,,,True,,
api-v2-sandbox.upstox.com,,400,220,api-v2-sandbox.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2024-02-06T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2d7df1c0635322bc0bbdb12bca139d77,e956ea4815d633066660dedd0145668c0afdaa24881de546114238506171950d,ctls,api-v2-sandbox.upstox.com,cloudflare,443,https://api-v2-sandbox.upstox.com:443,https,cloudflare,application/json,GET,104.18.0.212,/,-156964403,2606:4700::6812:1d4,HSTS,1,False,True,,,,
api-v2-ws.upstox.com,,404,102,api-v2-ws.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2024-02-06T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",api-v2-ws.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f8f6e73d666dbb96cf1abd92dbf7567e,54358344bba4439200e33e0b3d40204525bfba2191073a75b63ec73f680ed961,ctls,api-v2-ws.upstox.com,cloudflare,443,https://api-v2-ws.upstox.com:443,https,cloudflare,application/json,GET,104.18.0.212,/,-1937541780,2606:4700::6812:1d4,HSTS,1,False,True,,,,
api-v2.upstox.com,,400,220,api-v2.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-22T00:00:00Z,2024-01-21T23:59:59Z,"CN=upstox.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",upstox.com,"Cloudflare, Inc.",*.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",1f49c28c17819c004d400bdea2f8e924,d241b652c9aa080a891e994602453f359dc78a49985f3f89d0864bf15351f06d,ctls,api-v2.upstox.com,cloudflare,443,https://api-v2.upstox.com:443,https,cloudflare,application/json,GET,104.18.0.212,/,-156964403,2606:4700::6812:1d4,HSTS,1,False,True,,True,,
api.upstox.com,,403,23,api.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-17T23:59:59Z,CN=upstox.com,upstox.com,,*.upstox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6b371175fc468158e3ef0df29471d704,94eba1e20247c24b056d3262fae72fd145dfda2d124d6ce8ddcbd83ed86df078,ctls,api.upstox.com,cloudfront,443,https://api.upstox.com:443,https,,application/json,GET,18.66.97.124,/,968070783,18.66.97.9,Amazon Web Services,1,False,True,,True,,
app.upstox.com,Upstox Pro,200,4371,pro.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-13T00:00:00Z,2024-07-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",pro.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",711c28996221bd15dfc26552924b4b1a,e38ea7060f15b173a026c12b63b81ace30faf214944efcbae63f72b0d4a8d344,ctls,pro.upstox.com,cloudflare,443,https://app.upstox.com:443,https,cloudflare,text/html,GET,104.18.0.212,/,1733561871,2606:4700::6812:1d4,HSTS,1,False,True,,,,https://pro.upstox.com
assets.uat1.upstox.com,,403,243,assets.uat1.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-11T00:00:00Z,2024-08-08T23:59:59Z,CN=upstox.com,upstox.com,,*.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,cfba094910d5db7d0eb7962d0b102ff5,024630efe0d8d45c99c10efaf8dba3fc3e80ebfde0573f3af2cb31cf00cf9103,ctls,assets.uat1.upstox.com,cloudfront,443,https://assets.uat1.upstox.com:443,https,AmazonS3,application/xml,GET,143.204.98.61,/,-1718585254,2600:9000:2156:3400:5:9f1b:1300:93a1,Amazon Web Services,2,False,True,,True,True,
assets.upstox.com,,403,243,assets.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2024-05-09T23:59:59Z,CN=upstox.com,upstox.com,,*.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,fa7215293b6fb43a5df522b1145ffc18,a6f957d555d4d4ce3c46174d8e99e238968d908caca98d8b6afdd73c3dd1eb1a,ctls,assets.upstox.com,cloudfront,443,https://assets.upstox.com:443,https,AmazonS3,application/xml,GET,18.66.97.89,/,-1840324437,2600:9000:223c:ba00:1b:af48:b80:93a1,Amazon Web Services,2,False,True,,True,,
autodiscover.upstox.com,Sign in to Outlook,200,39450,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,,80,http://autodiscover.upstox.com:80,http,,text/html,GET,52.97.189.104,/,-1249852061,2603:1026:c0d:75::8,HSTS,95,False,,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=1c3b97b7-0e57-796b-ed2b-0b86cfc1369d&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=upstox.com&nonce=638249947897039219.246b39df-4090-44b4-91fa-151dc1a76d4f&state=DctLDsMgDABRaO-SHQkGF-JF1LM4OEiVGrnKrz1-WbzZjTXG3JtbY32LySmOAYkwj5R9pADUB0xzJKkOPXmHOKMjqOzgAVKAcxKstr3doF8entvC73U6P_uhv77o2l0y8XmovPai17L9AQ
