input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,content_type,csp_domains_,tls_wildcard_certificate,tls_mismatched,final_url
account-closing.upstox.com,Account Closing,200,1460,account-closing.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-13T00:00:00Z,2024-07-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",c6b221e870af9279c0790c0a93a7a0a6,e752ff7280157babb9790952d5a83c9cea6649342bb1ee8bab0fb313fccdc95e,ctls,account-closing.upstox.com,cloudflare,443,https://account-closing.upstox.com:443,https,cloudflare,GET,104.18.1.212,/,-2144897620,2606:4700::6812:1d4,React,7,False,True,text/html,,,,
account.upstox.com,Upstox Accounts,200,5564,account.upstox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-28T00:00:00Z,2024-06-24T23:59:59Z,CN=*.upstox.com,*.upstox.com,,*.prod.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a2f487b1674dd2b22b1ef420b483cbe3,cd05c45f27ea5538b14b3c551340921318ac375fdbedd2a9545256fdd4ba18f1,ctls,account.upstox.com,,443,https://account.upstox.com:443,https,nginx,GET,52.66.160.112,/,1733561871,43.204.157.87,Nginx,1,False,,text/html,,True,,
api-v2-sandbox.upstox.com,,400,220,api-v2-sandbox.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2024-02-06T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2d7df1c0635322bc0bbdb12bca139d77,e956ea4815d633066660dedd0145668c0afdaa24881de546114238506171950d,ctls,api-v2-sandbox.upstox.com,cloudflare,443,https://api-v2-sandbox.upstox.com:443,https,cloudflare,GET,104.18.0.212,/,-156964403,2606:4700::6812:1d4,HSTS,1,False,True,application/json,,,,
api-v2-ws.upstox.com,,404,102,api-v2-ws.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2024-02-06T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",api-v2-ws.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f8f6e73d666dbb96cf1abd92dbf7567e,54358344bba4439200e33e0b3d40204525bfba2191073a75b63ec73f680ed961,ctls,api-v2-ws.upstox.com,cloudflare,443,https://api-v2-ws.upstox.com:443,https,cloudflare,GET,104.18.0.212,/,1994148860,2606:4700::6812:d4,HSTS,1,False,True,application/json,,,,
api-v2.upstox.com,,400,220,api-v2.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-22T00:00:00Z,2024-01-21T23:59:59Z,"CN=upstox.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",upstox.com,"Cloudflare, Inc.",*.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",1f49c28c17819c004d400bdea2f8e924,d241b652c9aa080a891e994602453f359dc78a49985f3f89d0864bf15351f06d,ctls,api-v2.upstox.com,cloudflare,443,https://api-v2.upstox.com:443,https,cloudflare,GET,104.18.1.212,/,-156964403,2606:4700::6812:d4,HSTS,1,False,True,application/json,,True,,
api.upstox.com,,403,23,api.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-17T23:59:59Z,CN=upstox.com,upstox.com,,*.upstox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6b371175fc468158e3ef0df29471d704,94eba1e20247c24b056d3262fae72fd145dfda2d124d6ce8ddcbd83ed86df078,ctls,api.upstox.com,cloudfront,443,https://api.upstox.com:443,https,,GET,18.66.97.124,/,968070783,18.66.97.21,Amazon Web Services,1,False,True,application/json,,True,,
app.upstox.com,Upstox Pro,200,4371,pro.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-13T00:00:00Z,2024-07-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",pro.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",711c28996221bd15dfc26552924b4b1a,e38ea7060f15b173a026c12b63b81ace30faf214944efcbae63f72b0d4a8d344,ctls,pro.upstox.com,cloudflare,443,https://app.upstox.com:443,https,cloudflare,GET,104.18.0.212,/,1733561871,2606:4700::6812:1d4,HSTS,1,False,True,text/html,,,,https://pro.upstox.com
assets.uat1.upstox.com,,403,243,assets.uat1.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-11T00:00:00Z,2024-08-08T23:59:59Z,CN=upstox.com,upstox.com,,*.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,cfba094910d5db7d0eb7962d0b102ff5,024630efe0d8d45c99c10efaf8dba3fc3e80ebfde0573f3af2cb31cf00cf9103,ctls,assets.uat1.upstox.com,cloudfront,443,https://assets.uat1.upstox.com:443,https,AmazonS3,GET,143.204.98.41,/,-379911369,2600:9000:2156:f800:5:9f1b:1300:93a1,Amazon Web Services,2,False,True,application/xml,,True,True,
assets.upstox.com,,403,255,assets.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2024-05-09T23:59:59Z,CN=upstox.com,upstox.com,,*.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,fa7215293b6fb43a5df522b1145ffc18,a6f957d555d4d4ce3c46174d8e99e238968d908caca98d8b6afdd73c3dd1eb1a,ctls,assets.upstox.com,cloudfront,443,https://assets.upstox.com:443,https,AmazonS3,GET,18.66.97.89,/,-1840324437,2600:9000:223c:9600:1b:af48:b80:93a1,Amazon Web Services,2,False,True,application/xml,,True,,
bo.upstox.com,Upstox Accounts,200,5564,account.upstox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-28T00:00:00Z,2024-06-24T23:59:59Z,CN=*.upstox.com,*.upstox.com,,*.prod.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a2f487b1674dd2b22b1ef420b483cbe3,cd05c45f27ea5538b14b3c551340921318ac375fdbedd2a9545256fdd4ba18f1,ctls,account.upstox.com,,443,https://bo.upstox.com:443,https,nginx,GET,65.1.62.251,/,1601036772,13.126.207.130,Nginx,1,False,,text/html,,True,,https://account.upstox.com:443/reports
