input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,content_type,tls_expired,csp_domains_,tls_wildcard_certificate,final_url,location
35-238-249-214.gs.stg.kokomo.dis.cusa.canon.com,,403,217,35-238-249-214.gs.stg.kokomo.dis.cusa.canon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-21T14:59:29Z,2028-06-19T15:01:29Z,CN=34.71.185.85,34.71.185.85,,kubernetes.default.svc.cluster.local,CN=867fc2e0-fb82-497c-95e8-b87741910ebc,867fc2e0-fb82-497c-95e8-b87741910ebc,,b6befeb6822c321d4c9f261832dd6a02,8cfcea5f4557880ec3c731a7449b2c3a4e243927aa8812eecb11f333d04f24c6,ctls,35-238-249-214.gs.stg.kokomo.dis.cusa.canon.com,google,443,https://35-238-249-214.gs.stg.kokomo.dis.cusa.canon.com:443,https,,GET,35.238.249.214,/,151275702,35.238.249.214,,10,False,True,True,application/json,,,,,
addrbook.cdf.usa.canon.com,,200,7,addrbook.cdf.usa.canon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-04T00:00:00Z,2024-01-03T23:59:59Z,"CN=mycanon.usa.canon.com, O=Canon U.S.A.\, INC., L=Melville, ST=New York, C=US",mycanon.usa.canon.com,"Canon U.S.A., INC.",cdf.usa.canon.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5263f29b8e1cb3f4b3d69eb5a69982f4,88eefa9626368a2e37741b52d43af31bf215ba905fa9d321da50905962758a25,ctls,addrbook.cdf.usa.canon.com,google,443,https://addrbook.cdf.usa.canon.com:443,https,kong/1.2.3,GET,34.102.160.245,/,1995304757,34.102.160.245,HTTP/3,1,False,True,True,,,,,,
address.mycanon.usa.canon.com,,200,7,address.mycanon.usa.canon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-04T00:00:00Z,2024-01-03T23:59:59Z,"CN=mycanon.usa.canon.com, O=Canon U.S.A.\, INC., L=Melville, ST=New York, C=US",mycanon.usa.canon.com,"Canon U.S.A., INC.",cdf.usa.canon.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5263f29b8e1cb3f4b3d69eb5a69982f4,88eefa9626368a2e37741b52d43af31bf215ba905fa9d321da50905962758a25,ctls,address.mycanon.usa.canon.com,google,443,https://address.mycanon.usa.canon.com:443,https,kong/1.2.3,GET,34.102.160.245,/,1995304757,34.102.160.245,HTTP/3,1,False,True,,,,,,,
addressbook.myprofile.americas.canon.com,,200,7,addressbook.myprofile.americas.canon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-12T00:00:00Z,2023-09-12T23:59:59Z,"CN=myprofile.americas.canon.com, O=Canon U.S.A.\, INC., L=Melville, ST=New York, C=US",myprofile.americas.canon.com,"Canon U.S.A., INC.",green.subscription-stripe.myprofile.americas.canon.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,603465b117d16dbc80a0e9fe2c3c3e04,3773295e7ec5386af0f178a5c8dfe4a048763edb12f6ef6b1b98cc902cb62db5,ctls,addressbook.myprofile.americas.canon.com,google,443,https://addressbook.myprofile.americas.canon.com:443,https,kong/1.2.3,GET,34.120.229.174,/,1995304757,34.120.229.174,HTTP/3,1,False,True,,,,,,,
adfs.cusa.canon.com,Not Found,404,315,adfs.cusa.canon.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-02-22T00:00:00Z,2024-02-21T23:59:59Z,"CN=adfs.corp.cusa.canon.com, O=Canon U.S.A.\, INC., L=Melville, ST=New York, C=US",adfs.corp.cusa.canon.com,"Canon U.S.A., INC.",adfs.cusa.canon.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,57e0101c9fe77bc4a93462f601f898b2,81ef3f4b64a589cb21bb4c2afc2f53bd4242553ce95e39a6a345b013f61d1d6e,ctls,adfs.cusa.canon.com,,443,https://adfs.cusa.canon.com:443,https,Microsoft-HTTPAPI/2.0,GET,146.184.161.115,/,225052475,146.184.161.115,Microsoft HTTPAPI:2.0,7,False,,,text/html,,,,,
adfs.infratech.canon.com,Not Found,404,315,adfs.infratech.canon.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-02-22T00:00:00Z,2024-02-21T23:59:59Z,"CN=adfs.corpit.infratech.canon.com, O=Canon U.S.A.\, INC., L=Melville, ST=New York, C=US",adfs.corpit.infratech.canon.com,"Canon U.S.A., INC.",adfs.infratech.canon.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,fa9d7796e9afd3488454f836a335b114,cb802d539c4b457980e06ced92aa57ff33f22f506f16b1a0d34678d5e44e2439,ctls,adfs.infratech.canon.com,,443,https://adfs.infratech.canon.com:443,https,Microsoft-HTTPAPI/2.0,GET,146.184.161.121,/,225052475,146.184.161.121,Microsoft HTTPAPI:2.0,7,False,,,text/html,,,,,
aem-stg.cusa.canon.com,503 Service Temporarily Unavailable,503,162,aem-stg.cusa.canon.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2021-07-02T00:00:00Z,2022-07-07T23:59:59Z,"CN=aem-stg.cusa.canon.com, O=Canon U.S.A.\, INC., L=Melville, ST=New York, C=US",aem-stg.cusa.canon.com,"Canon U.S.A., INC.",aem-stg.cusa.canon.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,28ff95fd887bfa0a5e8598931a52684e,ec429453450052b6fb3933ff67d6675f4bfa1e19481488a40273314b6b978657,ctls,aem-stg.cusa.canon.com,,443,https://aem-stg.cusa.canon.com:443,https,awselb/2.0,GET,34.192.165.77,/,1862162275,34.192.165.77,,7,False,,,text/html,True,,,,
api-gateway.dtp-community.dev.usa.canon.com,403,403,134,api-gateway.dtp-community.dev.usa.canon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-20T00:00:00Z,2024-03-19T23:59:59Z,"CN=imageconnect.dev.usa.canon.com, O=Canon U.S.A.\, INC., L=Melville, ST=New York, C=US",imageconnect.dev.usa.canon.com,"Canon U.S.A., INC.",socket-uploads.dtp-community.dev.usa.canon.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,3c5da7965e7bb9a71efe5f8af63071d6,ff6680d93c08d7ef97aef2ebcace32f80cc92e5bc64d858d2332fc16db95195e,ctls,api-gateway.dtp-community.dev.usa.canon.com,google,443,https://api-gateway.dtp-community.dev.usa.canon.com:443,https,,GET,35.227.221.22,/,1723221432,35.227.221.22,HTTP/3,1,False,True,,text/html,,,,,
api-gateway.dtp-community.devint.usa.canon.com,403,403,134,api-gateway.dtp-community.devint.usa.canon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-20T00:00:00Z,2024-03-19T23:59:59Z,"CN=imageconnect.devint.usa.canon.com, O=Canon U.S.A.\, INC., L=Melville, ST=New York, C=US",imageconnect.devint.usa.canon.com,"Canon U.S.A., INC.",socket-uploads.dtp-community.devint.usa.canon.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,aa8cbbc6c736eb03fb9d35aaa2cb036d,8ec3a1f94b7a87bf0fd34fc3207417e191786baa8ca5ce9cc56d34a9b91d1208,ctls,api-gateway.dtp-community.devint.usa.canon.com,google,443,https://api-gateway.dtp-community.devint.usa.canon.com:443,https,,GET,34.98.97.57,/,1723221432,34.98.97.57,HTTP/3,1,False,True,,text/html,,,,,
api-gateway.dtp-community.qa.usa.canon.com,403,403,134,api-gateway.dtp-community.qa.usa.canon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-16T00:00:00Z,2024-02-15T23:59:59Z,"CN=imageconnect.qa.usa.canon.com, O=Canon U.S.A.\, INC., L=Melville, ST=New York, C=US",imageconnect.qa.usa.canon.com,"Canon U.S.A., INC.",imageconnect.dtp-community.qa.usa.canon.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2751374a8742d0261044691ea2cdffe5,8f095c911f394eb3848c7868f69eb637e7acf9aac47b7a92b3c5c0898f6d2614,ctls,api-gateway.dtp-community.qa.usa.canon.com,google,443,https://api-gateway.dtp-community.qa.usa.canon.com:443,https,,GET,35.190.28.38,/,1723221432,35.190.28.38,HTTP/3,1,False,True,,text/html,,,,,
