new,host,ttl,a,aaaa,soa,status_code,cname,caa,ns,mx,txt
[x],coin98.com,300,"104.22.54.186, 104.22.55.186, 172.67.22.25",,"{'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,"colette.ns.cloudflare.com, patryk.ns.cloudflare.com",,"wallet-connect-dns-verification=d07cd6e60a6e2fce6fa3e4eeba55c262a08d5ec9319521ee3809bc3efe378a15, v=spf1 include:_spf.google.com include:sendgrid.net -all, google-site-verification=ts-VQplVBmORyTMMTCR91lvdUOqZQ_sjeX69S679AQw, ca3-7187efba5ece43e4a026722ea6c25f92, atlassian-domain-verification=aIOpJaMrGtxHrp7M1YXFR6wNdPJl6R31RQ5/lOJn5nLWGBiT78GkQFhXJLzuz9j8, k=rsa; t=s; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCi4v7wrVtSAHoXhYdFtbRfYbpZPoXjcQ64K4E2oTHESJyJmuPbaBjMexmCkJke7/lpls2E+CcrBavwMittlrpPY6F4mvbwVMnpvHtp0O7mdsr/iFYyetF4hdiQ1Wq4XBP2nmN1AAtphEvFIx6WBzIqlVGpk0ruDa0PftauOtSTkwIDAQAB"
[x],draw.coin98.com,300,"172.67.22.25, 104.22.54.186, 104.22.55.186","2606:4700:10::ac43:1619, 2606:4700:10::6816:36ba, 2606:4700:10::6816:37ba","{'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,92g3ox0p2a8vchm73eec.coin98.com,300,"172.67.22.25, 104.22.54.186, 104.22.55.186","2606:4700:10::ac43:1619, 2606:4700:10::6816:37ba, 2606:4700:10::6816:36ba","{'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,android.coin98.com,300,"172.67.22.25, 104.22.55.186, 104.22.54.186","2606:4700:10::6816:37ba, 2606:4700:10::6816:36ba, 2606:4700:10::ac43:1619","{'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,api-btc.coin98.com,300,,"2606:4700:10::ac43:1619, 2606:4700:10::6816:37ba, 2606:4700:10::6816:36ba","{'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,api-dapps.coin98.com,300,"104.22.55.186, 104.22.54.186, 172.67.22.25","2606:4700:10::ac43:1619, 2606:4700:10::6816:36ba, 2606:4700:10::6816:37ba","{'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,api-services.coin98.com,1800,,,"{'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,api.coin98.com,300,"104.22.55.186, 104.22.54.186, 172.67.22.25","2606:4700:10::6816:36ba, 2606:4700:10::6816:37ba, 2606:4700:10::ac43:1619","{'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,apk.coin98.com,300,,"2606:4700:10::ac43:1619, 2606:4700:10::6816:36ba, 2606:4700:10::6816:37ba","{'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'coin98.com', 'ns': 'colette.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340803527, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,apps.coin98.com,300,"143.204.98.3, 143.204.98.93, 143.204.98.13, 143.204.98.9",,"{'name': 'airbridge.io', 'ns': 'ns-778.awsdns-33.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'airbridge.io', 'ns': 'ns-778.awsdns-33.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'airbridge.io', 'ns': 'ns-778.awsdns-33.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'airbridge.io', 'ns': 'ns-778.awsdns-33.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'airbridge.io', 'ns': 'ns-778.awsdns-33.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,coin98superwallet-mjnl.custom-domain.airbridge.io,,,,
