input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,webserver,cdn_name,cdn,csp_domains_,final_url
*.amazonaws.com,Cloud Computing Services - Amazon Web Services (AWS),200,286411,aws.amazon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-08T00:00:00Z,2024-03-07T23:59:59Z,CN=aws.amazon.com,aws.amazon.com,1.aws-lbr.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,142203600fa2c4d1b20831103811f8d6,54108acd24884070f6280ba1133869ead976599d259f036c681587b6a5f081f5,ctls,aws.amazon.com,80,http://amazonaws.com:80,http,text/html,GET,72.21.210.29,/,1201614606,72.21.206.80,Handlebars,3061,False,,,,Server,,,https://google.de,https://aws.amazon.com/
*.cloudflareinsights.com,,200,498,cloudflareinsights.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.cloudflareinsights.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4e0bf2db15a4f004e02b1f87abe0a034,4a2187c4f351a5ae145ebe9f5fa421ced6a00ee1d2d3144822cba053d702d362,ctls,cloudflareinsights.com,443,https://cloudflareinsights.com:443,https,text/html,GET,104.16.56.101,/,1139640750,2606:4700::6810:3965,Cloudflare,10,False,,"Cloudflare, Inc.",True,cloudflare,cloudflare,True,,
*.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118545,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:16:09Z,2023-09-11T08:16:08Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,77fce969f6da9c23b46a4179eeece1a8,cd9aec87aa4ae96416bd900a0b81fba5a0f3f8e3b5fd4b2ea159059797f70790,ctls,marketingplatform.google.com,443,https://google-analytics.com:443,https,text/html,GET,216.58.212.164,/,302920777,2a00:1450:4001:80f::2004,HTTP/3,1833,False,,,True,sffe,,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/analytics/
*.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:16:09Z,2023-09-11T08:16:08Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,a70a503bfcd507236a0630c327963b39,f1e109477d076ab7412e70816a90acdcd1fff2d3ab53cc2429c27acccfe6cc5a,ctls,googletagmanager.com,443,https://googletagmanager.com:443,https,text/html,GET,142.250.186.168,/,302920777,2a00:1450:4001:82b::2008,HTTP/3,12,False,,,True,Google Tag Manager,,,,
*.youtube.com,YouTube,200,324612,m.youtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:16:09Z,2023-09-11T08:16:08Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,77fce969f6da9c23b46a4179eeece1a8,cd9aec87aa4ae96416bd900a0b81fba5a0f3f8e3b5fd4b2ea159059797f70790,ctls,m.youtube.com,443,https://youtube.com:443,https,text/html,GET,142.250.186.174,/,1179099333,2a00:1450:4001:806::200e,HTTP/3,13,False,True,,True,ESF,,,,https://m.youtube.com/
a.dev.octopus.com,Continuous delivery & deployment automation tool for DevOps teams | Octopus Deploy - Octopus Deploy,200,80757,a.dev.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-26T00:00:00Z,2023-12-26T23:59:59Z,CN=a.dev.octopus.com,a.dev.octopus.com,a.dev.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",8f3b28f0f90ea00a79aed4ffb124e13f,8d8d61de9be4227897838a4ee311f625151e2da275772963603186bf31e6803d,ctls,a.dev.octopus.com,443,https://a.dev.octopus.com:443,https,text/html,GET,13.107.246.45,/,987129143,2620:1ec:46::45,Microsoft ASP.NET,2284,False,,,,,,,,
account.octopus.com,Continuous delivery & deployment automation tool for DevOps teams | Octopus Deploy - Octopus Deploy,200,80377,octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-27T00:00:00Z,2024-04-08T23:59:59Z,CN=*.octopus.com,*.octopus.com,octopus.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,649b28c98342c2bcb66c780cab845cb7,af2d96176219f3dabebc19167f13e367b5bf08c351649818f75c5e0e0efb3d29,ctls,octopus.com,443,https://account.octopus.com:443,https,text/html,GET,13.107.246.45,/,1700312431,2620:1ec:46::45,Microsoft ASP.NET,2279,False,,,True,,,,,https://octopus.com/
advisories.octopus.com,Octopus Deploy Security Advisories,200,53343,advisories.octopus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2023-12-31T23:59:59Z,CN=advisories.octopus.com,advisories.octopus.com,advisories.octopus.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,538e8b2469ea8e7ccbdd860b816ed17b,5d307925b1cef0c27f33396cfffcbb61b3036a7dff410dd5995bbf43eb5784ff,ctls,advisories.octopus.com,443,https://advisories.octopus.com:443,https,text/html,GET,18.66.97.34,/,1736849922,2600:9000:223c:5200:10:8dfc:6000:93a1,Hugo:0.111.3,933,False,,,,AmazonS3,cloudfront,True,,
api.billing.a.dev.octopus.com,,200,44,api.billing.a.dev.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2023-12-25T23:59:59Z,CN=api.billing.a.dev.octopus.com,api.billing.a.dev.octopus.com,api.billing.a.dev.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",d9a4c3c498554be2425f5a223c613a81,5ff7750d46dff13fd67937830e2c5615292dfd56ff0c9fe08cb977f4ae4f0205,ctls,api.billing.a.dev.octopus.com,443,https://api.billing.a.dev.octopus.com:443,https,application/json,GET,13.107.246.45,/,-1840324437,2620:1ec:46::45,HSTS,1,False,,,,,,,,
api.billing.b.dev.octopus.com,,200,44,api.billing.b.dev.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-19T00:00:00Z,2023-12-19T23:59:59Z,CN=api.billing.b.dev.octopus.com,api.billing.b.dev.octopus.com,api.billing.b.dev.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",b19e93c14ed9c0fcdd0227d64794bee2,bd67459c5ed613ee53f0c1f9afb825470eec6c243c74471871029147fdfe5c08,ctls,api.billing.b.dev.octopus.com,443,https://api.billing.b.dev.octopus.com:443,https,application/json,GET,13.107.246.45,/,-1840324437,2620:1ec:46::45,HSTS,1,False,,,,,,,,
