input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_wildcard_certificate,content_type,tls_subject_org_,final_url,tls_mismatched
*.analytics.google.com,Redirecting...,200,888,analytics.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-19T12:53:06Z,2023-08-11T12:53:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,445215b2dc12d0ce2131cae978248fc8,e85d3546a46216866031dae34478188a6c9627ed4593b8de4d4ed0e522d9382e,ctls,analytics.google.com,,443,https://analytics.google.com:443,https,ESF,GET,216.239.34.181,/,302920777,2a00:1450:4001:827::200e,HTTP/3,1,False,,http:,True,text/html,,https://analytics.google.com/analytics/web/,
*.smooch.io,,200,155,smooch.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-04T23:59:59Z,CN=media.smooch.io,media.smooch.io,smooch.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4356bb18ba380cc0dcf6544c12886f59,946a484d3d3a2183fb595ad8908545fad4afbc1de75fe23ed6b00e33d498598f,ctls,smooch.io,cloudfront,443,https://smooch.io:443,https,AmazonS3,GET,108.138.17.121,/,-1507958442,108.138.17.33,Amazon Web Services,8,False,True,,,text/html,,,
*.zendesk.com,Zendesk | CRM-Software für den Kundenservice und den Vertrieb,200,367462,www.zendesk.de,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,zendesk.de,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9c0eb1f9c7c6542502cbb96d86f703f1,08d434a45d0a39fe633270134024a4450e29bd9fad5a6a7053c1c7844d965e62,ctls,www.zendesk.de,,443,https://zendesk.com:443,https,cloudflare,GET,216.198.1.60,/,-1813529437,216.198.1.62,webpack,994,False,,*.zendesk.com.ru,True,text/html,"Cloudflare, Inc.",https://www.zendesk.de/#georedirect,
*.zopim.com,Top 13 Live-Chat-Softwares und -Apps 2023,200,116664,www.zendesk.de,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,zendesk.de,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9c0eb1f9c7c6542502cbb96d86f703f1,08d434a45d0a39fe633270134024a4450e29bd9fad5a6a7053c1c7844d965e62,ctls,www.zendesk.de,cloudflare,443,https://zopim.com:443,https,cloudflare,GET,104.16.105.139,/,1455736919,104.16.106.139,Cloudflare Bot Management,1550,False,True,*.zendesk.hk,True,text/html,"Cloudflare, Inc.",https://www.zendesk.de/service/messaging/live-chat/?from=zp,
1password-scim-2.traderepublic.com,1Password SCIM bridge,200,559,1password-scim-2.traderepublic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-21T15:12:19Z,2023-07-20T15:12:18Z,CN=1password-scim-2.traderepublic.com,1password-scim-2.traderepublic.com,1password-scim-2.traderepublic.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,293e189d2b8e84eb1363675fe2e1ae51,60c3a92475f680c90c496b95d7d92f3e11cf55ece376e4da00c304ceabed28a2,ctls,1password-scim-2.traderepublic.com,google,443,https://1password-scim-2.traderepublic.com:443,https,,GET,34.118.120.250,/,104012657,34.118.120.250,,1,False,True,https://w3.org,,text/html,,https://1password-scim-2.traderepublic.com/app/,
app.traderepublic.com,Trade Republic,200,1302,app.traderepublic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-09T00:00:00Z,2024-06-07T23:59:59Z,CN=app.traderepublic.com,app.traderepublic.com,beta.app.traderepublic.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ae63ab6c76b0c12267e7a3cd4f4c91bf,b39e126d6546a9e559d5508e0ea9e275f7b84a9433fe07a4f4a5edfe7e4d8b8a,ctls,app.traderepublic.com,cloudfront,443,https://app.traderepublic.com:443,https,AmazonS3,GET,108.138.17.100,/,-1733767264,108.138.17.59,HSTS,1,False,True,rum-http-intake.logs.datadoghq.eu,True,text/html,,,
assets.traderepublic.com,,403,255,assets.traderepublic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-11-02T23:59:59Z,CN=assets.traderepublic.com,assets.traderepublic.com,assets.traderepublic.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4a44c11d1f340b94da317e56bb1c4a20,7cdf3a7c3a2fb1597fd942ac0cb0a759bda699a9af93e85de3fa16c7f210eb79,ctls,assets.traderepublic.com,cloudfront,443,https://assets.traderepublic.com:443,https,AmazonS3,GET,108.138.7.73,/,31828946,108.138.7.66,Amazon Web Services,2,False,True,,,application/xml,,,
assets.traderepublic.de,,200,,assets.traderepublic.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-03-23T23:59:59Z,CN=assets.traderepublic.de,assets.traderepublic.de,assets.traderepublic.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,20940204f74c095f39430313d677f319,016bdcbe23f3494bff893049a1a9aac4f71428c76f44a61988f1b9862a9c5d69,ctls,assets.traderepublic.de,cloudfront,443,https://assets.traderepublic.de:443,https,AmazonS3,GET,13.32.121.74,/,24761091,2600:9000:2240:7c00:b:dd87:1c40:93a1,Amazon Web Services,1,False,True,,,text/html,,,
beta.app.traderepublic.com,Trade Republic - Sign In,200,16544,traderepublic.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,ctls,traderepublic.okta.com,cloudfront,443,https://beta.app.traderepublic.com:443,https,nginx,GET,18.66.122.107,/,20548860,18.66.122.58,Nginx,468,False,True,*.tiles.mapbox.com,True,text/html,"Okta, Inc.",https://traderepublic.okta.com/oauth2/default/v1/authorize?client_id=0oa3kkgbwt456nvqA417&response_type=code&scope=openid&redirect_uri=https%3A%2F%2Fbeta.app.traderepublic.com%2Fauthorization-code%2Fcallback&state=https%3A%2F%2Fbeta.app.traderepublic.com%2F,
brand.traderepublic.com,Login - Trade-republic-bank-gmbh,200,23213,brand.traderepublic.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2023-08-23T23:59:59Z,CN=brand.traderepublic.com,brand.traderepublic.com,brand.traderepublic.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,9d8695b25352d9752c2f42a459d6c9a6,a02d1199400f04a3e35f60126cf292b4b22b674da5cfb9999d8ad7bb7a96dceb,ctls,brand.traderepublic.com,,443,https://brand.traderepublic.com:443,https,frontify,GET,3.77.94.197,/,1606628225,18.197.48.71,Sqreen,191,False,,,,text/html,,https://brand.traderepublic.com/auth/?referer=%2F,
cdn.firebase.com,Page Not Found,404,1584,cdn.firebase.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-13T08:44:30Z,2023-08-11T09:43:02Z,CN=www.ratoong.com,www.ratoong.com,example.imx-toolshed.io,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,f103e2d7237052c52ff3f331d18f5bcf,ade637809ab0d8cbc52f3ef82c8c17c3f47bf224cae414ebbaad528de09dbd5e,ctls,cdn.firebase.com,fastly,443,https://cdn.firebase.com:443,https,,GET,151.101.65.195,/,1194624130,151.101.1.195,HTTP/3,32,False,True,,,text/html,,,
checkoutshopper-live.adyen.com,,200,,checkoutshopper-live.adyen.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-31T00:00:00Z,2024-01-31T23:59:59Z,CN=adyen.com,adyen.com,*.adyen.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",7c2c024a0ed59f341b283ee38f3bf083,0dd8c89bfa2a115124d39d8a607c31bc735087fb68f4cef17a5fd924a5a9a148,ctls,checkoutshopper-live.adyen.com,,443,https://checkoutshopper-live.adyen.com:443,https,nginx,GET,147.12.16.68,/,643264156,193.67.130.68,Nginx,1,False,,,True,text/html,,,
clicks.traderepublic.com,404 Not Found,404,150,clicks.traderepublic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-27T00:00:00Z,2024-04-23T23:59:59Z,CN=clicks.traderepublic.com,clicks.traderepublic.com,clicks.traderepublic.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,403b76ee8eba20287fbca4cf5ee38cbd,3a80126504f1decc8763cdd45244d1b4ae7a958f31a974600da63c517d60dae6,ctls,clicks.traderepublic.com,cloudfront,443,https://clicks.traderepublic.com:443,https,msys-http,GET,18.66.147.128,/,1593207841,18.66.147.124,Amazon Web Services,8,False,True,,,text/html,,,
