input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url
auth.tva.com,,526,,auth.tva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-28T00:00:00Z,2023-08-28T23:59:59Z,"CN=tva.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",tva.com,"Cloudflare, Inc.",tva.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4a38a31569edefc1537b7643cd14ebc5,83dbe8de6cc8b00e8f471839712cef399d2f4b7fbed056766c8d886fcac14c8f,True,ctls,auth.tva.com,cloudflare,80,http://auth.tva.com:80,http,cloudflare,,GET,104.18.33.19,/,-1840324437,2606:4700:4400::ac40:9aed,HSTS,1,False,True,,https://auth.tva.com/
connect.tva.com,Just a moment...,403,6911,valleyconnect.tva.gov,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-28T00:00:00Z,2023-08-28T23:59:59Z,"CN=tva.gov, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",tva.gov,"Cloudflare, Inc.",*.tva.gov,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9fee63be2c9a775dc79d81bf0ce3d15c,f65a9eb5e610b46c49fe0eac10508b29025b396d2135ab6462eaf87ee5c4ccb5,True,ctls,valleyconnect.tva.gov,cloudflare,443,https://connect.tva.com:443,https,cloudflare,text/html,GET,172.64.154.237,/,-50055046,2606:4700:4400::6812:2113,HSTS,87,False,True,,https://valleyconnect.tva.gov/
connection.tva.com,Just a moment...,403,6932,valleyconnect.tva.gov,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-28T00:00:00Z,2023-08-28T23:59:59Z,"CN=tva.gov, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",tva.gov,"Cloudflare, Inc.",*.tva.gov,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9fee63be2c9a775dc79d81bf0ce3d15c,f65a9eb5e610b46c49fe0eac10508b29025b396d2135ab6462eaf87ee5c4ccb5,True,ctls,valleyconnect.tva.gov,cloudflare,443,https://connection.tva.com:443,https,cloudflare,text/html,GET,104.18.33.19,/,1401211459,2606:4700:4400::ac40:9aed,HSTS,87,False,True,,https://valleyconnect.tva.gov/
connections.tva.com,Just a moment...,403,6911,valleyconnect.tva.gov,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-28T00:00:00Z,2023-08-28T23:59:59Z,"CN=tva.gov, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",tva.gov,"Cloudflare, Inc.",*.tva.gov,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9fee63be2c9a775dc79d81bf0ce3d15c,f65a9eb5e610b46c49fe0eac10508b29025b396d2135ab6462eaf87ee5c4ccb5,True,ctls,valleyconnect.tva.gov,cloudflare,443,https://connections.tva.com:443,https,cloudflare,text/html,GET,172.64.154.237,/,1547031382,2606:4700:4400::6812:2113,HSTS,87,False,True,,https://valleyconnect.tva.gov/
crsg-training.tva.com,Sign in to your account,200,204578,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,cloudflare,443,https://crsg-training.tva.com:443,https,,text/html,GET,104.18.33.19,/,-1921171366,2606:4700:4400::ac40:9aed,HSTS,174,False,True,,https://login.microsoftonline.com/270992cd-9003-4971-84de-d1640c0bffc5/oauth2/authorize?response_type=code&client_id=3cec7437-80fc-4303-b038-af278bd00d09&scope=openid&nonce=649adda2-c460-492c-a7e7-17251922bfef&redirect_uri=https%3a%2f%2fcrsg-training.tva.com%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fcrsg-training.tva.com%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%22f4ea3d1e-d292-41f8-8d90-e2fc2351adf9%22%7d%23EndOfStateParam%23&client-request-id=f4ea3d1e-d292-41f8-8d90-e2fc2351adf9
crsg.tva.com,TEE Contingency Reserver Sharing Group,200,4283,crsg.tva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-28T00:00:00Z,2023-08-28T23:59:59Z,"CN=tva.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",tva.com,"Cloudflare, Inc.",tva.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4a38a31569edefc1537b7643cd14ebc5,83dbe8de6cc8b00e8f471839712cef399d2f4b7fbed056766c8d886fcac14c8f,True,ctls,crsg.tva.com,cloudflare,443,https://crsg.tva.com:443,https,cloudflare,text/html,GET,104.18.33.19,/,1631801191,2606:4700:4400::ac40:9aed,HSTS,78,False,True,,
ctr.tva.com,401 - Unauthorized: Access is denied due to invalid credentials.,401,2514,ctr.tva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-28T00:00:00Z,2023-08-28T23:59:59Z,"CN=tva.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",tva.com,"Cloudflare, Inc.",tva.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4a38a31569edefc1537b7643cd14ebc5,83dbe8de6cc8b00e8f471839712cef399d2f4b7fbed056766c8d886fcac14c8f,True,ctls,ctr.tva.com,cloudflare,443,https://ctr.tva.com:443,https,cloudflare,text/html,GET,104.18.33.19,/,-2017930255,2606:4700:4400::ac40:9aed,HSTS,30,False,True,,
ctracc.tva.com,401 - Unauthorized: Access is denied due to invalid credentials.,401,2514,ctracc.tva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-28T00:00:00Z,2023-08-28T23:59:59Z,"CN=tva.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",tva.com,"Cloudflare, Inc.",tva.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4a38a31569edefc1537b7643cd14ebc5,83dbe8de6cc8b00e8f471839712cef399d2f4b7fbed056766c8d886fcac14c8f,True,ctls,ctracc.tva.com,cloudflare,80,http://ctracc.tva.com:80,http,cloudflare,text/html,GET,172.64.154.237,/,-2017930255,2606:4700:4400::6812:2113,HSTS,30,False,True,,https://ctracc.tva.com/
ctrportal.tva.com,Sign in to your account,200,204384,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,cloudflare,443,https://ctrportal.tva.com:443,https,,text/html,GET,172.64.154.237,/,142000937,2606:4700:4400::6812:2113,HSTS,174,False,True,,https://login.microsoftonline.com/270992cd-9003-4971-84de-d1640c0bffc5/oauth2/authorize?response_type=code&client_id=5b41980e-5a64-4ddf-972f-6f4d04a4f855&scope=openid&nonce=6575359d-8592-4393-9b00-d1b2aedab7cf&redirect_uri=https%3a%2f%2fctrportal.tva.com%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fctrportal.tva.com%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%22ceef3ff6-9516-469c-9ddf-7b10f4ebba35%22%7d%23EndOfStateParam%23&client-request-id=ceef3ff6-9516-469c-9ddf-7b10f4ebba35
ebs.tva.com,Sign in to your account,200,202277,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,cloudflare,443,https://ebs.tva.com:443,https,,text/html,GET,104.18.33.19,/,-1776828498,2606:4700:4400::ac40:9aed,HSTS,174,False,True,,https://login.microsoftonline.com/270992cd-9003-4971-84de-d1640c0bffc5/oauth2/authorize?response_type=code&client_id=df93003c-d36b-4659-b6d9-62aac401ad8f&redirect_uri=https%3A%2F%2Fiap.tva.gov%2Faffwebservices%2Fpublic%2Foauthtokenconsumer&scope=openid&state=168766b8-f1fdac54-624b2422-12c3c2e8-edb1c5bc-257
