input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,csp_domains_
auth.tva.com,,526,,auth.tva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-28T00:00:00Z,2023-08-28T23:59:59Z,"CN=tva.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",tva.com,"Cloudflare, Inc.",tva.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4a38a31569edefc1537b7643cd14ebc5,83dbe8de6cc8b00e8f471839712cef399d2f4b7fbed056766c8d886fcac14c8f,True,ctls,auth.tva.com,cloudflare,443,https://auth.tva.com:443,https,cloudflare,,GET,104.18.33.19,/,-1840324437,2606:4700:4400::6812:2113,HSTS,1,False,True,,
connect.tva.com,Just a moment...,403,6952,valleyconnect.tva.gov,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-28T00:00:00Z,2023-08-28T23:59:59Z,"CN=tva.gov, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",tva.gov,"Cloudflare, Inc.",*.tva.gov,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9fee63be2c9a775dc79d81bf0ce3d15c,f65a9eb5e610b46c49fe0eac10508b29025b396d2135ab6462eaf87ee5c4ccb5,True,ctls,valleyconnect.tva.gov,cloudflare,443,https://connect.tva.com:443,https,cloudflare,text/html,GET,172.64.154.237,/,-1526503692,2606:4700:4400::ac40:9aed,HSTS,87,False,True,https://valleyconnect.tva.gov/,
connection.tva.com,Just a moment...,403,6816,valleyconnect.tva.gov,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-28T00:00:00Z,2023-08-28T23:59:59Z,"CN=tva.gov, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",tva.gov,"Cloudflare, Inc.",*.tva.gov,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9fee63be2c9a775dc79d81bf0ce3d15c,f65a9eb5e610b46c49fe0eac10508b29025b396d2135ab6462eaf87ee5c4ccb5,True,ctls,valleyconnect.tva.gov,cloudflare,443,https://connection.tva.com:443,https,cloudflare,text/html,GET,172.64.154.237,/,1583178462,2606:4700:4400::ac40:9aed,HSTS,87,False,True,https://valleyconnect.tva.gov/,
connections.tva.com,,403,16,connections.tva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-28T00:00:00Z,2023-08-28T23:59:59Z,"CN=tva.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",tva.com,"Cloudflare, Inc.",tva.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4a38a31569edefc1537b7643cd14ebc5,83dbe8de6cc8b00e8f471839712cef399d2f4b7fbed056766c8d886fcac14c8f,True,ctls,connections.tva.com,cloudflare,443,https://connections.tva.com:443,https,cloudflare,text/plain,GET,104.18.33.19,/,1659100526,2606:4700:4400::ac40:9aed,HSTS,1,False,True,,
ctr.tva.com,401 - Unauthorized: Access is denied due to invalid credentials.,401,2514,ctr.tva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-28T00:00:00Z,2023-08-28T23:59:59Z,"CN=tva.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",tva.com,"Cloudflare, Inc.",tva.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4a38a31569edefc1537b7643cd14ebc5,83dbe8de6cc8b00e8f471839712cef399d2f4b7fbed056766c8d886fcac14c8f,True,ctls,ctr.tva.com,cloudflare,443,https://ctr.tva.com:443,https,cloudflare,text/html,GET,104.18.33.19,/,-2017930255,2606:4700:4400::ac40:9aed,HSTS,30,False,True,,
ctracc.tva.com,401 - Unauthorized: Access is denied due to invalid credentials.,401,2514,ctracc.tva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-28T00:00:00Z,2023-08-28T23:59:59Z,"CN=tva.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",tva.com,"Cloudflare, Inc.",tva.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4a38a31569edefc1537b7643cd14ebc5,83dbe8de6cc8b00e8f471839712cef399d2f4b7fbed056766c8d886fcac14c8f,True,ctls,ctracc.tva.com,cloudflare,443,https://ctracc.tva.com:443,https,cloudflare,text/html,GET,172.64.154.237,/,-2017930255,2606:4700:4400::6812:2113,HSTS,30,False,True,,
ctrportal.tva.com,Sign in to your account,200,200944,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,cloudflare,443,https://ctrportal.tva.com:443,https,,text/html,GET,104.18.33.19,/,1721193292,2606:4700:4400::6812:2113,HSTS,174,False,True,https://login.microsoftonline.com/270992cd-9003-4971-84de-d1640c0bffc5/oauth2/authorize?response_type=code&client_id=5b41980e-5a64-4ddf-972f-6f4d04a4f855&scope=openid&nonce=87893153-88a9-44de-b6d2-d03f60df0afc&redirect_uri=https%3a%2f%2fctrportal.tva.com%2f&state=AppProxyState%3a%7b%22InvalidTokenRetry%22%3anull%2c%22IsMsofba%22%3afalse%2c%22OriginalRawUrl%22%3a%22https%3a%5c%2f%5c%2fctrportal.tva.com%5c%2f%22%2c%22RequestProfileId%22%3anull%2c%22SessionId%22%3a%227548f1a0-6875-423e-a96f-6522724a92a2%22%7d%23EndOfStateParam%23&client-request-id=7548f1a0-6875-423e-a96f-6522724a92a2,
ebs.tva.com,Sign in to your account,200,200712,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,cloudflare,443,https://ebs.tva.com:443,https,,text/html,GET,172.64.154.237,/,-1403358589,2606:4700:4400::ac40:9aed,HSTS,174,False,True,https://login.microsoftonline.com/270992cd-9003-4971-84de-d1640c0bffc5/oauth2/authorize?response_type=code&client_id=df93003c-d36b-4659-b6d9-62aac401ad8f&redirect_uri=https%3A%2F%2Fiap.tva.gov%2Faffwebservices%2Fpublic%2Foauthtokenconsumer&scope=openid&state=2ed03d2f-5d2c0333-c90a15c6-2e9a104e-f7d9bb34-3a,
facts.tva.com,Sign in to your account,200,199189,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,,443,https://facts.tva.com:443,https,,text/html,GET,152.85.5.157,/,1512433903,152.85.5.157,HSTS,173,False,,https://login.microsoftonline.com/270992cd-9003-4971-84de-d1640c0bffc5/oauth2/authorize?response_type=code&client_id=5659922c-7515-4594-b640-b8bf3dd519ce&redirect_uri=https%3A%2F%2Fiap.tva.gov%2Faffwebservices%2Fpublic%2Foauthtokenconsumer&scope=openid&state=35a8d290-c26ae4c0-3907a56a-c4158877-055b5e63-40,
jobs.tva.com,Just a moment...,403,6765,www.tva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-28T00:00:00Z,2023-08-28T23:59:59Z,"CN=tva.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",tva.com,"Cloudflare, Inc.",tva.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4a38a31569edefc1537b7643cd14ebc5,83dbe8de6cc8b00e8f471839712cef399d2f4b7fbed056766c8d886fcac14c8f,True,ctls,www.tva.com,cloudflare,443,https://jobs.tva.com:443,https,cloudflare,text/html,GET,104.18.33.19,/,-1723102958,2606:4700:4400::6812:2113,HSTS,87,False,True,https://www.tva.com/Careers,
