new,host,ttl,cname,mx,soa,txt,status_code,a,ns,cdn,cdn-name,aaaa,has_internal_ips,internal_ips,caa
[x],merck.com,300,,msdcloud.mail.protection.outlook.com,"{'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}","_globalsign-domain-verification=J7ojurG8pfHB1_T7RRXWhSXvJnAJ-Ly9X4moPnOfve, google-site-verification=fFR6UZDhXRia_VuIGTVOCOlwQzpsndzqs6PubIIOfnk, NM3NBUfHMehhQbbV4KLwYKCcHEGbMIeUrR8WXIn+ECtXmrshEmZFlLtQN/Ve4ley/2xE5Dj5oFB51rYZBAt7xA==, ibmid= 81d5ac3b-53ce-4d24-9062-4057a4045f96, adobe-idp-site-verification=c9df9d351e2d97fe46b43740c6593677199a0bc21036f69a3e304fb45ba1fdba, TNvYRxzRPZ9bp12r3tS8oIWZ7CqmudOjsx7_f2a9UCg, w0sg3gyn09nh3tqmf65frh18nddvmx3v, google-site-verification=3FzJ88NeaXEIhicFwNbTkVCZbN3If4NqR1JZ7F0rU8o, atlassian-domain-verification=ciUKXFyshP71uhmcYlixwC3ClAKoTjYehQTYKZ/4WdBAEfdP7ZKxfTbXsSYkVgky, workplace-domain-verification=cZLaRzArPk5jzUj4tcvJm8xtxeWedR, g4mp7kf92k0pttl4dwpc66sm3y4hhslc, google-site-verification=k7Tz6dZz7mJa7iQ8I1cqR2Kn_gDRTYoWEMMhcSFyYT4, 44e4c91b36f190hu3vc5j589r, google-site-verification=TNvYRxzRPZ9bp12r3tS8oIWZ7CqmudOjsx7_f2a9UCg, google-site-verification=Mxpc7VG_3cBpAqm9gE0YjgVs80pVkZs6-mSZTJeDZSM, ehklccfrmqtog011qavchou5oo, extensis-domain-verification=f9447776-1a22-4bda-b0da-16c1a41aea1c, 20q8kh5vb8lc34dg17lk07rh5n, 0ed1fe018a31147b85218b4de29ec808fd5b4ab1d8, 2mjbhlht9j0g3928i2oe5nqi6a, onetrust-domain-verification=1478f1a6e1ed4c2c9c099a356b4e1284, MS=ms81705768, autodesk-domain-verification=QidA8UKJFkGFps0q21Ve, v=spf1 include:spf1.merck.com include:spf2.merck.com ~all, flexera-domain-verification-pjdxpopuhvhasmse, MS=ms73390276, kjDXtGLRgdP5O01I8wySejNk1/dm/A3GVOA1+hhDBKzg7pDUohIuvQh+yqF8s4c5ypL6vo1xh0shh6oaFlpGUg==, ys4kh6150g7rsrgnr5kzmqzykkwpbhlv, 2a6hcn5keoukshbma518dg69a5, 76dkj9u7598f7503gp8j9thda8, jlvgnenmenn78fup62soefgcph, docker-verification=55bc797b-4c8f-40c0-ac57-17a644048b79, y24y8d5tf27321g3h6rs2z3q8k8md9ls, zm4xgs82p44jf5nbr2fv8k95d34vljck, onetrust-domain-verification=6095750f880442f6a27969ee753b9623, facebook-domain-verification=9kjy8qvfwmsr3wjj8wci2waq80vl1c, 8gcvl81vgkbcnq6nz80f12rq0cy438h2, v=DMARC1; p=none; pct=100; rua=mailto:sensehubfeedlot@merck.com, rvxhp3tp6ft3s0tm57v4fmnt2x59clpq, Dynatrace-site-verification=3a44c6ac-87f4-4c95-a4b2-61b75996bcf9__556f2vbvbo83bs55ff6a3itci9, cloudhealth=1f6ab3c0-a9a8-4379-b750-c416c5a023d7, vmware-cloud-verification-1840573e-2bc4-4fb4-b45d-cdc1083f431d",NOERROR,"192.0.66.119, 209.244.4.85, 209.244.4.148, 68.94.156.132, 99.99.99.132, 68.94.156.134, 99.99.99.134","dbru.br.ns.els-gms.att.net, cbru.br.ns.els-gms.att.net, dmtu.mt.ns.els-gms.att.net, cmtu.mt.ns.els-gms.att.net, ns6.customer.level3.net, ns9.customer.level3.net",,,,,,
[x],msd.com,300,,,"{'name': 'msd.com', 'ns': 'cbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 895, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'msd.com', 'ns': 'cbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 895, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'msd.com', 'ns': 'cbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 895, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'msd.com', 'ns': 'cbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 895, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}","google-site-verification=vyEAkXYFiG8IwnnXTEQRmpbPXmz5gpV48ieXUHpTR74, atlassian-domain-verification=ciUKXFyshP71uhmcYlixwC3ClAKoTjYehQTYKZ/4WdBAEfdP7ZKxfTbXsSYkVgky, onetrust-domain-verification=edbbb4ae5a764ac9ab9ae573e0848e4e, Dynatrace-site-verification=83eb4887-d766-48ce-b9d7-2ba1d86db241__9hjdk6e5mgfphjl48a5f33iueh, google-site-verification=yqxaWmq1uhwOJGeJpVUO8wUQEtRrGn_2jkStxVXnhf8, google-site-verification=sqH4sy90NojHzs1MyfqJME8Zx8hEV60lPe-2IfmJhKw, PK0TqEuTqXrH1Y4KMfpd53X06AURbOsYppRg9D+pmPI1h+fruKQSBMU2JwMbwIwVOYbA26ToVqA/rtJvaE+UKw==, google-site-verification=xeI-VGsxN2A-3OO1566AeH3eMRA04yNYFLARk6ard_g, xPty9Lmxze/T8jPipefUWYL7IRNja0xtfJcvrieaX9ohXlKcKnZlU9Yfz0u8EMqyuF07F/oOVq/S3awmMpPMxw==, v=spf1 include:spf1.msd.com include:spf2.msd.com ~all, MS=ms62334964, 0ed1fe018aba40790740a245258f24e595607e2d2e, sqH4sy90NojHzs1MyfqJME8Zx8hEV60lPe-2IfmJhKw, flexera-domain-verification-yhzwliiemmmkmoxk, w4n8rxwb44qtj421ytqrqk062rytlrht, autodesk-domain-verification=C4vMz6pBIow1HWmXN909, adobe-idp-site-verification=c9df9d351e2d97fe46b43740c6593677199a0bc21036f69a3e304fb45ba1fdba, onetrust-domain-verification=b4658c75f910409a84341a59722f5075, 70j1y63j88vnszqw00pc6d1hzwb6rn0h, google-site-verification=Ai6Qaq4L0Csk7Ns_WDu4TJccWu-dw0g5dZhyLc_7oho",NOERROR,192.0.66.136,,,,,,,
,019-isales.merck.com,3600,,,"{'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}",,NOERROR,155.91.34.219,,,,,,,
,020-isales.merck.com,3600,,,"{'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}",,NOERROR,155.91.34.220,,,,,,,
,021-isales.merck.com,3600,,,"{'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}",,NOERROR,155.91.34.222,,,,,,,
,022-isales.merck.com,3600,,,"{'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}",,NOERROR,155.91.34.223,,,,,,,
,023-isales.merck.com,3600,,,"{'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}",,NOERROR,155.91.34.224,,,,,,,
,024-isales.merck.com,3600,,,"{'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}",,NOERROR,155.91.34.232,,,,,,,
,025-isales.merck.com,3600,,,"{'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}",,NOERROR,155.91.34.227,,,,,,,
,026-isales.merck.com,3600,,,"{'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}, {'name': 'merck.com', 'ns': 'dbru.br.ns.els-gms.att.net', 'mailbox': 'rm-hostmaster.ems.att.com', 'serial': 1902, 'refresh': 3600, 'retry': 1200, 'expire': 604800, 'minttl': 3600}",,NOERROR,155.91.34.228,,,,,,,
