input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_mismatched
*.storage.googleapis.com,,400,181,storage.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:03:36Z,2023-07-17T12:03:35Z,CN=storage.googleapis.com,storage.googleapis.com,,storage.googleapis.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,6aae9b9b021c631d088819146d4e4132,b5a09e82e1997aa9fc271f49c70cfde072c336db5ab25935ee117f98af7bec9a,,ctls,storage.googleapis.com,,443,https://storage.googleapis.com:443,https,UploadServer,application/xml,GET,172.217.18.16,/,1932894636,2a00:1450:4001:82f::2010,HTTP/3,1,False,,,,
academy.securityscorecard.com,SecurityScorecard Academy,200,154886,academy.securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-08-19T23:59:59Z,CN=academy.securityscorecard.com,academy.securityscorecard.com,,academy.securityscorecard.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b307191e5f1b50e214f1e6e7d3103274,0806b4bfd68d66bca3b7517206e979cd559746b8e0b85924e3d486e18e7678c2,,ctls,academy.securityscorecard.com,cloudfront,443,https://academy.securityscorecard.com:443,https,gunicorn,text/html,GET,108.138.17.91,/,290626382,108.138.17.44,gunicorn,2309,False,True,https://securityscorecard.pathfactory.com,,
analytics.securityscorecard.com,Attention Required! | Cloudflare,403,4525,analytics.securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.securityscorecard.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ded773f0b3a99e8cc40106bf2287d49f,0a70d5d1e26d8aff6f8927a115888358eb9992c55da2a97cf67855241332a514,True,ctls,analytics.securityscorecard.com,cloudflare,443,https://analytics.securityscorecard.com:443,https,cloudflare,text/html,GET,172.67.67.250,/,-723667451,2606:4700:20::6819:2866,HSTS,94,False,True,,,
api.securityscorecard.com,Error,404,139,api.securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-24T23:59:59Z,CN=*.securityscorecard.com,*.securityscorecard.com,,*.securityscorecard.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1a5d463cd9354cf184efb568615acef7,3dff3e266d22cea2869c3b1ae5bbdc2c7fcf967faf51279000cdf70356a9fd65,True,ctls,api.securityscorecard.com,cloudfront,443,https://api.securityscorecard.com:443,https,,text/html,GET,13.224.189.43,/,1593207841,13.224.189.106,HSTS,11,False,True,,,
api.securityscorecard.io,Error,404,139,api.securityscorecard.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-24T23:59:59Z,CN=*.securityscorecard.io,*.securityscorecard.io,,*.securityscorecard.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d1b78878b867666e944f607eb34969e1,05e94c01233a081ef5d6e2e212f1b00e0b5ca1c4944ba26a4469bc070183f277,True,ctls,api.securityscorecard.io,cloudfront,443,https://api.securityscorecard.io:443,https,,text/html,GET,13.249.9.22,/,1593207841,13.249.9.101,HSTS,11,False,True,,,
assets.securityscorecard.io,,200,302647,assets.securityscorecard.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-24T23:59:59Z,CN=*.securityscorecard.com,*.securityscorecard.com,,*.securityscorecard.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1a5d463cd9354cf184efb568615acef7,3dff3e266d22cea2869c3b1ae5bbdc2c7fcf967faf51279000cdf70356a9fd65,True,ctls,assets.securityscorecard.io,cloudfront,443,https://assets.securityscorecard.io:443,https,AmazonS3,application/xml,GET,13.32.99.114,/,-1840324437,13.32.99.105,Amazon Web Services,2,False,True,,,True
atlas-backend.securityscorecard.io,404 Not Found,404,232,atlas-backend.securityscorecard.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-24T23:59:59Z,CN=*.securityscorecard.io,*.securityscorecard.io,,*.securityscorecard.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d1b78878b867666e944f607eb34969e1,05e94c01233a081ef5d6e2e212f1b00e0b5ca1c4944ba26a4469bc070183f277,True,ctls,atlas-backend.securityscorecard.io,,443,https://atlas-backend.securityscorecard.io:443,https,gunicorn/20.0.4,text/html,GET,3.214.23.109,/,-986470109,54.197.100.231,gunicorn:20.0.4,5,False,,https://*.pendo.io,,
atlas.securityscorecard.io,ATLAS,200,2573,atlas.securityscorecard.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-08-26T23:59:59Z,CN=*.atlas.securityscorecard.io,*.atlas.securityscorecard.io,,atlas.securityscorecard.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,916fa41385ab66f247f49b776535e42b,ebc18edbc7553e468383702baaffd9cc7545db2e38281555cf0ec4ddd3fbae9a,True,ctls,atlas.securityscorecard.io,cloudfront,443,https://atlas.securityscorecard.io:443,https,AmazonS3,text/html,GET,13.225.34.70,/,1326708382,13.225.34.126,HSTS,1,False,True,https://sentry.io,,
beta.atlas.securityscorecard.io,ATLAS,200,2573,beta.atlas.securityscorecard.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-08-26T23:59:59Z,CN=*.atlas.securityscorecard.io,*.atlas.securityscorecard.io,,atlas.securityscorecard.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,916fa41385ab66f247f49b776535e42b,ebc18edbc7553e468383702baaffd9cc7545db2e38281555cf0ec4ddd3fbae9a,True,ctls,beta.atlas.securityscorecard.io,cloudfront,443,https://beta.atlas.securityscorecard.io:443,https,AmazonS3,text/html,GET,65.9.66.120,/,1326708382,65.9.66.111,HSTS,1,False,True,https://fonts.googleapis.com/,,
blog.securityscorecard.com,502 Bad Gateway,502,149,securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-03T18:27:37Z,2023-08-01T18:27:36Z,CN=securityscorecard.com,securityscorecard.com,,securityscorecard.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a14125a6ca37011ad4bb269bd80c743d,1d5976367b3ad7ce7ec73c8040300fa835f988c4209d7ac426fbdb0d7fc1e989,,ctls,securityscorecard.com,cloudflare,443,https://blog.securityscorecard.com:443,https,cloudflare,text/html,GET,104.25.39.102,/,214324155,2606:4700:20::6819:2866,HSTS,14,False,True,,https://securityscorecard.com/blog/,
