input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_mismatched
accounts.adafruit.com,Accounts,200,13962,accounts.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,Adafruit Industries LLC,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,True,ctls,accounts.adafruit.com,cloudflare,443,https://accounts.adafruit.com:443,https,cloudflare,text/html,GET,104.20.39.240,/,-1840324437,2606:4700:10::6814:27f0,Ruby on Rails,267,False,True,https://accounts.adafruit.com/users/sign_in,
adafruit.com,"Adafruit Industries, Unique & fun DIY electronics and kits",200,39339,www.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,Adafruit Industries LLC,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,True,ctls,www.adafruit.com,cloudflare,443,https://adafruit.com:443,https,cloudflare,text/html,GET,104.20.38.240,/,-1560518779,2606:4700:10::6814:27f0,HSTS,648,False,True,https://www.adafruit.com/,
blog.adafruit.com,"Adafruit Industries – Makers, hackers, artists, designers and engineers!",200,79245,blog.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,Adafruit Industries LLC,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,True,ctls,blog.adafruit.com,cloudflare,443,https://blog.adafruit.com:443,https,cloudflare,text/html,GET,104.20.38.240,/,-909672922,2606:4700:10::6814:27f0,WordPress:6.2,813,False,True,,
cdn-blog.adafruit.com,Attention Required! | Cloudflare,403,4512,cdn-blog.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,Adafruit Industries LLC,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,True,ctls,cdn-blog.adafruit.com,cloudflare,443,https://cdn-blog.adafruit.com:443,https,cloudflare,text/html,GET,104.20.38.240,/,-1832772973,2606:4700:10::6814:26f0,HSTS,94,False,True,,
cdn-daily-blog.adafruitdaily.com,,403,243,cdn-daily-blog.adafruitdaily.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T03:09:40Z,2023-08-06T03:09:39Z,CN=adafruitdaily.com,adafruitdaily.com,,adafruitdaily.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,86ddf814a18fb67e5e8ada54f5d0b48c,91d7b4ec2254811987d6f26d11cd07a0dffcca90516c3ad3a60daf73aaabadfc,True,ctls,cdn-daily-blog.adafruitdaily.com,cloudflare,443,https://cdn-daily-blog.adafruitdaily.com:443,https,cloudflare,application/xml,GET,172.67.181.184,/,-1323810370,2606:4700:3033::6815:2ba5,HTTP/3,2,False,True,,
cdn-shop.adafruit.com,,404,9,cdn-shop.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,Adafruit Industries LLC,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,True,ctls,cdn-shop.adafruit.com,cloudflare,443,https://cdn-shop.adafruit.com:443,https,cloudflare,text/plain,GET,104.20.39.240,/,-738705486,2606:4700:10::6814:26f0,HSTS,1,False,True,,
forums.adafruit.com,adafruit industries - Forums Index,200,113761,forums.adafruit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,Adafruit Industries LLC,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,True,ctls,forums.adafruit.com,,443,https://forums.adafruit.com:443,https,nginx,text/html,GET,54.91.7.192,/,913732846,54.91.7.192,Nginx,1985,False,,,
i.adafruit.com,Accounts,200,13962,accounts.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,Adafruit Industries LLC,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,True,ctls,accounts.adafruit.com,,443,https://i.adafruit.com:443,https,cloudflare,text/html,GET,34.227.62.224,/,-30411784,34.227.62.224,Ruby on Rails,267,False,,https://accounts.adafruit.com/users/sign_in,
io.adafruit.com,IO - Adafruit,200,13412,io.adafruit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,Adafruit Industries LLC,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,True,ctls,io.adafruit.com,,443,https://io.adafruit.com:443,https,nginx,text/html,GET,52.54.110.50,/,-1840324437,52.54.163.195,Ruby on Rails,211,False,,,
kim.adafruit.com,404 Not Found,404,548,kim.adafruit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,Adafruit Industries LLC,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,True,ctls,kim.adafruit.com,,443,https://kim.adafruit.com:443,https,nginx,text/html,GET,44.203.191.78,/,566218143,44.203.191.78,Nginx,14,False,,,
