input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,cdn_name,cdn,final_url
accounts.adafruit.com,Accounts,200,13783,accounts.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,accounts.adafruit.com,443,https://accounts.adafruit.com:443,https,cloudflare,text/html,GET,104.20.38.240,/,-1840324437,2606:4700:10::6814:27f0,Ruby on Rails,267,False,,Adafruit Industries LLC,True,cloudflare,True,https://accounts.adafruit.com/users/sign_in
adafruit.com,"Adafruit Industries, Unique & fun DIY electronics and kits",200,39393,www.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,www.adafruit.com,443,https://adafruit.com:443,https,cloudflare,text/html,GET,104.20.39.240,/,-1560518779,2606:4700:10::6814:27f0,HSTS,645,False,,Adafruit Industries LLC,True,cloudflare,True,https://www.adafruit.com/
cdn-daily-blog.adafruitdaily.com,,403,263,cdn-daily-blog.adafruitdaily.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T03:09:40Z,2023-08-06T03:09:39Z,CN=adafruitdaily.com,adafruitdaily.com,adafruitdaily.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,86ddf814a18fb67e5e8ada54f5d0b48c,91d7b4ec2254811987d6f26d11cd07a0dffcca90516c3ad3a60daf73aaabadfc,ctls,cdn-daily-blog.adafruitdaily.com,443,https://cdn-daily-blog.adafruitdaily.com:443,https,cloudflare,application/xml,GET,104.21.43.165,/,802915390,2606:4700:3036::ac43:b5b8,HTTP/3,2,False,,,True,cloudflare,True,
cdn-learn.adafruit.com,,404,9,cdn-learn.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,cdn-learn.adafruit.com,443,https://cdn-learn.adafruit.com:443,https,cloudflare,text/plain,GET,104.20.38.240,/,-738705486,2606:4700:10::6814:26f0,HSTS,1,False,,Adafruit Industries LLC,True,cloudflare,True,
cdn-shop.adafruit.com,,404,9,cdn-shop.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,cdn-shop.adafruit.com,443,https://cdn-shop.adafruit.com:443,https,cloudflare,text/plain,GET,104.20.38.240,/,-738705486,2606:4700:10::6814:27f0,HSTS,1,False,,Adafruit Industries LLC,True,cloudflare,True,
forums.adafruit.com,adafruit industries - Forums Index,200,113530,forums.adafruit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,forums.adafruit.com,443,https://forums.adafruit.com:443,https,nginx,text/html,GET,54.91.7.192,/,913732846,54.91.7.192,Nginx,1981,False,,Adafruit Industries LLC,True,,,
i.adafruit.com,Accounts,200,13783,accounts.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,accounts.adafruit.com,443,https://i.adafruit.com:443,https,cloudflare,text/html,GET,34.227.62.224,/,-1729794687,34.227.62.224,Ruby on Rails,267,False,,Adafruit Industries LLC,True,,,https://accounts.adafruit.com/users/sign_in
io.adafruit.com,IO - Adafruit,200,13483,io.adafruit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,io.adafruit.com,443,https://io.adafruit.com:443,https,nginx,text/html,GET,52.54.163.195,/,-1840324437,52.54.110.50,Ruby on Rails,211,False,,Adafruit Industries LLC,True,,,
jobs.adafruit.com,Careers at Adafruit,200,28378,www.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,www.adafruit.com,443,https://jobs.adafruit.com:443,https,cloudflare,text/html,GET,104.20.39.240,/,-1066965322,2606:4700:10::6814:26f0,HSTS,417,False,,Adafruit Industries LLC,True,cloudflare,True,https://www.adafruit.com/careers
kim.adafruit.com,404 Not Found,404,548,kim.adafruit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,kim.adafruit.com,443,https://kim.adafruit.com:443,https,nginx,text/html,GET,44.203.191.78,/,566218143,44.203.191.78,Nginx,14,False,,Adafruit Industries LLC,True,,,
learn.adafruit.com,Adafruit Learning System,200,84455,learn.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,learn.adafruit.com,443,https://learn.adafruit.com:443,https,cloudflare,text/html,GET,104.20.38.240,/,-1840324437,2606:4700:10::6814:27f0,Ruby on Rails,2173,False,,Adafruit Industries LLC,True,cloudflare,True,
makecode.adafruit.com,Adafruit Circuit Playground Express - Blocks / Javascript editor,200,13677,makecode.adafruit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-18T00:00:00Z,2023-10-18T23:59:59Z,"CN=makecode.microbit.org, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",makecode.microbit.org,makecode.seeedstudio.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3fa5f9c2f6366411175046f570432299,e8d2a1539ee022c07aa01fd4c4c30c171172a4e47c5d4fb3fec27c5a44e6abbf,ctls,makecode.adafruit.com,443,https://makecode.adafruit.com:443,https,restify,text/html,GET,20.49.104.33,/,-685744919,20.49.104.33,HSTS,222,False,,Microsoft Corporation,,azure,True,
makecode.adafruitdaily.com,MakeCode « Adafruit Daily,200,9914,makecode.adafruitdaily.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-01T23:41:26Z,2023-06-30T23:41:25Z,CN=makecode.adafruitdaily.com,makecode.adafruitdaily.com,makecode.adafruitdaily.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f5c54581fd4cf4046678b8a1dd02e055,6cebcaad26d77d455b680270ccd3cea0abf7c55ab2a32e6074cd1576193dd8cb,ctls,makecode.adafruitdaily.com,443,https://makecode.adafruitdaily.com:443,https,GitHub.com,text/html,GET,185.199.109.153,/,-1700323260,2606:50c0:8003::153,Varnish,333,False,,,,,,
podcasts.adafruit.com,,200,28112,podcasts.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T01:04:52Z,2023-07-23T01:04:51Z,CN=podcasts.adafruit.com,podcasts.adafruit.com,podcasts.adafruit.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2283122310e6a26ed3a354a8f35abcb1,17323754651114c143d0adceae27386a436edf7e0372da8ca7936e75ca85327b,ctls,podcasts.adafruit.com,443,https://podcasts.adafruit.com:443,https,nginx/1.18.0 (Ubuntu),text/html,GET,54.86.184.99,/,2070389824,54.86.184.99,Ubuntu,392,False,,,,,,
pxt.adafruit.com,Microsoft Azure Web App - Error 404,404,2667,pxt.adafruit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-10T03:05:55Z,2024-03-04T03:05:55Z,"CN=*.azurewebsites.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azurewebsites.net,*.sso.azurewebsites.net,"CN=Microsoft Azure TLS Issuing CA 02, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 02,Microsoft Corporation,34e8bb57e6dfaa5c2aa7153ca66267a8,5a3902ccc4b77e83d8334c36f36b280ba75f4bad0bdd844ce57816586fd07609,ctls,pxt.adafruit.com,443,https://pxt.adafruit.com:443,https,,text/html,GET,20.49.104.33,/,387302845,20.49.104.33,,87,False,True,Microsoft Corporation,True,azure,True,
status.adafruit.com,Adafruit Status,200,21104,www.adafruitstatus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-23T12:45:26Z,2023-06-21T12:45:25Z,CN=www.adafruitstatus.com,www.adafruitstatus.com,www.adafruitstatus.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9a2e9cbe9251c10857a915de0190d6f7,b9fff353a5318c589f64d3d25d5346e55a4a295e9604822d527a33ad160dfd56,ctls,www.adafruitstatus.com,443,https://status.adafruit.com:443,https,Caddy,text/html,GET,104.20.38.240,/,496927382,2606:4700:10::6814:27f0,UIKit,266,False,,,,cloudflare,True,https://www.adafruitstatus.com/
volcano.adafruit.com,Login,200,1207,volcano.adafruit.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,volcano.adafruit.com,443,https://volcano.adafruit.com:443,https,nginx,text/html,GET,44.203.191.78,/,1494302000,44.203.191.78,Nginx,33,False,,Adafruit Industries LLC,True,,,https://volcano.adafruit.com/volcano/login.php
wifitest.adafruit.com,403 Forbidden,403,162,,,,,,,,,,,,,,,,,,80,http://wifitest.adafruit.com:80,http,nginx/1.18.0 (Ubuntu),text/html,GET,52.207.219.136,/,-2144967296,52.207.219.136,Ubuntu,8,False,,,,,,
www.adafruit.com,"Adafruit Industries, Unique & fun DIY electronics and kits",200,39333,www.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,www.adafruit.com,443,https://www.adafruit.com:443,https,cloudflare,text/html,GET,104.20.38.240,/,-1560518779,2606:4700:10::6814:27f0,HSTS,645,False,,Adafruit Industries LLC,True,cloudflare,True,
