input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,cdn_name,cdn,final_url
accounts.adafruit.com,Accounts,200,14776,accounts.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,accounts.adafruit.com,443,https://accounts.adafruit.com:443,https,cloudflare,text/html,GET,104.20.38.240,/,-1840324437,2606:4700:10::6814:26f0,Ruby on Rails,268,False,,Adafruit Industries LLC,True,cloudflare,True,https://accounts.adafruit.com/users/sign_in
adafruit.com,"Adafruit Industries, Unique & fun DIY electronics and kits",200,40598,www.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,www.adafruit.com,443,https://adafruit.com:443,https,cloudflare,text/html,GET,104.20.39.240,/,-1560518779,2606:4700:10::6814:27f0,HSTS,654,False,,Adafruit Industries LLC,True,cloudflare,True,https://www.adafruit.com/
adafruitdaily.com,Adafruit Daily,200,20737,www.adafruitdaily.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,2022-07-01T00:00:00Z,2023-07-27T23:59:59Z,"CN=www.adafruitdaily.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US, serialNumber=3633486, businessCategory=Private Organization, jurisdictionStateOrProvince=New York, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=New York, jurisdictionCountry=US",www.adafruitdaily.com,adafruitdaily.com,"CN=GeoTrust EV RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust EV RSA CA 2018,DigiCert Inc,1883ee3b84ba4f968935dde4e5585d72,113126f8be141ed0e4afdd3cae11217c11639c0c18e9e993dd6064d832813231,ctls,www.adafruitdaily.com,443,https://adafruitdaily.com:443,https,nginx,text/html,GET,54.204.251.173,/,1111595096,54.204.251.173,WordPress:6.2.2,169,False,,Adafruit Industries LLC,,,,https://www.adafruitdaily.com/
blog.adafruit.com,"Adafruit Industries – Makers, hackers, artists, designers and engineers!",200,78072,blog.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,blog.adafruit.com,443,https://blog.adafruit.com:443,https,cloudflare,text/html,GET,104.20.39.240,/,-909672922,2606:4700:10::6814:26f0,WordPress:6.2.2,813,False,,Adafruit Industries LLC,True,cloudflare,True,
cdn-blog.adafruit.com,,403,243,cdn-blog.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,cdn-blog.adafruit.com,443,https://cdn-blog.adafruit.com:443,https,cloudflare,application/xml,GET,104.20.39.240,/,-1686377639,2606:4700:10::6814:26f0,HSTS,2,False,,Adafruit Industries LLC,True,cloudflare,True,
cdn-daily-blog.adafruitdaily.com,,403,243,cdn-daily-blog.adafruitdaily.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T03:09:40Z,2023-08-06T03:09:39Z,CN=adafruitdaily.com,adafruitdaily.com,adafruitdaily.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,86ddf814a18fb67e5e8ada54f5d0b48c,91d7b4ec2254811987d6f26d11cd07a0dffcca90516c3ad3a60daf73aaabadfc,ctls,cdn-daily-blog.adafruitdaily.com,443,https://cdn-daily-blog.adafruitdaily.com:443,https,cloudflare,application/xml,GET,172.67.181.184,/,-1702514306,2606:4700:3033::6815:2ba5,HTTP/3,2,False,,,True,cloudflare,True,
cdn-learn.adafruit.com,,404,9,cdn-learn.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,cdn-learn.adafruit.com,443,https://cdn-learn.adafruit.com:443,https,cloudflare,text/plain,GET,104.20.38.240,/,-738705486,2606:4700:10::6814:27f0,HSTS,1,False,,Adafruit Industries LLC,True,cloudflare,True,
cdn-shop.adafruit.com,,404,9,cdn-shop.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,cdn-shop.adafruit.com,443,https://cdn-shop.adafruit.com:443,https,cloudflare,text/plain,GET,104.20.38.240,/,-738705486,2606:4700:10::6814:27f0,HSTS,1,False,,Adafruit Industries LLC,True,cloudflare,True,
forums.adafruit.com,adafruit industries - Forums Index,200,114792,forums.adafruit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,forums.adafruit.com,443,https://forums.adafruit.com:443,https,nginx,text/html,GET,54.91.7.192,/,913732846,54.91.7.192,Nginx,1983,False,,Adafruit Industries LLC,True,,,
i.adafruit.com,Accounts,200,14776,accounts.adafruit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-09-01T23:59:59Z,"CN=*.adafruit.com, O=Adafruit Industries LLC, L=New York, ST=New York, C=US",*.adafruit.com,adafruit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,9e3cc47961b7c424606ee0e1205987f0,b273ea28c8802c3d4c5804532e35b4b99f8f6a9c4a94b56804371b1ac2226ed5,ctls,accounts.adafruit.com,443,https://i.adafruit.com:443,https,cloudflare,text/html,GET,34.227.62.224,/,-82054171,34.227.62.224,Ruby on Rails,268,False,,Adafruit Industries LLC,True,,,https://accounts.adafruit.com/users/sign_in
