input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,webserver,tls_mismatched,tls_expired,tls_subject_org_,final_url,csp_domains_
a2oministry.nextos.com,Nextiva - Sign In,200,56098,auth.nextiva.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2024-03-15T23:59:59Z,CN=*.nextiva.com,*.nextiva.com,nextiva.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",71a4a285a01ce44f2bdadce40eedb892,be09da74e84a26ac29536c6d39fb65c00b5e33948ab2afe84d181e4498b8f92a,True,ctls,auth.nextiva.com,incapsula,443,https://a2oministry.nextos.com:443,https,text/html,GET,45.60.122.195,/,-1245223545,45.60.122.195,Nginx,305,False,True,nginx,,,,https://auth.nextiva.com/oauth2/aus5i9tp8dCvg4dQA357/v1/authorize?scope=openid+offline_access&response_type=code&redirect_uri=https%3A%2F%2Fauth.nextos.com%2FPlatform%2Flogin&state=oOdZEcV728&client_id=0oa1npm7peXstvBxy357&response_mode=query,
ac.nextos.com,Nextiva - Sign In,200,56128,auth.nextiva.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2024-03-15T23:59:59Z,CN=*.nextiva.com,*.nextiva.com,nextiva.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",71a4a285a01ce44f2bdadce40eedb892,be09da74e84a26ac29536c6d39fb65c00b5e33948ab2afe84d181e4498b8f92a,True,ctls,auth.nextiva.com,incapsula,443,https://ac.nextos.com:443,https,text/html,GET,45.60.122.195,/,-1245223545,45.60.122.195,Nginx,305,False,True,nginx,,,,https://auth.nextiva.com/oauth2/aus5i9tp8dCvg4dQA357/v1/authorize?scope=openid+offline_access&response_type=code&redirect_uri=https%3A%2F%2Fauth.nextos.com%2FPlatform%2Flogin&state=B5tiXd6nCD&client_id=0oa1npm7peXstvBxy357&response_mode=query,
account.nextiva.com,Nextiva Account Status,200,8451,account.nextiva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2024-03-15T23:59:59Z,CN=*.nextiva.com,*.nextiva.com,nextiva.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",71a4a285a01ce44f2bdadce40eedb892,be09da74e84a26ac29536c6d39fb65c00b5e33948ab2afe84d181e4498b8f92a,True,ctls,account.nextiva.com,incapsula,443,https://account.nextiva.com:443,https,text/html,GET,45.60.124.195,/,-1634606555,45.60.124.195,Nginx:1.21.6,115,False,True,nginx/1.21.6,,,,,
ads.nextos.com,Nextiva - Sign In,200,56128,auth.nextiva.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2024-03-15T23:59:59Z,CN=*.nextiva.com,*.nextiva.com,nextiva.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",71a4a285a01ce44f2bdadce40eedb892,be09da74e84a26ac29536c6d39fb65c00b5e33948ab2afe84d181e4498b8f92a,True,ctls,auth.nextiva.com,incapsula,443,https://ads.nextos.com:443,https,text/html,GET,45.60.122.195,/,-1245223545,45.60.122.195,Nginx,305,False,True,nginx,,,,https://auth.nextiva.com/oauth2/aus5i9tp8dCvg4dQA357/v1/authorize?scope=openid+offline_access&response_type=code&redirect_uri=https%3A%2F%2Fauth.nextos.com%2FPlatform%2Flogin&state=GYU6YFacz8&client_id=0oa1npm7peXstvBxy357&response_mode=query,
alterego.nextos.com,Nextiva - Sign In,200,56098,auth.nextiva.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2024-03-15T23:59:59Z,CN=*.nextiva.com,*.nextiva.com,nextiva.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",71a4a285a01ce44f2bdadce40eedb892,be09da74e84a26ac29536c6d39fb65c00b5e33948ab2afe84d181e4498b8f92a,True,ctls,auth.nextiva.com,incapsula,443,https://alterego.nextos.com:443,https,text/html,GET,45.60.122.195,/,-1245223545,45.60.122.195,Nginx,305,False,True,nginx,,,,https://auth.nextiva.com/oauth2/aus5i9tp8dCvg4dQA357/v1/authorize?scope=openid+offline_access&response_type=code&redirect_uri=https%3A%2F%2Fauth.nextos.com%2FPlatform%2Flogin&state=P36G3liDPv&client_id=0oa1npm7peXstvBxy357&response_mode=query,
analytics.nextiva.com,Nextiva Analytics,200,2678,analytics.nextiva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2024-03-15T23:59:59Z,CN=*.nextiva.com,*.nextiva.com,nextiva.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",71a4a285a01ce44f2bdadce40eedb892,be09da74e84a26ac29536c6d39fb65c00b5e33948ab2afe84d181e4498b8f92a,True,ctls,analytics.nextiva.com,incapsula,443,https://analytics.nextiva.com:443,https,text/html,GET,45.60.78.253,/,18867765,45.60.78.253,Imperva,1,False,True,Nextiva Web Server,,,,,
ap.nextos.com,Nextiva - Sign In,200,56110,auth.nextiva.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2024-03-15T23:59:59Z,CN=*.nextiva.com,*.nextiva.com,nextiva.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",71a4a285a01ce44f2bdadce40eedb892,be09da74e84a26ac29536c6d39fb65c00b5e33948ab2afe84d181e4498b8f92a,True,ctls,auth.nextiva.com,incapsula,443,https://ap.nextos.com:443,https,text/html,GET,45.60.122.195,/,-1245223545,45.60.122.195,Nginx,305,False,True,nginx,,,,https://auth.nextiva.com/oauth2/aus5i9tp8dCvg4dQA357/v1/authorize?scope=openid+offline_access&response_type=code&redirect_uri=https%3A%2F%2Fauth.nextos.com%2FPlatform%2Flogin&state=wXDoW7pYe5&client_id=0oa1npm7peXstvBxy357&response_mode=query,
api.be.nextiva.com,403 Forbidden,403,292,api.be.nextiva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-31T00:00:00Z,2023-06-17T23:59:59Z,CN=*.be.nextiva.com,*.be.nextiva.com,be.nextiva.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",db64fef14846447645ed0c9fcb2cf9b3,1ea7a9335466796aac1e5b5d6c27c4803271a4111ca9e1359a37d92de047d89e,True,ctls,api.be.nextiva.com,incapsula,443,https://api.be.nextiva.com:443,https,text/html,GET,45.60.124.195,/,-1245223545,45.60.124.195,Imperva,8,False,True,Nextiva Web Server,,,,,
api.nextiva.com,403 Forbidden,403,293,api.nextiva.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2024-03-15T23:59:59Z,CN=*.nextiva.com,*.nextiva.com,nextiva.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",71a4a285a01ce44f2bdadce40eedb892,be09da74e84a26ac29536c6d39fb65c00b5e33948ab2afe84d181e4498b8f92a,True,ctls,api.nextiva.com,incapsula,443,https://api.nextiva.com:443,https,text/html,GET,45.60.124.195,/,-1245223545,45.60.124.195,Imperva,8,False,True,Nextiva Web Server,,,,,
apneasciences.nextos.com,Nextiva - Sign In,200,56098,auth.nextiva.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2024-03-15T23:59:59Z,CN=*.nextiva.com,*.nextiva.com,nextiva.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",71a4a285a01ce44f2bdadce40eedb892,be09da74e84a26ac29536c6d39fb65c00b5e33948ab2afe84d181e4498b8f92a,True,ctls,auth.nextiva.com,incapsula,443,https://apneasciences.nextos.com:443,https,text/html,GET,45.60.122.195,/,-1245223545,45.60.122.195,Nginx,305,False,True,nginx,,,,https://auth.nextiva.com/oauth2/aus5i9tp8dCvg4dQA357/v1/authorize?scope=openid+offline_access&response_type=code&redirect_uri=https%3A%2F%2Fauth.nextos.com%2FPlatform%2Flogin&state=efq4d3IB46&client_id=0oa1npm7peXstvBxy357&response_mode=query,
