input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url
autodiscover.sos.state.oh.us,Sign in to Outlook,200,203733,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,,ctls,login.microsoftonline.com,,80,http://autodiscover.sos.state.oh.us:80,http,,text/html,GET,52.97.189.104,/,-1249852061,2603:1026:c0d:82a::8,HSTS,174,False,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=6bea4867-454a-f8cb-f820-602a99bdc688&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=sos.state.oh.us&nonce=638215123658044312.568e8b8d-b8e3-4c6b-9e77-c056aa176057&state=DctNDsIgEEBh0Lt0Y6D8DuOi6VkGmEQTDUmh9fqy-N7uSSHEfbpN0syIBB6djdZ5iGhC8NbpCMiYsaqM7FUokNWTU1LFRCCyCUxMcr6Ptf1o3Q-mz3frres-aLBuL3325aobnaPVdy_t4uMP
businesssearch.sos.state.oh.us,Attention Required! | Cloudflare,403,4514,businesssearch.sos.state.oh.us,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-04-10T23:59:59Z,"CN=sos.state.oh.us, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sos.state.oh.us,"Cloudflare, Inc.",sos.state.oh.us,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",327fca83f974cd910f8c640ab2521d74,7f4f38223cb8f923bbee081d2b25bae8af9e37bfad0205d030859700d0f37119,True,ctls,businesssearch.sos.state.oh.us,cloudflare,443,https://businesssearch.sos.state.oh.us:443,https,cloudflare,text/html,GET,104.18.129.73,/,2044150888,104.18.128.73,Cloudflare Bot Management,94,False,True,,
cbts.sos.state.oh.us,Attention Required! | Cloudflare,403,4514,cbts.sos.state.oh.us,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-04-10T23:59:59Z,"CN=sos.state.oh.us, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sos.state.oh.us,"Cloudflare, Inc.",sos.state.oh.us,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",327fca83f974cd910f8c640ab2521d74,7f4f38223cb8f923bbee081d2b25bae8af9e37bfad0205d030859700d0f37119,True,ctls,cbts.sos.state.oh.us,cloudflare,443,https://cbts.sos.state.oh.us:443,https,cloudflare,text/html,GET,104.18.129.73,/,-108802384,104.18.128.73,Cloudflare Bot Management,94,False,True,,
cogs.sos.state.oh.us,Attention Required! | Cloudflare,403,4514,cogs.sos.state.oh.us,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-04-10T23:59:59Z,"CN=sos.state.oh.us, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sos.state.oh.us,"Cloudflare, Inc.",sos.state.oh.us,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",327fca83f974cd910f8c640ab2521d74,7f4f38223cb8f923bbee081d2b25bae8af9e37bfad0205d030859700d0f37119,True,ctls,cogs.sos.state.oh.us,cloudflare,443,https://cogs.sos.state.oh.us:443,https,cloudflare,text/html,GET,104.18.129.73,/,1818755441,104.18.128.73,Cloudflare Bot Management,94,False,True,,
lyncdiscover.sos.state.oh.us,,200,367,lyncdiscover.sos.state.oh.us,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-02-03T18:41:36Z,2024-01-29T18:41:36Z,"CN=*.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.online.lync.com,Microsoft Corporation,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,2caac3e97714f2cd46d17017c8f7ca9e,f38e6481f423e45388c4b40cabf45c6641d3131d29bed689eac88c27936a5618,True,ctls,lyncdiscover.sos.state.oh.us,,443,https://lyncdiscover.sos.state.oh.us:443,https,,application/json,GET,52.112.192.142,/,780599769,2603:1027::e,Azure,1,False,,True,
maint.sos.state.oh.us,Microsoft Azure Web App - Error 404,404,2667,maint.sos.state.oh.us,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-10T03:05:55Z,2024-03-04T03:05:55Z,"CN=*.azurewebsites.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azurewebsites.net,Microsoft Corporation,*.sso.azurewebsites.net,"CN=Microsoft Azure TLS Issuing CA 02, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 02,Microsoft Corporation,34e8bb57e6dfaa5c2aa7153ca66267a8,5a3902ccc4b77e83d8334c36f36b280ba75f4bad0bdd844ce57816586fd07609,True,ctls,maint.sos.state.oh.us,azure,443,https://maint.sos.state.oh.us:443,https,,text/html,GET,23.96.0.52,/,387302845,23.96.0.52,,87,False,True,True,
msoid.sos.state.oh.us,Sign in to your account,200,207381,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,,ctls,login.microsoftonline.com,azure,443,https://msoid.sos.state.oh.us:443,https,,text/html,GET,40.126.31.69,/,-1840324437,20.190.159.0,HSTS,174,False,True,,https://login.microsoftonline.com/common/oauth2/v2.0/authorize?client_id=4765445b-32c6-49b0-83e6-1d93765276ca&redirect_uri=https%3A%2F%2Fwww.office.com%2Flandingv2&response_type=code%20id_token&scope=openid%20profile%20https%3A%2F%2Fwww.office.com%2Fv2%2FOfficeHome.All&response_mode=form_post&nonce=638215123648286565.OWY2OWRjOTgtYTFlMS00ODQ0LTk3YzUtZGY5ZmE3ZWRlMDBmZjM4OWY5MzEtNWJkNS00MDM2LWFhZDktNGVmOTM4MjY5MzU2&ui_locales=en-US&mkt=en-US&state=NZuqq3UF5Ffjv7dbDvben2uR4bZ0-if2hJfTRGlNE40Sw6J0RzfJwA-bOYp9VOmk7mPYmTtH-9jGlgE51Z7nuGJYkV11d7s2pGqzvHuGNWosReKb4nxMwdsGq3C0bX4gpDv7iqWhSSKzf946FRBdLHrtkjBEEPCaKL9E3DYMjmECCRZ-8odUHBfEm5Bo23XX_lCTdA5-s1OT-6kwEnFlqjhsEStD4BcQKic9oT9asSoB2ZI3innEWVnGgEgfXyfzj8lne3YgPQaDVd9qORj8BA&x-client-SKU=ID_NET6_0&x-client-ver=6.26.1.0
olvr.sos.state.oh.us,Attention Required! | Cloudflare,403,4514,olvr.sos.state.oh.us,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-04-10T23:59:59Z,"CN=sos.state.oh.us, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sos.state.oh.us,"Cloudflare, Inc.",sos.state.oh.us,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",327fca83f974cd910f8c640ab2521d74,7f4f38223cb8f923bbee081d2b25bae8af9e37bfad0205d030859700d0f37119,True,ctls,olvr.sos.state.oh.us,cloudflare,443,https://olvr.sos.state.oh.us:443,https,cloudflare,text/html,GET,104.18.128.73,/,-694680659,104.18.129.73,Cloudflare Bot Management,94,False,True,,
sip.sos.state.oh.us,,404,75,sip.sos.state.oh.us,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-03-28T19:00:19Z,2024-03-22T19:00:19Z,"CN=sipfed.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",sipfed.online.lync.com,Microsoft Corporation,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,6e32f8be92e2cf4aff781cff883f13f7,c7f7a0fb5d80892059f25bab5abeb7ffbef9ec512abd9475cf96c0bacc21d3c7,True,ctls,sip.sos.state.oh.us,,443,https://sip.sos.state.oh.us:443,https,RTC/7.0,text/plain,GET,52.112.192.11,/,961519702,2603:1027:0:48::20,HSTS,4,False,,True,
ucc.sos.state.oh.us,Attention Required! | Cloudflare,403,4514,ucc.sos.state.oh.us,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-04-10T23:59:59Z,"CN=sos.state.oh.us, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sos.state.oh.us,"Cloudflare, Inc.",sos.state.oh.us,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",327fca83f974cd910f8c640ab2521d74,7f4f38223cb8f923bbee081d2b25bae8af9e37bfad0205d030859700d0f37119,True,ctls,ucc.sos.state.oh.us,cloudflare,443,https://ucc.sos.state.oh.us:443,https,cloudflare,text/html,GET,104.18.128.73,/,440064820,104.18.129.73,Cloudflare Bot Management,94,False,True,,
