input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url
autodiscover.sos.state.oh.us,Sign in to Outlook,200,203828,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,,80,http://autodiscover.sos.state.oh.us:80,http,,text/html,GET,52.97.189.104,/,-1249852061,2603:1026:c0d:81a::8,HSTS,174,False,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=dde47b0e-46dd-0761-d9e0-5ff43ee002a4&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=sos.state.oh.us&nonce=638217083234716863.50f61946-c161-4a74-89b2-438f19d5e999&state=DctBDsIgEEBR0Lu4MVAGpgOzaDwLFhpNNJMUWq8vi_d3XyulrsNl0G5ERQrJQ3Qp-IARKFGws9sIGMmsQGAwRzSJn95gSBtwmSsz6_HeJ_nl6bHX_PkuTZptPfdq5WWPdjvLko8u5d1WOev-Bw
bsportal.sos.state.oh.us,Attention Required! | Cloudflare,403,4517,bsportal.sos.state.oh.us,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-04-10T23:59:59Z,"CN=sos.state.oh.us, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sos.state.oh.us,"Cloudflare, Inc.",sos.state.oh.us,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",327fca83f974cd910f8c640ab2521d74,7f4f38223cb8f923bbee081d2b25bae8af9e37bfad0205d030859700d0f37119,True,ctls,bsportal.sos.state.oh.us,cloudflare,443,https://bsportal.sos.state.oh.us:443,https,cloudflare,text/html,GET,104.18.128.73,/,2146652455,104.18.129.73,Cloudflare Bot Management,94,False,True,,
businesssearch.sos.state.oh.us,Attention Required! | Cloudflare,403,4517,businesssearch.sos.state.oh.us,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-04-10T23:59:59Z,"CN=sos.state.oh.us, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sos.state.oh.us,"Cloudflare, Inc.",sos.state.oh.us,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",327fca83f974cd910f8c640ab2521d74,7f4f38223cb8f923bbee081d2b25bae8af9e37bfad0205d030859700d0f37119,True,ctls,businesssearch.sos.state.oh.us,cloudflare,443,https://businesssearch.sos.state.oh.us:443,https,cloudflare,text/html,GET,104.18.129.73,/,1495337860,104.18.128.73,Cloudflare Bot Management,94,False,True,,
cbts.sos.state.oh.us,Attention Required! | Cloudflare,403,4517,cbts.sos.state.oh.us,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-04-10T23:59:59Z,"CN=sos.state.oh.us, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sos.state.oh.us,"Cloudflare, Inc.",sos.state.oh.us,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",327fca83f974cd910f8c640ab2521d74,7f4f38223cb8f923bbee081d2b25bae8af9e37bfad0205d030859700d0f37119,True,ctls,cbts.sos.state.oh.us,cloudflare,443,https://cbts.sos.state.oh.us:443,https,cloudflare,text/html,GET,104.18.129.73,/,1957531324,104.18.128.73,Cloudflare Bot Management,94,False,True,,
cogs.sos.state.oh.us,Attention Required! | Cloudflare,403,4517,cogs.sos.state.oh.us,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-04-10T23:59:59Z,"CN=sos.state.oh.us, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sos.state.oh.us,"Cloudflare, Inc.",sos.state.oh.us,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",327fca83f974cd910f8c640ab2521d74,7f4f38223cb8f923bbee081d2b25bae8af9e37bfad0205d030859700d0f37119,True,ctls,cogs.sos.state.oh.us,cloudflare,443,https://cogs.sos.state.oh.us:443,https,cloudflare,text/html,GET,104.18.128.73,/,-583201598,104.18.129.73,Cloudflare Bot Management,94,False,True,,
lyncdiscover.sos.state.oh.us,,200,366,lyncdiscover.sos.state.oh.us,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-02-03T18:41:36Z,2024-01-29T18:41:36Z,"CN=*.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.online.lync.com,Microsoft Corporation,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,2caac3e97714f2cd46d17017c8f7ca9e,f38e6481f423e45388c4b40cabf45c6641d3131d29bed689eac88c27936a5618,True,ctls,lyncdiscover.sos.state.oh.us,,443,https://lyncdiscover.sos.state.oh.us:443,https,,application/json,GET,52.112.192.14,/,-1364432514,2603:1027:0:48::21,Azure,1,False,,True,
maint.sos.state.oh.us,Microsoft Azure Web App - Error 404,404,2667,maint.sos.state.oh.us,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-10T03:05:55Z,2024-03-04T03:05:55Z,"CN=*.azurewebsites.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azurewebsites.net,Microsoft Corporation,*.sso.azurewebsites.net,"CN=Microsoft Azure TLS Issuing CA 02, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 02,Microsoft Corporation,34e8bb57e6dfaa5c2aa7153ca66267a8,5a3902ccc4b77e83d8334c36f36b280ba75f4bad0bdd844ce57816586fd07609,True,ctls,maint.sos.state.oh.us,azure,443,https://maint.sos.state.oh.us:443,https,,text/html,GET,23.96.0.52,/,387302845,23.96.0.52,,87,False,True,True,
msoid.sos.state.oh.us,Sign in to your account,200,207377,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,azure,443,https://msoid.sos.state.oh.us:443,https,,text/html,GET,40.126.32.74,/,-1840324437,40.126.32.136,HSTS,174,False,True,,https://login.microsoftonline.com/common/oauth2/v2.0/authorize?client_id=4765445b-32c6-49b0-83e6-1d93765276ca&redirect_uri=https%3A%2F%2Fwww.office.com%2Flandingv2&response_type=code%20id_token&scope=openid%20profile%20https%3A%2F%2Fwww.office.com%2Fv2%2FOfficeHome.All&response_mode=form_post&nonce=638217083224039606.YzY0YjdlNDktYjBlZS00NTZmLTk0MGEtM2ZlNGI1MWI2NzI4NDQyYmFhZTctNzY4YS00OWM4LTg2NjQtYTBlN2Y2NzlmZTU3&ui_locales=en-US&mkt=en-US&state=x0cYIonHbAf4pcePIGayCkS65VzYHpEYHbGHPLUe7BMD89i7TIkpXuU9DpyGTubopGSkmpJwNSatYxegWmWQd8EFdWh4m0c2G4si-oIWD_UbI4U1SCIA9SQH_33bBwD7knrdvD4KeQBUo59L1v9BoMLCDSKB7NkaKF5ov6afAygUjstR2C-V4MlfopPxNyS8p6aHvT18yTFVOjPQr0rWm7FcyuJbTWsfFVPlppw90PEjevIs7DFobiWJhHYSCm-8R0QyV_T7LMcOXyV9eYhnPA&x-client-SKU=ID_NET6_0&x-client-ver=6.26.1.0
olvr.sos.state.oh.us,Attention Required! | Cloudflare,403,4517,olvr.sos.state.oh.us,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-04-10T23:59:59Z,"CN=sos.state.oh.us, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sos.state.oh.us,"Cloudflare, Inc.",sos.state.oh.us,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",327fca83f974cd910f8c640ab2521d74,7f4f38223cb8f923bbee081d2b25bae8af9e37bfad0205d030859700d0f37119,True,ctls,olvr.sos.state.oh.us,cloudflare,443,https://olvr.sos.state.oh.us:443,https,cloudflare,text/html,GET,104.18.129.73,/,1655988524,104.18.128.73,Cloudflare Bot Management,94,False,True,,
sip.sos.state.oh.us,,404,75,sip.sos.state.oh.us,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-03-28T19:00:19Z,2024-03-22T19:00:19Z,"CN=sipfed.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",sipfed.online.lync.com,Microsoft Corporation,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,6e32f8be92e2cf4aff781cff883f13f7,c7f7a0fb5d80892059f25bab5abeb7ffbef9ec512abd9475cf96c0bacc21d3c7,True,ctls,sip.sos.state.oh.us,,443,https://sip.sos.state.oh.us:443,https,RTC/7.0,text/plain,GET,52.112.193.13,/,-1326853754,2603:1027:0:48::20,HSTS,4,False,,True,
