input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,tls_mismatched,cdn_name,cdn
*.mapbox.com,"Maps, geocoding, and navigation APIs & SDKs | Mapbox",200,224803,http://*.webflow.com,www.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T22:42:13Z,2023-10-29T22:42:12Z,CN=www.mapbox.com,www.mapbox.com,,www.mapbox.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,73a43d4f038cdb00bd4fa9f650f62444,c5fa624e111e897adc6c5555b352ae5527cca50157f8cb61903eb8fd8aca9ed9,,ctls,www.mapbox.com,443,https://mapbox.com:443,https,,text/html,GET,151.101.128.143,/,,https://www.mapbox.com/,151.101.64.143,Webflow,2215,False,,fastly,True
*.mixpanel.com,"Mixpanel: Event Analytics for Mobile, Web & More",200,887442,,mixpanel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2024-03-15T23:59:59Z,CN=*.mixpanel.com,*.mixpanel.com,,mixpanel.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",9de3177e2f0aeca9d197e5cfb99d784a,d0d3af37fb07a2a39f463802f3ef15b06b258c5068a987d54cbd37b5843906f5,True,ctls,mixpanel.com,443,https://mixpanel.com:443,https,nginx,text/html,GET,34.96.97.101,/,-1134128844,,34.96.97.101,Nginx,1,False,,google,True
*.tiles.mapbox.com,"Maps, geocoding, and navigation APIs & SDKs | Mapbox",200,224803,http://*.webflow.io,www.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T22:42:13Z,2023-10-29T22:42:12Z,CN=www.mapbox.com,www.mapbox.com,,www.mapbox.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,73a43d4f038cdb00bd4fa9f650f62444,c5fa624e111e897adc6c5555b352ae5527cca50157f8cb61903eb8fd8aca9ed9,,ctls,www.mapbox.com,443,https://tiles.mapbox.com:443,https,,text/html,GET,199.232.192.143,/,,https://www.mapbox.com,199.232.196.143,Webflow,2215,False,,fastly,True
0-jump.valueline.com.library.admin.oktapreview.com,Okta - Page Not Found,404,1692,,0-jump.valueline.com.library.admin.oktapreview.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-03-02T23:59:59Z,"CN=*.oktapreview.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.oktapreview.com,"Okta, Inc.",oktapreview.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a575fe1a43cfd20980012b3eef623e0c,8f0290b7acc5d0f36f4ac81f33ffcc05caf7b6a543e9800b2f56844a22aebdb8,True,ctls,0-jump.valueline.com.library.admin.oktapreview.com,443,https://0-jump.valueline.com.library.admin.oktapreview.com:443,https,Apache,text/html,GET,34.236.241.33,/,2020198508,,34.236.241.34,Apache,44,False,True,,
0-www.oktapreview.com,Okta - Too Many Requests,429,2025,,0-www.oktapreview.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-03-02T23:59:59Z,"CN=*.oktapreview.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.oktapreview.com,"Okta, Inc.",oktapreview.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a575fe1a43cfd20980012b3eef623e0c,8f0290b7acc5d0f36f4ac81f33ffcc05caf7b6a543e9800b2f56844a22aebdb8,True,ctls,0-www.oktapreview.com,443,https://0-www.oktapreview.com:443,https,Apache,text/html,GET,34.236.241.34,/,-1720652484,,34.236.241.33,Apache,52,False,,,
02-y.oktapreview.com,Sign In,200,18932,*.oktacdn.com,02-y.oktapreview.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-03-02T23:59:59Z,"CN=*.oktapreview.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.oktapreview.com,"Okta, Inc.",oktapreview.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a575fe1a43cfd20980012b3eef623e0c,8f0290b7acc5d0f36f4ac81f33ffcc05caf7b6a543e9800b2f56844a22aebdb8,True,ctls,02-y.oktapreview.com,443,https://02-y.oktapreview.com:443,https,nginx,text/html,GET,34.236.241.33,/,-1720652484,,34.236.241.35,Nginx,456,False,,,
0aff.oktapreview.com,Okta - Too Many Requests,429,2025,,0aff.oktapreview.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-03-02T23:59:59Z,"CN=*.oktapreview.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.oktapreview.com,"Okta, Inc.",oktapreview.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a575fe1a43cfd20980012b3eef623e0c,8f0290b7acc5d0f36f4ac81f33ffcc05caf7b6a543e9800b2f56844a22aebdb8,True,ctls,0aff.oktapreview.com,443,https://0aff.oktapreview.com:443,https,Apache,text/html,GET,34.236.241.34,/,-1720652484,,34.236.241.35,Apache,52,False,,,
0c93.oktapreview.com,Okta - Too Many Requests,429,2025,,0c93.oktapreview.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-03-02T23:59:59Z,"CN=*.oktapreview.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.oktapreview.com,"Okta, Inc.",oktapreview.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a575fe1a43cfd20980012b3eef623e0c,8f0290b7acc5d0f36f4ac81f33ffcc05caf7b6a543e9800b2f56844a22aebdb8,True,ctls,0c93.oktapreview.com,443,https://0c93.oktapreview.com:443,https,Apache,text/html,GET,34.236.241.34,/,-1720652484,,34.236.241.35,Apache,52,False,,,
0e2a.oktapreview.com,Sign In,200,18929,*.tiles.mapbox.com,0e2a.oktapreview.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-03-02T23:59:59Z,"CN=*.oktapreview.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.oktapreview.com,"Okta, Inc.",oktapreview.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a575fe1a43cfd20980012b3eef623e0c,8f0290b7acc5d0f36f4ac81f33ffcc05caf7b6a543e9800b2f56844a22aebdb8,True,ctls,0e2a.oktapreview.com,443,https://0e2a.oktapreview.com:443,https,nginx,text/html,GET,34.236.241.35,/,-599803935,,34.236.241.33,Nginx,456,False,,,
0evi.oktapreview.com,Sign In,200,18929,*.tiles.mapbox.com,0evi.oktapreview.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-03-02T23:59:59Z,"CN=*.oktapreview.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.oktapreview.com,"Okta, Inc.",oktapreview.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a575fe1a43cfd20980012b3eef623e0c,8f0290b7acc5d0f36f4ac81f33ffcc05caf7b6a543e9800b2f56844a22aebdb8,True,ctls,0evi.oktapreview.com,443,https://0evi.oktapreview.com:443,https,nginx,text/html,GET,34.236.241.35,/,-1720652484,,34.236.241.34,Nginx,456,False,,,
