input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_expired,tls_mismatched,csp_domains_,tls_subject_org_,final_url
2fprojects.invisionapp.com,InVision,200,182291,login.invisionapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=invisionapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",invisionapp.com,*.preview.invisionapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",15da05a780d49161462be4cf7cca960d,a45102526e33121b44bca33446abb872517b356c4d949ba7f47dafd858908fa6,True,ctls,login.invisionapp.com,cloudflare,443,https://2fprojects.invisionapp.com:443,https,cloudflare,text/html,GET,104.16.16.141,/,-621878371,2606:4700::6810:148d,HSTS,241,False,True,,,,"Cloudflare, Inc.",https://login.invisionapp.com/auth/sign-in?redirectTo=&redirHash=&origin=v6
414blog.invisionapp.com,InVision,200,182291,login.invisionapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=invisionapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",invisionapp.com,*.preview.invisionapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",15da05a780d49161462be4cf7cca960d,a45102526e33121b44bca33446abb872517b356c4d949ba7f47dafd858908fa6,True,ctls,login.invisionapp.com,cloudflare,443,https://414blog.invisionapp.com:443,https,cloudflare,text/html,GET,104.16.20.141,/,372482329,2606:4700::6810:128d,HSTS,241,False,True,,,,"Cloudflare, Inc.",https://login.invisionapp.com/auth/sign-in?redirectTo=&redirHash=&origin=v6
85-2-32-9.invisionapp.com,InVision,200,182290,login.invisionapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=invisionapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",invisionapp.com,*.preview.invisionapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",15da05a780d49161462be4cf7cca960d,a45102526e33121b44bca33446abb872517b356c4d949ba7f47dafd858908fa6,True,ctls,login.invisionapp.com,cloudflare,443,https://85-2-32-9.invisionapp.com:443,https,cloudflare,text/html,GET,104.16.19.141,/,1166782701,2606:4700::6810:128d,HSTS,241,False,True,,,,"Cloudflare, Inc.",https://login.invisionapp.com/auth/sign-in?redirectTo=&redirHash=&origin=v6
aarp-io.invisionapp.com,InVision,200,182290,login.invisionapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=invisionapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",invisionapp.com,*.preview.invisionapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",15da05a780d49161462be4cf7cca960d,a45102526e33121b44bca33446abb872517b356c4d949ba7f47dafd858908fa6,True,ctls,login.invisionapp.com,cloudflare,443,https://aarp-io.invisionapp.com:443,https,cloudflare,text/html,GET,104.16.18.141,/,-2044334540,2606:4700::6810:108d,HSTS,241,False,True,,,,"Cloudflare, Inc.",https://login.invisionapp.com/auth/sign-in?redirectTo=&redirHash=&origin=v6
aarp-support-io.invisionapp.com,InVision,200,182290,login.invisionapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=invisionapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",invisionapp.com,*.preview.invisionapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",15da05a780d49161462be4cf7cca960d,a45102526e33121b44bca33446abb872517b356c4d949ba7f47dafd858908fa6,True,ctls,login.invisionapp.com,cloudflare,443,https://aarp-support-io.invisionapp.com:443,https,cloudflare,text/html,GET,104.16.16.141,/,-1849048906,2606:4700::6810:148d,HSTS,241,False,True,,,,"Cloudflare, Inc.",https://login.invisionapp.com/auth/sign-in?redirectTo=&redirHash=&origin=v6
aarp-v7.invisionapp.com,InVision,200,182290,login.invisionapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=invisionapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",invisionapp.com,*.preview.invisionapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",15da05a780d49161462be4cf7cca960d,a45102526e33121b44bca33446abb872517b356c4d949ba7f47dafd858908fa6,True,ctls,login.invisionapp.com,cloudflare,443,https://aarp-v7.invisionapp.com:443,https,cloudflare,text/html,GET,104.16.16.141,/,,2606:4700::6810:148d,HSTS,241,False,True,,,,"Cloudflare, Inc.",https://login.invisionapp.com/auth/sign-in?redirectTo=&redirHash=&origin=v6
aarp.invisionapp.com,IP Address Blocked,403,321,aarp.invisionapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=invisionapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",invisionapp.com,*.preview.invisionapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",15da05a780d49161462be4cf7cca960d,a45102526e33121b44bca33446abb872517b356c4d949ba7f47dafd858908fa6,True,ctls,aarp.invisionapp.com,cloudflare,443,https://aarp.invisionapp.com:443,https,cloudflare,text/html,GET,104.16.19.141,/,1494302000,2606:4700::6810:118d,HSTS,25,False,True,,,https://*.invisionapp.com,"Cloudflare, Inc.",https://aarp.invisionapp.com/d/login
abercrombie.invisionapp.com,InVision,200,182957,abercrombie.invisionapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=invisionapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",invisionapp.com,*.preview.invisionapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",15da05a780d49161462be4cf7cca960d,a45102526e33121b44bca33446abb872517b356c4d949ba7f47dafd858908fa6,True,ctls,abercrombie.invisionapp.com,cloudflare,443,https://abercrombie.invisionapp.com:443,https,cloudflare,text/html,GET,104.16.16.141,/,,2606:4700::6810:128d,HSTS,241,False,True,,,,"Cloudflare, Inc.",https://abercrombie.invisionapp.com/auth/sign-in?redirectTo=%2F&reason=eyJzdGF0dXMiOiJVbmF1dGhvcml6ZWQiLCAibWVzc2FnZSI6IlJlcXVlc3QgZG9lcyBub3QgY29udGFpbiBhIEpXVCBDb29raWUgbm9yIGhlYWRlciBhbmQgcGFzc3Rocm91Z2ggbm90IGNvbmZpZ3VyZWQifQ==
absa-io.invisionapp.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://absa-io.invisionapp.com:80,http,CloudFront,text/html,GET,13.32.99.25,/,-1879068001,13.32.99.119,Amazon Web Services,20,False,True,,,,,
absa-support-io.invisionapp.com,InVision,200,182291,login.invisionapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=invisionapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",invisionapp.com,*.preview.invisionapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",15da05a780d49161462be4cf7cca960d,a45102526e33121b44bca33446abb872517b356c4d949ba7f47dafd858908fa6,True,ctls,login.invisionapp.com,cloudflare,443,https://absa-support-io.invisionapp.com:443,https,cloudflare,text/html,GET,104.16.16.141,/,431573095,2606:4700::6810:148d,HSTS,241,False,True,,,,"Cloudflare, Inc.",https://login.invisionapp.com/auth/sign-in?redirectTo=&redirHash=&origin=v6
