new,host,ttl,a,aaaa,soa,status_code,cname,mx,ns,txt,caa,cdn,cdn-name
[x],admin.sorare.com,300,"104.18.0.17, 104.18.1.17","2606:4700::6812:111, 2606:4700::6812:11","{'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,"heritage=external-dns,external-dns/owner=eu-west-1-prod,external-dns/resource=ingress/sorare/admin",,,
[x],api.sorare.com,300,"104.18.1.17, 104.18.0.17","2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5","{'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
[x],assets.sorare.com,300,"104.18.0.17, 104.18.1.17","2606:4700::6812:11, 2606:4700::6812:111","{'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
[x],backend.api.sorare.com,300,"108.128.208.225, 54.194.75.204, 18.203.141.162",,"{'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,k8s-sorare-backend-2c29b7cb11-1677770501.eu-west-1.elb.amazonaws.com,,,,,,
[x],baseball.api.sorare.com,300,"3.248.61.72, 34.242.67.65, 99.81.30.137",,"{'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-west-1.elb.amazonaws.com', 'ns': 'ns-1053.awsdns-03.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,k8s-sorare-baseball-a85a0d48a0-345313728.eu-west-1.elb.amazonaws.com,,,,,,
[x],blog.sorare.com,300,"192.0.78.238, 192.0.78.167",,"{'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
[x],bounce.sorare.com,300,,,"{'name': 'custom-email-domain.stripe.com', 'ns': 'ns-994.awsdns-60.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'custom-email-domain.stripe.com', 'ns': 'ns-994.awsdns-60.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'custom-email-domain.stripe.com', 'ns': 'ns-994.awsdns-60.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'custom-email-domain.stripe.com', 'ns': 'ns-994.awsdns-60.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,custom-email-domain.stripe.com,feedback-smtp.us-west-2.amazonses.com,"ns-163.awsdns-20.com, ns-2008.awsdns-59.co.uk, ns-994.awsdns-60.net, ns-1404.awsdns-47.org",v=spf1 include:amazonses.com ~all,,,
[x],bz244.news.sorare.com,300,223.165.112.140,,"{'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
[x],bz245.play.sorare.com,300,223.165.112.46,,"{'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
[x],clicks.sorare.com,300,"104.18.1.17, 104.18.0.17","2606:4700::6812:11, 2606:4700::6812:111","{'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'sorare.com', 'ns': 'dolly.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346020970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
