input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,cdn_name,tech_,cdn,tls_subject_org_,webserver,csp_domains_,final_url,tls_expired,tls_self_signed,tls_emails_,location
13.vlaanderen.be,Invalid URL,400,209,,,,,,,,,,,,,,,,,,,,80,http://13.vlaanderen.be:80,http,text/html,GET,2.23.209.48,/,-792260991,2a02:26f0:480:186::9af5,8,False,,,,,AkamaiGHost,,,,,,
aanmelden.vlaanderen.be,Aanmelden Vlaanderen,200,851,aanmelden.vlaanderen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-30T16:26:16Z,2024-06-30T16:26:15Z,"CN=*.vlaanderen.be, O=Ministeries van de Vlaamse Gemeenschap, L=Brussel, ST=Brussels Hoofdstedelijk Gewest, C=BE",*.vlaanderen.be,vlaanderen.be,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,70e8e8435cfcc6a5cf5d571cda659886,eec93b7083f7d71670da870dda2f861bc20120371be914f5c9a855dd942bc86d,True,ctls,aanmelden.vlaanderen.be,443,https://aanmelden.vlaanderen.be:443,https,text/html,GET,34.245.249.0,/,-253321811,176.34.218.216,1,False,,Nginx,,Ministeries van de Vlaamse Gemeenschap,nginx,,,,,,
abbavisu.apps.mow.vlaanderen.be,401 Authorization Required,401,172,abbavisu.apps.mow.vlaanderen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-06-20T14:52:52Z,2023-09-18T14:52:51Z,CN=apps.mow.vlaanderen.be,apps.mow.vlaanderen.be,apps.mow.vlaanderen.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4c2ec6c8ff74182f2f9cc82f8f8e479a,6733a7058f255ecf38cba9821c43425884b2da650e445db823e23aaf7a588cf9,True,ctls,abbavisu.apps.mow.vlaanderen.be,443,https://abbavisu.apps.mow.vlaanderen.be:443,https,text/html,GET,34.248.173.34,/,-1710455754,34.248.173.34,8,False,,,,,awv,,,,,,
abk.wse.vlaanderen.be,,200,6989,abk.wse.vlaanderen.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-09T00:00:00Z,2023-11-09T23:59:59Z,CN=abk.wse.vlaanderen.be,abk.wse.vlaanderen.be,abk.wse.vlaanderen.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e57bbb39a5b092dfd16507977c2e9b,0ef9f36e721d3298ced91f9782c6d7918aaf97b2fa3b3f6d03fe6d1c565a56b9,,ctls,abk.wse.vlaanderen.be,443,https://abk.wse.vlaanderen.be:443,https,text/html,GET,52.208.34.182,/,116323821,34.241.107.54,26,False,,Java,,,,,https://abk.wse.vlaanderen.be/app/general/home.xhtml,,,,
acsy.vlaanderen.be,,503,2503,acsy.vlaanderen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-09-30T10:27:11Z,2023-11-01T10:27:10Z,CN=*.sipar.vlaanderen.be,*.sipar.vlaanderen.be,sipar.vlaanderen.be,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,da40d56dc3ba35d9519adfa6d4eef1fe,a4334fb02916f8404fba73b26aa4d970807dc4f3ecd630dc2c16330f44088deb,True,ctls,acsy.vlaanderen.be,443,https://acsy.vlaanderen.be:443,https,text/html,GET,185.180.77.45,/,1539244717,185.180.77.45,94,False,,,,,,,,,,,
admin.vlaanderen.be,Hello World,200,7342,admin.vlaanderen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-24T07:22:58Z,2023-08-22T07:22:57Z,CN=www.vlaanderen.be,www.vlaanderen.be,www.vlaanderen.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cf901e83137fb17e897d49b8cc0c3008,865558ead2b333d4bfffa438ede7a493ca07cc7dcaff88de943400ba9efed612,,ctls,admin.vlaanderen.be,443,https://admin.vlaanderen.be:443,https,text/html,GET,184.86.103.94,/,475579147,2a02:26f0:3500:987::9af5,95,False,,HSTS,,,,,,,,,
agion-dev.eloket.vlaanderen.be,HTML Meta Tag,200,262,agion-dev.eloket.vlaanderen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-06-20T07:39:19Z,2024-07-21T07:39:18Z,CN=*.providit.eu,*.providit.eu,providit.eu,"CN=AlphaSSL CA - SHA256 - G4, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G4,GlobalSign nv-sa,0261a1c5dcb5ed3b3072ffd2b1dbc19b,5a0450a009b8ed9fe698986625070f8b945cca1f61c7a09ca3c9048736a4eafe,True,ctls,agion-dev.eloket.vlaanderen.be,443,https://agion-dev.eloket.vlaanderen.be:443,https,text/html,GET,54.75.222.201,/,1631801191,54.75.222.201,10,False,,Microsoft ASP.NET,,,,https://agion-dev.providit.eu/servicecenter,,,,,
ajh-ti.vlaanderen.be,OpenID Connect Provider | Vlaanderen.be,200,918,authenticatie-ti.vlaanderen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-30T16:26:16Z,2024-06-30T16:26:15Z,"CN=*.vlaanderen.be, O=Ministeries van de Vlaamse Gemeenschap, L=Brussel, ST=Brussels Hoofdstedelijk Gewest, C=BE",*.vlaanderen.be,vlaanderen.be,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,70e8e8435cfcc6a5cf5d571cda659886,eec93b7083f7d71670da870dda2f861bc20120371be914f5c9a855dd942bc86d,True,ctls,authenticatie-ti.vlaanderen.be,443,https://ajh-ti.vlaanderen.be:443,https,text/html,GET,18.66.147.115,/,-780928015,18.66.147.64,18,False,cloudfront,Nginx,True,Ministeries van de Vlaamse Gemeenschap,nginx,,https://authenticatie-ti.vlaanderen.be/op/v1/auth?client_id=bc6bc50b-b769-4634-b9c2-3c48b33785f1&response_type=code&scope=openid%20vo%20profile%20vo_intranet%20wvg_intranet&redirect_uri=https%3A//ajh-ti.vlaanderen.be/openid-connect/acm-idm&state=BndYVlPQcTAdPC6uaar9-cxRhzueVUSE-lbtSE4JUKk,,,,
ajh.vlaanderen.be,OpenID Connect Provider | Vlaanderen.be,200,898,authenticatie.vlaanderen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-30T16:26:16Z,2024-06-30T16:26:15Z,"CN=*.vlaanderen.be, O=Ministeries van de Vlaamse Gemeenschap, L=Brussel, ST=Brussels Hoofdstedelijk Gewest, C=BE",*.vlaanderen.be,vlaanderen.be,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,70e8e8435cfcc6a5cf5d571cda659886,eec93b7083f7d71670da870dda2f861bc20120371be914f5c9a855dd942bc86d,True,ctls,authenticatie.vlaanderen.be,443,https://ajh.vlaanderen.be:443,https,text/html,GET,13.32.99.80,/,1067648446,13.32.99.33,18,False,cloudfront,Nginx,True,Ministeries van de Vlaamse Gemeenschap,nginx,,https://authenticatie.vlaanderen.be/op/v1/auth?client_id=32bc8d02-a50b-45fc-8817-5c683b439db6&response_type=code&scope=openid%20wvg_intranet%20vo_intranet&redirect_uri=https%3A//ajh.vlaanderen.be/openid-connect/generic&state=T-JCDEvxGXHBeQeG7IFA3POooD8ViuGzRWFA7JGyCQo,,,,
amt-portaal-ti.vlaanderen.be,OpenID Connect Provider | Vlaanderen.be,200,854,authenticatie-ti.vlaanderen.be,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-30T16:26:16Z,2024-06-30T16:26:15Z,"CN=*.vlaanderen.be, O=Ministeries van de Vlaamse Gemeenschap, L=Brussel, ST=Brussels Hoofdstedelijk Gewest, C=BE",*.vlaanderen.be,vlaanderen.be,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,70e8e8435cfcc6a5cf5d571cda659886,eec93b7083f7d71670da870dda2f861bc20120371be914f5c9a855dd942bc86d,True,ctls,authenticatie-ti.vlaanderen.be,443,https://amt-portaal-ti.vlaanderen.be:443,https,text/html,GET,206.164.36.155,/,-1255347784,206.164.36.155,18,False,,Nginx,,Ministeries van de Vlaamse Gemeenschap,nginx,,https://authenticatie-ti.vlaanderen.be/op/v1/auth?client_id=5444a003-260f-4ae9-9096-6dbf41ce89bb&redirect_uri=https://amt-portaal-ti.vlaanderen.be/callback-acm&response_type=code&scope=openid%20vo%20profile%20amtportaal&state=fI3GqI,,,,
