input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_mismatched,tech_,tls_wildcard_certificate,final_url,tls_expired,cdn_name,cdn,csp_domains_
6eproxy.yatra.com,403 Forbidden,403,146,6eproxy.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T00:00:00Z,2023-10-19T23:59:59Z,"CN=yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN",yatra.com,Yatra Online Limited,*.yatracdn.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,822dbdededd42b83da8e6eaf162077e5,0f8705b674fd133ba14bffae72e5326916b5f088148888115d02df62ec6cced6,ctls,6eproxy.yatra.com,443,https://6eproxy.yatra.com:443,https,,text/html,GET,202.87.58.226,/,-1561873722,202.87.58.226,8,False,,,True,,,,,
affiliates-api.yatra.com,,404,58,affiliates-api.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-16T00:00:00Z,2023-12-28T23:59:59Z,"CN=www.yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN, serialNumber=158404, businessCategory=Private Organization, jurisdictionCountry=IN, businessCategory=Private Organization, jurisdictionCountry=IN",www.yatra.com,Yatra Online Limited,adventurenation.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,695d9d1e3ae28c135e19c1703dd1d664,970d23e24e49bb9a42c2a67c7f9a7871589b50d6fefed745a7db4e226f21bfd0,ctls,affiliates-api.yatra.com,443,https://affiliates-api.yatra.com:443,https,,application/json,GET,184.31.86.154,/,-1644060773,2a02:26f0:3500:88e::2d03,2,False,,HSTS,,,,,,
cars.yatra.com,"Flight, Cheap Air Tickets , Hotels, Holiday, Trains Package Booking - Yatra.com",200,166017,cars.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-16T00:00:00Z,2023-12-28T23:59:59Z,"CN=www.yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN, serialNumber=158404, businessCategory=Private Organization, jurisdictionCountry=IN, businessCategory=Private Organization, jurisdictionCountry=IN",www.yatra.com,Yatra Online Limited,adventurenation.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,695d9d1e3ae28c135e19c1703dd1d664,970d23e24e49bb9a42c2a67c7f9a7871589b50d6fefed745a7db4e226f21bfd0,ctls,cars.yatra.com,443,https://cars.yatra.com:443,https,,text/html,GET,104.102.41.107,/,-1097984059,2a02:26f0:480:5ad::2d03,1526,False,,Google Tag Manager,,,,,,
corpdash.yatra.com,Access Denied,403,267,corpdash.yatra.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-22T00:00:00Z,2023-11-02T23:59:59Z,"CN=www.yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN, serialNumber=158404, businessCategory=Private Organization, jurisdictionCountry=IN, businessCategory=Private Organization, jurisdictionCountry=IN",www.yatra.com,Yatra Online Limited,ytcrm.yatra.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,373eb4043d2d7ee2f902f8e096647f20,37bddadb404924f5a14276f30a0bed2d6fdff5150fb512fad82a7d5c62e5331a,ctls,corpdash.yatra.com,443,https://corpdash.yatra.com:443,https,AkamaiGHost,text/html,GET,2.16.187.106,/,1456882619,2a02:26f0:1700:11::b856:6787,10,False,,,,,,,,
corptrav.yatra.com,Yatra For Business : Book & Manage Corporate Travel Needs on Yatra.com,200,212745,corptrav.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-16T00:00:00Z,2023-12-28T23:59:59Z,"CN=www.yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN, serialNumber=158404, businessCategory=Private Organization, jurisdictionCountry=IN, businessCategory=Private Organization, jurisdictionCountry=IN",www.yatra.com,Yatra Online Limited,adventurenation.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,695d9d1e3ae28c135e19c1703dd1d664,970d23e24e49bb9a42c2a67c7f9a7871589b50d6fefed745a7db4e226f21bfd0,ctls,corptrav.yatra.com,443,https://corptrav.yatra.com:443,https,,text/html,GET,184.31.86.154,/,,2a02:26f0:3500:88e::2d03,2409,False,,Java,,,,,,https://*.yatra.com
faka.yatra.com,403 Forbidden,403,548,faka.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-16T00:00:00Z,2023-12-28T23:59:59Z,"CN=www.yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN, serialNumber=158404, businessCategory=Private Organization, jurisdictionCountry=IN, businessCategory=Private Organization, jurisdictionCountry=IN",www.yatra.com,Yatra Online Limited,adventurenation.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,695d9d1e3ae28c135e19c1703dd1d664,970d23e24e49bb9a42c2a67c7f9a7871589b50d6fefed745a7db4e226f21bfd0,ctls,faka.yatra.com,443,https://faka.yatra.com:443,https,,text/html,GET,104.102.41.107,/,586998417,2a02:26f0:480:5a2::2d03,14,False,,,,,,,,
flightsapi.yatra.com,,401,27,flightsapi.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-16T00:00:00Z,2023-12-28T23:59:59Z,"CN=www.yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN, serialNumber=158404, businessCategory=Private Organization, jurisdictionCountry=IN, businessCategory=Private Organization, jurisdictionCountry=IN",www.yatra.com,Yatra Online Limited,adventurenation.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,695d9d1e3ae28c135e19c1703dd1d664,970d23e24e49bb9a42c2a67c7f9a7871589b50d6fefed745a7db4e226f21bfd0,ctls,flightsapi.yatra.com,443,https://flightsapi.yatra.com:443,https,,application/json,GET,184.31.86.154,/,-1663294872,2a02:26f0:3500:88e::2d03,2,False,,HSTS,,,,,,
go.yatra.com,,404,,go.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-16T00:00:00Z,2023-12-28T23:59:59Z,"CN=www.yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN, serialNumber=158404, businessCategory=Private Organization, jurisdictionCountry=IN, businessCategory=Private Organization, jurisdictionCountry=IN",www.yatra.com,Yatra Online Limited,adventurenation.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,695d9d1e3ae28c135e19c1703dd1d664,970d23e24e49bb9a42c2a67c7f9a7871589b50d6fefed745a7db4e226f21bfd0,ctls,go.yatra.com,443,https://go.yatra.com:443,https,,,GET,184.31.86.154,/,-1097984059,2a02:26f0:3500:88e::2d03,1,False,,HSTS,,,,,,
holidaypackages.yatra.com,Error,500,1236,holidaypackages.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-16T00:00:00Z,2023-12-28T23:59:59Z,"CN=www.yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN, serialNumber=158404, businessCategory=Private Organization, jurisdictionCountry=IN, businessCategory=Private Organization, jurisdictionCountry=IN",www.yatra.com,Yatra Online Limited,adventurenation.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,695d9d1e3ae28c135e19c1703dd1d664,970d23e24e49bb9a42c2a67c7f9a7871589b50d6fefed745a7db4e226f21bfd0,ctls,holidaypackages.yatra.com,443,https://holidaypackages.yatra.com:443,https,,text/html,GET,104.102.41.107,/,-366337701,2a02:26f0:480:5ad::2d03,61,False,,PHP:5.4.16,,,,,,
img.yatra.com,"Flight, Cheap Air Tickets , Hotels, Holiday, Trains Package Booking - Yatra.com",200,166094,img.yatra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-16T00:00:00Z,2023-12-28T23:59:59Z,"CN=www.yatra.com, O=Yatra Online Limited, L=Gurugram, ST=Haryana, C=IN, serialNumber=158404, businessCategory=Private Organization, jurisdictionCountry=IN, businessCategory=Private Organization, jurisdictionCountry=IN",www.yatra.com,Yatra Online Limited,adventurenation.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,695d9d1e3ae28c135e19c1703dd1d664,970d23e24e49bb9a42c2a67c7f9a7871589b50d6fefed745a7db4e226f21bfd0,ctls,img.yatra.com,443,https://img.yatra.com:443,https,,text/html,GET,104.102.41.107,/,-1097984059,104.102.41.107,1526,False,,Java,,,,,,
