input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,content_type,final_url,csp_domains_,tls_expired,location
15205598.uber.com,404 Not Found,404,162,15205598.uber.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,15205598.uber.com,,443,https://15205598.uber.com:443,https,nginx,GET,167.89.123.54,/,190856733,167.89.123.124,Nginx,8,False,,True,text/html,,,,
4460893.sodigital.uber.com,404 Not Found,404,162,4460893.sodigital.uber.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,4460893.sodigital.uber.com,,443,https://4460893.sodigital.uber.com:443,https,nginx,GET,167.89.123.54,/,190856733,167.89.118.83,Nginx,8,False,,True,text/html,,,,
a.uber.com,,404,9,vouchers.uber.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-30T00:00:00Z,2023-10-03T23:59:59Z,"CN=*.uber.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.uber.com,"Uber Technologies, Inc.",uber.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,692a3dec7f7fe489f744f07447046311,337248ed49adbd45b3a914361233645bb6ad69794f6c7f1b39e04625eb69200f,True,ctls,vouchers.uber.com,google,443,https://a.uber.com:443,https,ufe,GET,34.98.127.226,/,-738705486,34.98.127.226,HTTP/3,1,False,True,,text/plain,https://vouchers.uber.com/c/,,,
a3.uberinternal.com,cat/ - Google Suche,200,98205,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,,443,https://a3.uberinternal.com:443,https,gws,GET,104.36.192.148,/,-708078562,104.36.192.148,HTTP/3,29,False,,,text/html,https://www.google.com/search?q=cat/&ucbcb=1,https://csp.withgoogle.com/csp/gws/xsrp,,
aarthika-staging-phx2.uberinternal.com,OneLogin,200,2608,uber.onelogin.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,"OneLogin, Inc.",onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c1952a341e37e60484119d18f4b2051d,f78c96dac6d76696f3eecae6e0f5f543d6e4c6aafc8d2dfb1168a08860b6419b,True,ctls,uber.onelogin.com,,443,https://aarthika-staging-phx2.uberinternal.com:443,https,AmazonS3,GET,104.36.197.136,/,-1301046665,104.36.197.136,HSTS,52,False,,,text/html,https://uber.onelogin.com/login2/?return=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmkiOiJodHRwczovL3ViZXIub25lbG9naW4uY29tL2xvZ2luIiwiaXNzIjoiTU9OT1JBSUwiLCJicmFuZF9pZCI6Im1hc3RlciIsImF1ZCI6IkFDQ0VTUyIsImV4cCI6MTY4NDE2NjI5OSwicGFyYW1zIjp7fSwiZmZfbXVsdGlwbGVfYnJhbmRzIjpmYWxzZSwibWV0aG9kIjoiZ2V0In0.M-iM8568iCskjt6150n2zBhzdCo0I42azfxrMsNSbDA#app=,https://tableau-sandbox.uberinternal.com,,
aarthika-staging.uberinternal.com,OneLogin,200,2608,uber.onelogin.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,"OneLogin, Inc.",onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c1952a341e37e60484119d18f4b2051d,f78c96dac6d76696f3eecae6e0f5f543d6e4c6aafc8d2dfb1168a08860b6419b,True,ctls,uber.onelogin.com,,443,https://aarthika-staging.uberinternal.com:443,https,AmazonS3,GET,104.36.192.148,/,-1301046665,104.36.192.148,HSTS,52,False,,,text/html,https://uber.onelogin.com/login2/?return=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmkiOiJodHRwczovL3ViZXIub25lbG9naW4uY29tL2xvZ2luIiwiaXNzIjoiTU9OT1JBSUwiLCJicmFuZF9pZCI6Im1hc3RlciIsImF1ZCI6IkFDQ0VTUyIsImV4cCI6MTY4NDE2NjI5OSwicGFyYW1zIjp7fSwiZmZfbXVsdGlwbGVfYnJhbmRzIjpmYWxzZSwibWV0aG9kIjoiZ2V0In0.M-iM8568iCskjt6150n2zBhzdCo0I42azfxrMsNSbDA#app=,https://tableau-sandbox.uberinternal.com,,
aarthika.uberinternal.com,OneLogin,200,2608,uber.onelogin.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,"OneLogin, Inc.",onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c1952a341e37e60484119d18f4b2051d,f78c96dac6d76696f3eecae6e0f5f543d6e4c6aafc8d2dfb1168a08860b6419b,True,ctls,uber.onelogin.com,,443,https://aarthika.uberinternal.com:443,https,AmazonS3,GET,104.36.192.148,/,-1301046665,104.36.192.148,HSTS,52,False,,,text/html,https://uber.onelogin.com/login2/?return=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1cmkiOiJodHRwczovL3ViZXIub25lbG9naW4uY29tL2xvZ2luIiwiaXNzIjoiTU9OT1JBSUwiLCJicmFuZF9pZCI6Im1hc3RlciIsImF1ZCI6IkFDQ0VTUyIsImV4cCI6MTY4NDE2NjI5OSwicGFyYW1zIjp7fSwiZmZfbXVsdGlwbGVfYnJhbmRzIjpmYWxzZSwibWV0aG9kIjoiZ2V0In0.1n5f4bnFx6wzTC_vnDuL3bOO2Aw5TTSlRyYirQ9H1CM#app=,https://freight.lightning.force.com,,
access.uberinternal.com,OneLogin,200,2608,uber.onelogin.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.onelogin.com, O=OneLogin\, Inc., L=San Francisco, ST=California, C=US",*.onelogin.com,"OneLogin, Inc.",onelogin.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c1952a341e37e60484119d18f4b2051d,f78c96dac6d76696f3eecae6e0f5f543d6e4c6aafc8d2dfb1168a08860b6419b,True,ctls,uber.onelogin.com,,443,https://access.uberinternal.com:443,https,AmazonS3,GET,104.36.192.148,/,268079155,104.36.192.148,HSTS,52,False,,,text/html,https://uber.onelogin.com/login2/?return=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmkiOiJodHRwczovL3ViZXIub25lbG9naW4uY29tL2xvZ2luIiwiaXNzIjoiTU9OT1JBSUwiLCJicmFuZF9pZCI6Im1hc3RlciIsImF1ZCI6IkFDQ0VTUyIsImV4cCI6MTY4NDE2NjI5OSwicGFyYW1zIjp7fSwiZmZfbXVsdGlwbGVfYnJhbmRzIjpmYWxzZSwibWV0aG9kIjoiZ2V0In0.M-iM8568iCskjt6150n2zBhzdCo0I42azfxrMsNSbDA#app=,https://tableau-sandbox.uberinternal.com,,
accesshealth.uberinternal.com,uSSO Login,200,3539,usso-staging.uberinternal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-30T00:00:00Z,2023-10-03T23:59:59Z,"CN=*.uberinternal.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.uberinternal.com,"Uber Technologies, Inc.",uberinternal.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5bcb92a390a5b07ecaed90bfcb45dc6b,409992be587811ca2670422dbac869f9b5f8bd007acb9c47b4d5841b40e0e6fa,True,ctls,usso-staging.uberinternal.com,,443,https://accesshealth.uberinternal.com:443,https,ufe,GET,104.36.192.148,/,-150199688,104.36.192.148,HSTS,150,False,,,text/html,https://usso-staging.uberinternal.com/usso/login?RelayState=opzCpRowlV0UBr6EhSY8DHP3Nm9BcQs80aJOmD6C5ipGLztukW2b0Wgk,,,
accessibility.uber.com,,406,14,www.uber.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-30T00:00:00Z,2023-10-03T23:59:59Z,"CN=*.uber.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.uber.com,"Uber Technologies, Inc.",uber.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,692a3dec7f7fe489f744f07447046311,337248ed49adbd45b3a914361233645bb6ad69794f6c7f1b39e04625eb69200f,True,ctls,www.uber.com,google,443,https://accessibility.uber.com:443,https,ufe,GET,34.98.127.226,/,611515849,34.98.127.226,HTTP/3,1,False,True,,text/plain,https://www.uber.com/about/accessibility,,,
