input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_wildcard_certificate,cdn_name,cdn,csp_domains_,webserver,final_url
api-ota.belastingdienst.nl,,500,81,api-ota.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-04T08:36:04Z,2024-04-04T08:31:00Z,"CN=api-ota.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",api-ota.belastingdienst.nl,Belastingdienst,api-ota.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,461e9f904d0abd88b19843964820f920,967706a71716a12e70dfa688599d5d1bf340b014a6d38b64471cd795aa6543d8,ctls,api-ota.belastingdienst.nl,443,https://api-ota.belastingdienst.nl:443,https,application/json,GET,85.159.99.234,/,2033390377,85.159.99.234,IBM DataPower,5,False,,,,,,,
api.belastingdienst.nl,,500,81,api.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-04T08:40:46Z,2024-04-04T08:35:00Z,"CN=api.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",api.belastingdienst.nl,Belastingdienst,api.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,56ea498a5b4abfbd213787609418f083,f69777315966a1fdad1aa7ed8499006b2272fcb88b6a4f8c6262816982e85118,ctls,api.belastingdienst.nl,443,https://api.belastingdienst.nl:443,https,application/json,GET,85.159.98.238,/,2033390377,85.159.98.238,IBM DataPower,5,False,,,,,,,
belastingdienst.nl,Belastingdienst Nederland,200,26025,www.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-20T09:22:27Z,2023-06-20T09:32:00Z,"CN=www.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",www.belastingdienst.nl,Belastingdienst,belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,065cbfe513ba511b5520d0bd2ae4086c,6e3f8b89dd2015529adbc6e9a553af6b3a7fe0349eca1eb88c5817a5c4fbb672,ctls,www.belastingdienst.nl,443,https://belastingdienst.nl:443,https,text/html,GET,85.159.98.33,/,-569487998,2a04:9a01:1002::33,HSTS,719,False,,,,,https://bdtm.containers.piwik.pro,,https://www.belastingdienst.nl/wps/wcm/connect/nl/home/home
betalen-cnf.belastingdienst.nl,Online diensten en gegevens niet beschikbaar,200,616,betalen-cnf.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-21T12:37:35Z,2023-06-21T12:47:00Z,"CN=betalen-cnf.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",betalen-cnf.belastingdienst.nl,Belastingdienst,betalen-cnf.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,09608202f8ecee6d745abd9ba2391c13,45c24e8c1e0b8ca1fa58ef3106cc082693c898d96d65c353904a5b238e15e36d,ctls,betalen-cnf.belastingdienst.nl,443,https://betalen-cnf.belastingdienst.nl:443,https,text/html,GET,85.159.98.199,/,-780928015,85.159.98.199,,14,False,,,,,,,
betalen.belastingdienst.nl,Online diensten en gegevens niet beschikbaar,200,616,betalen.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-25T13:34:15Z,2023-11-25T13:29:00Z,"CN=betalen.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",betalen.belastingdienst.nl,Belastingdienst,betalen.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,d06dc7dacb0c985ddf9808954e67e426,3e33afefccac52017cdd7519239c69f4c7ff78315fb9b9219b54562d9fb1e69e,ctls,betalen.belastingdienst.nl,443,https://betalen.belastingdienst.nl:443,https,text/html,GET,85.159.98.227,/,-780928015,85.159.98.227,,14,False,,,,,,,
brm.belastingdienst.nl,,500,232,brm.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-01T14:39:13Z,2023-08-01T14:49:00Z,"CN=brm.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",brm.belastingdienst.nl,Belastingdienst,brm.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,498eecfeada0960f126358cf5712e872,07d1804691b4a0c1daaa771665d4191f3f84b235b6e5c7d26da4d1289486c2bd,ctls,brm.belastingdienst.nl,443,https://brm.belastingdienst.nl:443,https,text/xml,GET,85.159.98.46,/,-806471848,2a04:9a01:1002::46,IBM DataPower,10,False,,,,,,,
bvs.belastingdienst.nl,Toegang geblokkeerd,200,30151,bvs.belastingdienst.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-07T09:54:53Z,2023-10-07T09:49:00Z,"CN=bvs.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",bvs.belastingdienst.nl,Belastingdienst,bvs.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,0f5889c7792c50f0f0cdff0354737941,b1ef9f5a27e26528e9683ceb6eb2c4f3fa78a89f597faefb6a9ae41c65f05e9d,ctls,bvs.belastingdienst.nl,443,https://bvs.belastingdienst.nl:443,https,text/html,GET,85.159.98.57,/,427051737,85.159.98.57,,477,False,,,,,,,
cciwebstats.belastingdienst.nl,Toegang geblokkeerd,200,30151,cciwebstats.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-14T13:41:04Z,2023-07-14T13:51:00Z,"CN=cciwebstats.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",cciwebstats.belastingdienst.nl,Belastingdienst,cciwebstats.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,9747044b76b06ff47c0dd2d358e422b2,d8bc2c4380df2dd5385ac881160fb9d75899f90f8b5f1d8d0de3573fc8c26062,ctls,cciwebstats.belastingdienst.nl,443,https://cciwebstats.belastingdienst.nl:443,https,text/html,GET,85.159.98.160,/,768141471,2a04:9a01:1002::160,,477,False,,,,,,,
centraalaanspreekpuntpensioenen.belastingdienst.nl,Home - Centraal Aanspreekpunt Pensioenen,200,89938,centraalaanspreekpuntpensioenen.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-21T12:44:15Z,2023-06-21T12:54:00Z,"CN=centraalaanspreekpuntpensioenen.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",centraalaanspreekpuntpensioenen.belastingdienst.nl,Belastingdienst,www.belastingdienstpensioensite.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,329b87f484341c01fbefe18a9886386d,c18a6d8e0c4a65c857eb00e456c581afc083e697ed00700ccb5e4910952bec7f,ctls,centraalaanspreekpuntpensioenen.belastingdienst.nl,443,https://centraalaanspreekpuntpensioenen.belastingdienst.nl:443,https,text/html,GET,85.159.98.44,/,-569487998,2a04:9a01:1002::44,Yoast SEO:20.7,718,False,,,,,,,
connectpeople.belastingdienst.nl,ConnectPeople Login,401,13438,connectpeople.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-07T07:24:29Z,2023-06-07T07:34:00Z,"CN=connectpeople.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",connectpeople.belastingdienst.nl,Belastingdienst,cpapps.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,de0ae53f6505a6db98bc1bcda79949f9,dde5e52e53c88093ff7cf09ea2671c9377d88c134d93431fb95dc8d879f61a5a,ctls,connectpeople.belastingdienst.nl,443,https://connectpeople.belastingdienst.nl:443,https,text/html,GET,85.159.98.157,/,1880561807,85.159.98.157,HSTS,282,False,,,,,,,
