input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_wildcard_certificate,final_url,tls_subject_org_
03a.proxy.brave.com,,404,9,03a.proxy.brave.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2024-04-12T23:59:59Z,CN=*.proxy.brave.com,*.proxy.brave.com,*.proxy.brave.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,992619a18c247722165a33539d9dbd43,3eadd33c7b5c552a3227482040de80826f85d04128c291cf47f04ae267547d91,ctls,03a.proxy.brave.com,cloudfront,443,https://03a.proxy.brave.com:443,https,nginx,text/plain,GET,18.66.112.126,/,-738705486,2600:9000:223f:8800:b:dfaf:7b40:93a1,Nginx,1,False,True,,True,,
07a.proxy.brave.com,,404,9,07a.proxy.brave.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2024-04-12T23:59:59Z,CN=*.proxy.brave.com,*.proxy.brave.com,*.proxy.brave.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,992619a18c247722165a33539d9dbd43,3eadd33c7b5c552a3227482040de80826f85d04128c291cf47f04ae267547d91,ctls,07a.proxy.brave.com,cloudfront,443,https://07a.proxy.brave.com:443,https,nginx,text/plain,GET,18.66.112.48,/,-738705486,2600:9000:223f:c800:b:dfaf:7b40:93a1,Nginx,1,False,True,,True,,
116bde-s4u.proxy.brave.com,,404,9,116bde-s4u.proxy.brave.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2024-04-12T23:59:59Z,CN=*.proxy.brave.com,*.proxy.brave.com,*.proxy.brave.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,992619a18c247722165a33539d9dbd43,3eadd33c7b5c552a3227482040de80826f85d04128c291cf47f04ae267547d91,ctls,116bde-s4u.proxy.brave.com,cloudfront,443,https://116bde-s4u.proxy.brave.com:443,https,nginx,text/plain,GET,18.66.112.15,/,-738705486,2600:9000:223f:400:b:dfaf:7b40:93a1,Nginx,1,False,True,,True,,
155-9-193-16.proxy.brave.com,,404,9,155-9-193-16.proxy.brave.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2024-04-12T23:59:59Z,CN=*.proxy.brave.com,*.proxy.brave.com,*.proxy.brave.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,992619a18c247722165a33539d9dbd43,3eadd33c7b5c552a3227482040de80826f85d04128c291cf47f04ae267547d91,ctls,155-9-193-16.proxy.brave.com,cloudfront,443,https://155-9-193-16.proxy.brave.com:443,https,nginx,text/plain,GET,18.66.112.82,/,-738705486,2600:9000:223f:400:b:dfaf:7b40:93a1,Nginx,1,False,True,,True,,
155-9-193-66.proxy.brave.com,,404,9,155-9-193-66.proxy.brave.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2024-04-12T23:59:59Z,CN=*.proxy.brave.com,*.proxy.brave.com,*.proxy.brave.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,992619a18c247722165a33539d9dbd43,3eadd33c7b5c552a3227482040de80826f85d04128c291cf47f04ae267547d91,ctls,155-9-193-66.proxy.brave.com,cloudfront,443,https://155-9-193-66.proxy.brave.com:443,https,nginx,text/plain,GET,18.66.112.15,/,-738705486,2600:9000:223f:4800:b:dfaf:7b40:93a1,Nginx,1,False,True,,True,,
155-9-214-60.proxy.brave.com,,404,9,155-9-214-60.proxy.brave.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2024-04-12T23:59:59Z,CN=*.proxy.brave.com,*.proxy.brave.com,*.proxy.brave.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,992619a18c247722165a33539d9dbd43,3eadd33c7b5c552a3227482040de80826f85d04128c291cf47f04ae267547d91,ctls,155-9-214-60.proxy.brave.com,cloudfront,443,https://155-9-214-60.proxy.brave.com:443,https,nginx,text/plain,GET,18.66.112.82,/,-738705486,2600:9000:223f:2400:b:dfaf:7b40:93a1,Nginx,1,False,True,,True,,
155-9-217-48.proxy.brave.com,,404,9,155-9-217-48.proxy.brave.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2024-04-12T23:59:59Z,CN=*.proxy.brave.com,*.proxy.brave.com,*.proxy.brave.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,992619a18c247722165a33539d9dbd43,3eadd33c7b5c552a3227482040de80826f85d04128c291cf47f04ae267547d91,ctls,155-9-217-48.proxy.brave.com,cloudfront,443,https://155-9-217-48.proxy.brave.com:443,https,nginx,text/plain,GET,18.66.112.126,/,-738705486,2600:9000:223f:1a00:b:dfaf:7b40:93a1,Nginx,1,False,True,,True,,
155-9-224-32.proxy.brave.com,,404,9,155-9-224-32.proxy.brave.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2024-04-12T23:59:59Z,CN=*.proxy.brave.com,*.proxy.brave.com,*.proxy.brave.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,992619a18c247722165a33539d9dbd43,3eadd33c7b5c552a3227482040de80826f85d04128c291cf47f04ae267547d91,ctls,155-9-224-32.proxy.brave.com,cloudfront,443,https://155-9-224-32.proxy.brave.com:443,https,nginx,text/plain,GET,18.66.112.48,/,-738705486,2600:9000:223f:600:b:dfaf:7b40:93a1,Nginx,1,False,True,,True,,
155-9-227-5.proxy.brave.com,,404,9,155-9-227-5.proxy.brave.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2024-04-12T23:59:59Z,CN=*.proxy.brave.com,*.proxy.brave.com,*.proxy.brave.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,992619a18c247722165a33539d9dbd43,3eadd33c7b5c552a3227482040de80826f85d04128c291cf47f04ae267547d91,ctls,155-9-227-5.proxy.brave.com,cloudfront,443,https://155-9-227-5.proxy.brave.com:443,https,nginx,text/plain,GET,18.66.112.15,/,-738705486,2600:9000:223f:6200:b:dfaf:7b40:93a1,Nginx,1,False,True,,True,,
155-9-241-33.proxy.brave.com,,404,9,155-9-241-33.proxy.brave.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2024-04-12T23:59:59Z,CN=*.proxy.brave.com,*.proxy.brave.com,*.proxy.brave.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,992619a18c247722165a33539d9dbd43,3eadd33c7b5c552a3227482040de80826f85d04128c291cf47f04ae267547d91,ctls,155-9-241-33.proxy.brave.com,cloudfront,443,https://155-9-241-33.proxy.brave.com:443,https,nginx,text/plain,GET,18.66.112.126,/,-738705486,2600:9000:223f:7600:b:dfaf:7b40:93a1,Nginx,1,False,True,,True,,
