input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_expired,tls_wildcard_certificate,tls_mismatched,tls_subject_org_,location
*.live.com,Outlook – free personal email and calendar from Microsoft,200,38068,outlook.live.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T00:00:00Z,2024-04-26T23:59:59Z,"CN=outlook.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",outlook.com,substrate-sdf.office.com,"CN=DigiCert Cloud Services CA-1, O=DigiCert Inc, C=US",DigiCert Cloud Services CA-1,DigiCert Inc,e7ba8d5579afa1d76dcbb9f73f071408,793e704de813bee811936d521e16ff50e1bebdbc00af89fdc8557b01b54f4ae7,ctls,outlook.live.com,,443,https://live.com:443,https,Microsoft-IIS/10.0,text/html,GET,204.79.197.212,/,-245612425,204.79.197.212,Windows Server,144,False,,,https://outlook.live.com/owa/,,True,True,Microsoft Corporation,
*.office.com,Login | Microsoft 365,200,214364,www.office.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-01T18:46:35Z,2024-04-25T18:46:35Z,"CN=portal.office.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",portal.office.com,m365.cloud.microsoft,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,7dffa61cf1fd20ef79fb921340582217,8570a14ff89e7d13a89579a501eaef1ae34c44a6dafee385f65835ca91856f49,ctls,www.office.com,,443,https://office.com:443,https,,text/html,GET,13.107.6.156,/,-1840324437,2620:1ec:a92::156,HSTS,2849,False,,,https://www.office.com/,,True,,Microsoft Corporation,
*.tiny.cloud,The Most Advanced WYSIWYG Editor | Trusted Rich Text Editor | TinyMCE,200,232687,www.tiny.cloud,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-15T00:00:00Z,2024-04-12T23:59:59Z,CN=*.tiny.cloud,*.tiny.cloud,tiny.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f468582b1a8d07d00b8e362d0ee1b7c1,0831c4f768ec5c03bb06b6a70afb009762529670925a1e7395ed946c44ba8e93,ctls,www.tiny.cloud,cloudfront,443,https://tiny.cloud:443,https,nginx/1.18.0,text/html,GET,18.66.122.121,/,-1221790809,2600:9000:2250:8400:3:f244:4dc0:93a1,webpack,26,False,True,,https://www.tiny.cloud/,,True,,,
*.tinymce.com,The Most Advanced WYSIWYG Editor | Trusted Rich Text Editor | TinyMCE,200,232687,www.tiny.cloud,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-15T00:00:00Z,2024-04-12T23:59:59Z,CN=*.tiny.cloud,*.tiny.cloud,tiny.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f468582b1a8d07d00b8e362d0ee1b7c1,0831c4f768ec5c03bb06b6a70afb009762529670925a1e7395ed946c44ba8e93,ctls,www.tiny.cloud,,443,https://tinymce.com:443,https,nginx/1.18.0,text/html,GET,44.210.174.75,/,-1785243101,18.204.87.99,webpack,26,False,,,https://www.tiny.cloud/,,True,,,
abc.clio.com,Clio | The Industry's #1 Legal Software | Try it for free!,200,131563,www.clio.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-02T00:00:00Z,2023-10-03T23:59:59Z,"CN=www.clio.com, O=Themis Solutions Inc., L=Burnaby, ST=British Columbia, C=CA",www.clio.com,www.goclio.eu,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,183ac14252711026f53a8eead2d0838c,54c40ce7ca730d7ed7703b481fae79f6e241901316e0fe038ea3aedea0ab74a1,ctls,www.clio.com,google,443,https://abc.clio.com:443,https,cloudflare,text/html,GET,35.247.60.15,/,-1840324437,35.247.60.15,WordPress,2464,False,True,https://kba.freestonelms.com,https://www.clio.com/,,,,Themis Solutions Inc.,
account.clio.com,Clio - Login,200,5826,account.clio.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-25T00:00:00Z,2024-02-23T23:59:59Z,CN=account.clio.com,account.clio.com,remi.goclio.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5216025bd0dd44895a1c35d355d52a61,832c6c5a063da741bb72ae39d0fb4de45f42dbdf7517eb4640591b2f786906d8,ctls,account.clio.com,,443,https://account.clio.com:443,https,,text/html,GET,13.248.162.38,/,-824232064,76.223.51.218,Ruby on Rails,112,False,,bat.bing.com,,,,,,
accounts.google.com,Sign in - Google Accounts,200,593102,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,ctls,accounts.google.com,,443,https://accounts.google.com:443,https,ESF,text/html,GET,142.250.185.141,/,708578229,2a00:1450:4001:812::200d,HTTP/3,46,False,,https:,https://accounts.google.com/v3/signin/identifier?dsh=S-15748309%3A1684254121867184&continue=https%3A%2F%2Faccounts.google.com%2F&followup=https%3A%2F%2Faccounts.google.com%2F&ifkv=Af_xneHpbW398T4XuYH4b_Gi78mo343qjY6mNkurHIiBl2YRf5RoYKnZkpYqjX7jAbW0PtaEeLbMxg&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin,,True,,,
ajax.aspnetcdn.com,Microsoft Ajax Content Delivery Network Assets | Microsoft Learn,200,203218,learn.microsoft.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-16T17:27:51Z,2024-04-10T17:27:51Z,"CN=learn.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",learn.microsoft.com,learn.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,aa4b430218d2a4efb4e4b997d8f25b12,47a9638aba50a5fded775dc120a0e504043f6a9ac2eafc341bf0672cd0b7ae75,ctls,learn.microsoft.com,,80,http://ajax.aspnetcdn.com:80,http,,text/html,GET,152.199.19.160,/,-20275242,152.199.19.160,HSTS,2225,False,,,https://learn.microsoft.com/en-us/aspnet/ajax/cdn/overview,,,,Microsoft Corporation,
api.segment.io,,404,,api.segment.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-02-10T23:59:59Z,CN=*.segment.io,*.segment.io,segment.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3fb1eb635b3daf3aa0089de7d39b7b99,71a21a5375123c800827ed5abfbfed0d8fa7f6f9ddd36da877c6d02599a87f59,ctls,api.segment.io,,443,https://api.segment.io:443,https,awselb/2.0,text/plain,GET,52.33.200.40,/,-1840324437,44.240.217.89,,1,False,,,,,True,,,
app.box.com,Box | Login,200,17157,account.box.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-05T00:00:00Z,2023-10-17T23:59:59Z,"CN=box.com, O=Box\, Inc., L=Redwood City, ST=California, C=US",box.com,*.mktg.box.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5f7ec1c43be3f3089ee372e629c31935,c9117cf490fe2575d3beaf2e9e9cc84b5c3853769c04073507d20207881a9c97,ctls,account.box.com,,443,https://app.box.com:443,https,,text/html,GET,74.112.186.144,/,1716476366,74.112.186.144,HTTP/3,293,False,,,https://account.box.com/login,,True,,"Box, Inc.",
