input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_self_signed,tls_mismatched,tls_wildcard_certificate,csp_domains_,final_url,tls_expired,location
0error.iot.schiphol.nl,404 Not Found,404,548,0error.iot.schiphol.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-25T14:54:57Z,2023-10-25T14:54:57Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,5664460476b7f38addcec7982e85d56b,d20e5214f11c36965c1f9c49e1975d3382b0909243835f3b1ceb1126c5ffb60e,ctls,0error.iot.schiphol.nl,,443,https://0error.iot.schiphol.nl:443,https,,text/html,GET,20.67.126.43,/,566218143,20.67.126.43,HSTS,14,False,,True,True,,,,,
155-9-183-29.iot.schiphol.nl,404 Not Found,404,548,155-9-183-29.iot.schiphol.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-25T14:54:57Z,2023-10-25T14:54:57Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,5664460476b7f38addcec7982e85d56b,d20e5214f11c36965c1f9c49e1975d3382b0909243835f3b1ceb1126c5ffb60e,ctls,155-9-183-29.iot.schiphol.nl,,443,https://155-9-183-29.iot.schiphol.nl:443,https,,text/html,GET,20.67.126.43,/,566218143,20.67.126.43,HSTS,14,False,,True,True,,,,,
155-9-185-20.iot.schiphol.nl,404 Not Found,404,146,155-9-185-20.iot.schiphol.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-25T14:54:57Z,2023-10-25T14:54:57Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,5664460476b7f38addcec7982e85d56b,d20e5214f11c36965c1f9c49e1975d3382b0909243835f3b1ceb1126c5ffb60e,ctls,155-9-185-20.iot.schiphol.nl,,443,https://155-9-185-20.iot.schiphol.nl:443,https,,text/html,GET,20.67.126.43,/,1494302000,20.67.126.43,HSTS,8,False,,True,True,,,,,
155-9-198-68.iot.schiphol.nl,404 Not Found,404,548,155-9-198-68.iot.schiphol.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-25T14:55:16Z,2023-10-25T14:55:16Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,f1a7ad627ac8e39eec6bccac71f02ec2,240cfbba0e5435d66834f68fe386ba2fa92a53253abba3a506a657cfb8aea41d,ctls,155-9-198-68.iot.schiphol.nl,,443,https://155-9-198-68.iot.schiphol.nl:443,https,,text/html,GET,20.67.126.43,/,566218143,20.67.126.43,HSTS,14,False,,True,True,,,,,
155-9-206-60.iot.schiphol.nl,404 Not Found,404,548,155-9-206-60.iot.schiphol.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-25T14:55:16Z,2023-10-25T14:55:16Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,f1a7ad627ac8e39eec6bccac71f02ec2,240cfbba0e5435d66834f68fe386ba2fa92a53253abba3a506a657cfb8aea41d,ctls,155-9-206-60.iot.schiphol.nl,,443,https://155-9-206-60.iot.schiphol.nl:443,https,,text/html,GET,20.67.126.43,/,566218143,20.67.126.43,HSTS,14,False,,True,True,,,,,
155-9-210-41.iot.schiphol.nl,404 Not Found,404,548,155-9-210-41.iot.schiphol.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-25T14:55:16Z,2023-10-25T14:55:16Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,f1a7ad627ac8e39eec6bccac71f02ec2,240cfbba0e5435d66834f68fe386ba2fa92a53253abba3a506a657cfb8aea41d,ctls,155-9-210-41.iot.schiphol.nl,,443,https://155-9-210-41.iot.schiphol.nl:443,https,,text/html,GET,20.67.126.43,/,566218143,20.67.126.43,HSTS,14,False,,True,True,,,,,
155-9-212-37.iot.schiphol.nl,404 Not Found,404,146,155-9-212-37.iot.schiphol.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-25T14:54:57Z,2023-10-25T14:54:57Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,5664460476b7f38addcec7982e85d56b,d20e5214f11c36965c1f9c49e1975d3382b0909243835f3b1ceb1126c5ffb60e,ctls,155-9-212-37.iot.schiphol.nl,,443,https://155-9-212-37.iot.schiphol.nl:443,https,,text/html,GET,20.67.126.43,/,1494302000,20.67.126.43,HSTS,8,False,,True,True,,,,,
155-9-243-55.iot.schiphol.nl,404 Not Found,404,146,155-9-243-55.iot.schiphol.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-25T14:55:16Z,2023-10-25T14:55:16Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,f1a7ad627ac8e39eec6bccac71f02ec2,240cfbba0e5435d66834f68fe386ba2fa92a53253abba3a506a657cfb8aea41d,ctls,155-9-243-55.iot.schiphol.nl,,443,https://155-9-243-55.iot.schiphol.nl:443,https,,text/html,GET,20.67.126.43,/,1494302000,20.67.126.43,HSTS,8,False,,True,True,,,,,
155-9-243-95.iot.schiphol.nl,404 Not Found,404,548,155-9-243-95.iot.schiphol.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-25T14:55:16Z,2023-10-25T14:55:16Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,f1a7ad627ac8e39eec6bccac71f02ec2,240cfbba0e5435d66834f68fe386ba2fa92a53253abba3a506a657cfb8aea41d,ctls,155-9-243-95.iot.schiphol.nl,,443,https://155-9-243-95.iot.schiphol.nl:443,https,,text/html,GET,20.67.126.43,/,566218143,20.67.126.43,HSTS,14,False,,True,True,,,,,
155-9-56-61.iot.schiphol.nl,404 Not Found,404,146,155-9-56-61.iot.schiphol.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-25T14:55:16Z,2023-10-25T14:55:16Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,f1a7ad627ac8e39eec6bccac71f02ec2,240cfbba0e5435d66834f68fe386ba2fa92a53253abba3a506a657cfb8aea41d,ctls,155-9-56-61.iot.schiphol.nl,,443,https://155-9-56-61.iot.schiphol.nl:443,https,,text/html,GET,20.67.126.43,/,1494302000,20.67.126.43,HSTS,8,False,,True,True,,,,,
