input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url,csp_domains_,tls_expired
advantagelearning.ivanti.com,Ivanti,200,64171,advantagelearning.ivanti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-02-29T23:59:59Z,"CN=advantagelearning.ivanti.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",advantagelearning.ivanti.com,"Cloudflare, Inc.",advantagelearning.ivanti.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",fe1e4fb8423364ab0ba17c57679bddd8,ca34b787670cdcc29d7ae4b81c97197ebe462bece06c978454769d9bb140de36,,ctls,advantagelearning.ivanti.com,cloudflare,443,https://advantagelearning.ivanti.com:443,https,cloudflare,text/html,GET,104.18.3.172,/,-1132923558,2606:4700::6812:3ac,HSTS,145,False,True,,,,
afeenroll.ivanti.com,HTTP Status 404 – Not Found,404,751,afeenroll.ivanti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-08T00:00:00Z,2023-09-08T23:59:59Z,"CN=afeenroll.ivanti.com, O=Ivanti\, Inc., ST=Utah, C=US",afeenroll.ivanti.com,"Ivanti, Inc.",afeenroll.ivanti.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,031c4f30d704c61bad012163dbf0d885,149b5fc4b965a179f1e9bd2d6bc9dc8dc6a96f0f026a144167a78da5cdc66974,,ctls,afeenroll.ivanti.com,azure,443,https://afeenroll.ivanti.com:443,https,,text/html,GET,13.92.62.233,/,-297069493,13.92.62.233,,1,False,True,,,,
ams.ivanti.com,Origin DNS error | ams.ivanti.com | Cloudflare,530,6194,ams.ivanti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-18T00:00:00Z,2024-03-17T23:59:59Z,"CN=*.ivanti.com, O=Ivanti\, Inc., ST=Utah, C=US",*.ivanti.com,"Ivanti, Inc.",ivanti.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,820d4f3e2b0fcc02413ea8405358ce58,d3b5a1e9df9a88f92f38b3b1ac3fd4ae2c880dd66cfc3a4ad8d06d8fcf4be2c1,True,ctls,ams.ivanti.com,cloudflare,443,https://ams.ivanti.com:443,https,cloudflare,text/html,GET,104.17.137.107,/,726504758,2606:4700::6811:896b,Cloudflare,93,False,True,,,,
androidenterprisemanagement-staging.ivanti.com,,404,,androidenterprisemanagement-staging.ivanti.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-07T00:00:00Z,2023-06-07T23:59:59Z,"CN=androidenterprisemanagement-staging.ivanti.com, OU=Information Technology, O=Ivanti\, Inc., ST=Utah, C=US",androidenterprisemanagement-staging.ivanti.com,"Ivanti, Inc.",androidenterprisemanagement-staging.ivanti.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,427a86fa855fb42d7e3b12af66e3aec5,94d237a085c0c745cc0ac8cfcbf6e65df8d1cb3fbd39b5f24483ad380c956fff,,ctls,androidenterprisemanagement-staging.ivanti.com,,443,https://androidenterprisemanagement-staging.ivanti.com:443,https,Kestrel,,GET,34.206.159.137,/,1772087922,3.220.14.55,Microsoft ASP.NET,1,False,,,,,
anglo.csa.ivanti.com,Ivanti(R) Cloud Services Appliance,200,1624,anglo.csa.ivanti.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,1970-01-01T00:00:00Z,2029-01-26T18:23:33Z,"CN=anglo.csa.ivanti.com, OU=Copyright (C) 2020\, Ivanti\, Inc., O=Copyright (C) 2020\, Ivanti\, Inc., L=South Jordan, ST=Utah, C=US, dnQualifier=20220128112333, dnQualifier=20220128112333",anglo.csa.ivanti.com,"Copyright (C) 2020, Ivanti, Inc.",192.168.122.1,"CN=Cloud Services Appliance, OU=Copyright (C) 2020\, Ivanti\, Inc., O=Ivanti\, Inc., L=South Jordan, ST=Utah, C=US, dnQualifier=20210917201118, dnQualifier=20210917201118",Cloud Services Appliance,"Ivanti, Inc.",a8b30fd62eb31ce2ce4834d331e8f4d1,0c19738e14d38f441dfacd4863abdf5e7c4d8f10ed119dc6ee6b4630b0df8fc5,,ctls,anglo.csa.ivanti.com,,443,https://anglo.csa.ivanti.com:443,https,,text/html,GET,52.62.208.53,/,-1703592683,52.62.208.53,,50,False,,,,,
apns-request-signing.ivanti.com,,403,23,apns-request-signing.ivanti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-23T00:00:00Z,2023-05-23T23:59:59Z,"CN=apns-request-signing.ivanti.com, OU=Information Technology, O=Ivanti\, Inc., ST=Utah, C=US",apns-request-signing.ivanti.com,"Ivanti, Inc.",apns-request-signing.ivanti.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,391a3945f83f396bb425fa503b555a9f,ac35785d6ae6dbd01c0a4189c4ff2e4f4d2ea9cfb5a07d5b27dac47f2bd3ffee,,ctls,apns-request-signing.ivanti.com,cloudfront,443,https://apns-request-signing.ivanti.com:443,https,,application/json,GET,13.32.99.9,/,968070783,13.32.99.49,Amazon Web Services,1,False,True,,,,
app-insider.ivanti.com,Login | Ivanti Insider,200,81967,app-insider.ivanti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-07-15T23:59:59Z,CN=*.jiveon.com,*.jiveon.com,,app-hub.jmfamily.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,fa79f7bbfc82438e77a3fc43de97cd83,57a6f6116eddf32ca6572eb242b98d07ef2bd1643668ceba5c033e55d77fc96f,True,ctls,app-insider.ivanti.com,cloudfront,443,https://app-insider.ivanti.com:443,https,,text/html,GET,13.32.99.35,/,1151272394,2600:9000:2251:4400:1d:871e:bec0:93a1,React,138,False,True,True,https://app-insider.ivanti.com/login.jspa?referer=%252F&hint=,,
app.info.ivanti.com,404 - Not found or no permission to access,404,1330,app.info.ivanti.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-24T00:00:00Z,2023-10-24T23:59:59Z,"CN=info.ivanti.com, O=Ivanti\, Inc., ST=Utah, C=US",info.ivanti.com,"Ivanti, Inc.",tracking.info.ivanti.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,d01c4d56865e1cd40208f0514377e1e2,8d485c0fb18d68bed5da65d7158eecae3839590e82bdf76cef5b5e7622a7a463,,ctls,app.info.ivanti.com,oracle,443,https://app.info.ivanti.com:443,https,,text/html,GET,140.86.220.9,/,-1270699277,140.86.220.9,Bootstrap,33,False,True,,,,
applicationdev.ivanti.com,,403,275,applicationdev.ivanti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=applicationdev.ivanti.com,applicationdev.ivanti.com,,applicationdev.ivanti.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,24d8d671fa1112eb82edc489ea325a41,492ec3a6c5e7186f85decd7e9adf19504c6cd06a84781a45af62818bfc2d12e6,,ctls,applicationdev.ivanti.com,cloudfront,443,https://applicationdev.ivanti.com:443,https,AmazonS3,application/xml,GET,18.66.147.113,/,-1334398981,2600:9000:225e:ea00:14:580e:7f00:93a1,Amazon Web Services,2,False,True,,,,
applicationqa.ivanti.com,,403,243,applicationqa.ivanti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-09-07T23:59:59Z,CN=applicationqa.ivanti.com,applicationqa.ivanti.com,,applicationqa.ivanti.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c14ea63a0e9ab496065f73db5d16508,7e06c26fe686b1227347b88e7690912aff53761d034a0fd1438315cc775164a4,,ctls,applicationqa.ivanti.com,cloudfront,443,https://applicationqa.ivanti.com:443,https,AmazonS3,application/xml,GET,18.66.147.75,/,1272839346,2600:9000:225e:7000:1d:12e3:28c0:93a1,Amazon Web Services,2,False,True,,,,
