input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tech_,csp_domains_,tls_wildcard_certificate,final_url,cdn_name,cdn,tls_expired
207-207-12-3.informatica.com,,200,170,207-207-12-3.informatica.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-01-05T00:00:00Z,2024-01-04T23:59:59Z,"CN=vpn.informatica.com, O=Informatica LLC, L=Redwood City, ST=California, C=US",vpn.informatica.com,Informatica LLC,mbgw.informatica.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,4ffe3418cc516defe85d3a7d6a7b401f,0f7c73cbc0001fde489641244958ae23b9d9525fdfbc3e63be2868f53cc8521a,ctls,207-207-12-3.informatica.com,443,https://207-207-12-3.informatica.com:443,https,,text/html,GET,207.207.12.3,/,593259606,207.207.12.3,4,False,HSTS,,,,,,
accounts-dev.informatica.com,Okta - Page Not Found,404,1692,accounts-dev.informatica.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-01-11T00:00:00Z,2024-02-07T23:59:59Z,"CN=*.kerberos.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.kerberos.okta.com,"Okta, Inc.",kerberos.okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8adacad9af11d484fe590b3cf82def9b,197ba533ab4982e1d67007193ced48de0d5ca5b7c381ae45f44270c2466f29a2,ctls,accounts-dev.informatica.com,443,https://accounts-dev.informatica.com:443,https,Apache,text/html,GET,35.71.190.245,/,2020198508,52.223.7.86,44,False,Apache,,True,,,,
accounts-sandbox.informatica.com,Okta - Page Not Found,404,1692,accounts-sandbox.informatica.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-01-11T00:00:00Z,2024-02-07T23:59:59Z,"CN=*.kerberos.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.kerberos.okta.com,"Okta, Inc.",kerberos.okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8adacad9af11d484fe590b3cf82def9b,197ba533ab4982e1d67007193ced48de0d5ca5b7c381ae45f44270c2466f29a2,ctls,accounts-sandbox.informatica.com,443,https://accounts-sandbox.informatica.com:443,https,Apache,text/html,GET,52.223.7.86,/,2020198508,35.71.190.245,44,False,Apache,,True,,,,
accounts-sit.informatica.com,403 Forbidden,403,362,accounts-sit.informatica.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2022-08-04T00:00:00Z,2023-08-12T23:59:59Z,"CN=wwwsit63.informatica.com, O=Informatica LLC, L=Redwood City, ST=California, C=US, serialNumber=3003382, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",wwwsit63.informatica.com,Informatica LLC,informaticaworld-sit.informatica.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,7588c3338768700f446912a2c4160e0c,9e594a2445a59dbc832169781a57968bce526fe6ef61e85854350a9c407b6d01,ctls,accounts-sit.informatica.com,443,https://accounts-sit.informatica.com:443,https,Apache,text/html,GET,198.202.141.82,/,1382981765,198.202.141.82,12,False,HSTS,edge.fullstory.com,,,,,
accounts-stage.informatica.com,Login,200,30444,accounts-stage.informatica.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-02-12T00:00:00Z,2024-02-14T23:59:59Z,"CN=www.informatica.com, O=Informatica LLC, L=Redwood City, ST=California, C=US",www.informatica.com,Informatica LLC,accounts-alpha.informatica.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7c228b750a0e2f6f8064187bfb5364e6,6e868b6126f06b865e67ad04eac84f99e282e19d427dfa6135ecd482fe51b48f,ctls,accounts-stage.informatica.com,443,https://accounts-stage.informatica.com:443,https,Apache,text/html,GET,104.102.23.14,/,-704488340,104.102.23.14,538,False,ZURB Foundation,players.brightcove.net,,,,,
accounts.informatica.com,Login,200,30314,accounts.informatica.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-02-12T00:00:00Z,2024-02-14T23:59:59Z,"CN=www.informatica.com, O=Informatica LLC, L=Redwood City, ST=California, C=US",www.informatica.com,Informatica LLC,accounts-alpha.informatica.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7c228b750a0e2f6f8064187bfb5364e6,6e868b6126f06b865e67ad04eac84f99e282e19d427dfa6135ecd482fe51b48f,ctls,accounts.informatica.com,443,https://accounts.informatica.com:443,https,Apache,text/html,GET,104.102.23.14,/,13789997,2a02:26f0:3500:894::aca,538,False,ZURB Foundation,bat.bing.com,,,,,
ae.informatica.com,IIS,200,687,ae.informatica.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,True,2022-11-27T00:00:00Z,2023-11-28T23:59:59Z,"CN=wwwmicrolb.informatica.com, O=Informatica LLC, L=Redwood City, ST=California, C=US",wwwmicrolb.informatica.com,Informatica LLC,careers.informatica.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b89a72bd6ebea757e62edb57f34a0e60,8f0d1343a3781d524ee2a971fb67d630c76842e54c7d5017539e127377f12b1a,ctls,ae.informatica.com,443,https://ae.informatica.com:443,https,Microsoft-IIS/10.0,text/html,GET,198.202.141.157,/,1631801191,198.202.141.157,32,False,Windows Server,www.google-analytics.com,,,,,
apauc1-apigw.dm1-apau.informaticacloud.com,,200,302,apauc1-apigw.dm1-apau.informaticacloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-24T12:59:56Z,2024-02-18T12:58:56Z,"C=US, ST=California, L=Redwood City, O=Informatica LLC, CN=apauc1-apim.dm1-apau.informaticacloud.com",apauc1-apim.dm1-apau.informaticacloud.com,Informatica LLC,apauc1-apigw.dm1-apau.informaticacloud.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,55861e5ed46156e1be176953c77b4af1,0f51813c44c426063c293e5ebc640d1e9531d1cb0c0b946316560c3d1cbf8330,ctls,apauc1-apigw.dm1-apau.informaticacloud.com,443,https://apauc1-apigw.dm1-apau.informaticacloud.com:443,https,,text/html,GET,20.70.14.113,/,-1655234758,20.70.14.113,1,False,,,,,,,
apauc1-apim.dm1-apau.informaticacloud.com,HTTP Status 404 – Not Found,404,431,apauc1-apim.dm1-apau.informaticacloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-24T12:59:56Z,2024-02-18T12:58:56Z,"C=US, ST=California, L=Redwood City, O=Informatica LLC, CN=apauc1-apim.dm1-apau.informaticacloud.com",apauc1-apim.dm1-apau.informaticacloud.com,Informatica LLC,apauc1-apigw.dm1-apau.informaticacloud.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,55861e5ed46156e1be176953c77b4af1,0f51813c44c426063c293e5ebc640d1e9531d1cb0c0b946316560c3d1cbf8330,ctls,apauc1-apim.dm1-apau.informaticacloud.com,443,https://apauc1-apim.dm1-apau.informaticacloud.com:443,https,apimgm,text/html,GET,20.70.12.34,/,-230353730,20.70.12.34,1,False,,,,,,,
apauc1-b2bgw.dm1-apau.informaticacloud.com,,200,126,apauc1-b2bgw.dm1-apau.informaticacloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-30T14:36:12Z,2024-02-24T14:35:12Z,"C=US, ST=California, L=Redwood City, O=Informatica LLC, CN=apauc1-ias.dm1-apau.informaticacloud.com",apauc1-ias.dm1-apau.informaticacloud.com,Informatica LLC,apauc1-b2bgw.dm1-apau.informaticacloud.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,23b1254f63784aa816ef42f1c7fbb7e2,4b2f9741a42345dc8e94562cf6fe3359a76b0c0bc5ff1b30a845e01496e562c7,ctls,apauc1-b2bgw.dm1-apau.informaticacloud.com,443,https://apauc1-b2bgw.dm1-apau.informaticacloud.com:443,https,unknown,text/html,GET,20.37.45.87,/,1788855989,20.37.45.87,8,False,,URL=/b2b-gw/login.jsp,,,azure,True,
