input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url
0-aws-okta-mfa-ack-beanosnts.ops.oasiscloud.io,404 Not Found,404,146,0-aws-okta-mfa-ack-beanosnts.ops.oasiscloud.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-03-09T00:00:00Z,2024-03-08T23:59:59Z,"CN=oasiscloud.io, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",oasiscloud.io,"Cloudflare, Inc.",*.ops.oasiscloud.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f4854c796f3f2b794f3728706b6a29ef,cd671c301fe64b4a257bbfed74248e5d5fabdf03cf8be8a93569f6499915bea9,True,ctls,0-aws-okta-mfa-ack-beanosnts.ops.oasiscloud.io,cloudflare,443,https://0-aws-okta-mfa-ack-beanosnts.ops.oasiscloud.io:443,https,cloudflare,text/html,GET,104.22.59.107,/,1494302000,2606:4700:10::ac43:24a5,HSTS,8,False,True,
001-zoa6iqvshcclrsbr.ops.oasiscloud.io,404 Not Found,404,146,001-zoa6iqvshcclrsbr.ops.oasiscloud.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-03-09T00:00:00Z,2024-03-08T23:59:59Z,"CN=oasiscloud.io, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",oasiscloud.io,"Cloudflare, Inc.",*.ops.oasiscloud.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f4854c796f3f2b794f3728706b6a29ef,cd671c301fe64b4a257bbfed74248e5d5fabdf03cf8be8a93569f6499915bea9,True,ctls,001-zoa6iqvshcclrsbr.ops.oasiscloud.io,cloudflare,443,https://001-zoa6iqvshcclrsbr.ops.oasiscloud.io:443,https,cloudflare,text/html,GET,104.22.58.107,/,1494302000,2606:4700:10::6816:3b6b,HSTS,8,False,True,
001-zobembgmfevs7tqg.ops.oasiscloud.io,404 Not Found,404,146,001-zobembgmfevs7tqg.ops.oasiscloud.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-03-09T00:00:00Z,2024-03-08T23:59:59Z,"CN=oasiscloud.io, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",oasiscloud.io,"Cloudflare, Inc.",*.ops.oasiscloud.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f4854c796f3f2b794f3728706b6a29ef,cd671c301fe64b4a257bbfed74248e5d5fabdf03cf8be8a93569f6499915bea9,True,ctls,001-zobembgmfevs7tqg.ops.oasiscloud.io,cloudflare,443,https://001-zobembgmfevs7tqg.ops.oasiscloud.io:443,https,cloudflare,text/html,GET,104.22.58.107,/,1494302000,2606:4700:10::6816:3b6b,HSTS,8,False,True,
017-46-3.ops.oasiscloud.io,404 Not Found,404,146,017-46-3.ops.oasiscloud.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-03-09T00:00:00Z,2024-03-08T23:59:59Z,"CN=oasiscloud.io, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",oasiscloud.io,"Cloudflare, Inc.",*.ops.oasiscloud.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f4854c796f3f2b794f3728706b6a29ef,cd671c301fe64b4a257bbfed74248e5d5fabdf03cf8be8a93569f6499915bea9,True,ctls,017-46-3.ops.oasiscloud.io,cloudflare,443,https://017-46-3.ops.oasiscloud.io:443,https,cloudflare,text/html,GET,172.67.36.165,/,1494302000,2606:4700:10::ac43:24a5,HSTS,8,False,True,
031-9-6-6.ops.oasiscloud.io,404 Not Found,404,146,031-9-6-6.ops.oasiscloud.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-03-09T00:00:00Z,2024-03-08T23:59:59Z,"CN=oasiscloud.io, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",oasiscloud.io,"Cloudflare, Inc.",*.ops.oasiscloud.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f4854c796f3f2b794f3728706b6a29ef,cd671c301fe64b4a257bbfed74248e5d5fabdf03cf8be8a93569f6499915bea9,True,ctls,031-9-6-6.ops.oasiscloud.io,cloudflare,443,https://031-9-6-6.ops.oasiscloud.io:443,https,cloudflare,text/html,GET,172.67.36.165,/,1494302000,2606:4700:10::6816:3a6b,HSTS,8,False,True,
035-4.ops.oasiscloud.io,404 Not Found,404,146,035-4.ops.oasiscloud.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-03-09T00:00:00Z,2024-03-08T23:59:59Z,"CN=oasiscloud.io, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",oasiscloud.io,"Cloudflare, Inc.",*.ops.oasiscloud.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f4854c796f3f2b794f3728706b6a29ef,cd671c301fe64b4a257bbfed74248e5d5fabdf03cf8be8a93569f6499915bea9,True,ctls,035-4.ops.oasiscloud.io,cloudflare,443,https://035-4.ops.oasiscloud.io:443,https,cloudflare,text/html,GET,172.67.36.165,/,1494302000,2606:4700:10::6816:3b6b,HSTS,8,False,True,
05-4-07.ops.oasiscloud.io,404 Not Found,404,146,05-4-07.ops.oasiscloud.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-03-09T00:00:00Z,2024-03-08T23:59:59Z,"CN=oasiscloud.io, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",oasiscloud.io,"Cloudflare, Inc.",*.ops.oasiscloud.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f4854c796f3f2b794f3728706b6a29ef,cd671c301fe64b4a257bbfed74248e5d5fabdf03cf8be8a93569f6499915bea9,True,ctls,05-4-07.ops.oasiscloud.io,cloudflare,443,https://05-4-07.ops.oasiscloud.io:443,https,cloudflare,text/html,GET,104.22.58.107,/,1494302000,2606:4700:10::6816:3a6b,HSTS,8,False,True,
054-8-93.ops.oasiscloud.io,404 Not Found,404,146,054-8-93.ops.oasiscloud.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-03-09T00:00:00Z,2024-03-08T23:59:59Z,"CN=oasiscloud.io, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",oasiscloud.io,"Cloudflare, Inc.",*.ops.oasiscloud.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f4854c796f3f2b794f3728706b6a29ef,cd671c301fe64b4a257bbfed74248e5d5fabdf03cf8be8a93569f6499915bea9,True,ctls,054-8-93.ops.oasiscloud.io,cloudflare,443,https://054-8-93.ops.oasiscloud.io:443,https,cloudflare,text/html,GET,104.22.58.107,/,1494302000,2606:4700:10::6816:3a6b,HSTS,8,False,True,
058-87.ops.oasiscloud.io,404 Not Found,404,146,058-87.ops.oasiscloud.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-03-09T00:00:00Z,2024-03-08T23:59:59Z,"CN=oasiscloud.io, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",oasiscloud.io,"Cloudflare, Inc.",*.ops.oasiscloud.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f4854c796f3f2b794f3728706b6a29ef,cd671c301fe64b4a257bbfed74248e5d5fabdf03cf8be8a93569f6499915bea9,True,ctls,058-87.ops.oasiscloud.io,cloudflare,443,https://058-87.ops.oasiscloud.io:443,https,cloudflare,text/html,GET,104.22.58.107,/,1494302000,2606:4700:10::6816:3a6b,HSTS,8,False,True,
06-0-0.ops.oasiscloud.io,404 Not Found,404,146,06-0-0.ops.oasiscloud.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-03-09T00:00:00Z,2024-03-08T23:59:59Z,"CN=oasiscloud.io, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",oasiscloud.io,"Cloudflare, Inc.",*.ops.oasiscloud.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f4854c796f3f2b794f3728706b6a29ef,cd671c301fe64b4a257bbfed74248e5d5fabdf03cf8be8a93569f6499915bea9,True,ctls,06-0-0.ops.oasiscloud.io,cloudflare,443,https://06-0-0.ops.oasiscloud.io:443,https,cloudflare,text/html,GET,104.22.58.107,/,1494302000,2606:4700:10::ac43:24a5,HSTS,8,False,True,
