input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_expired,tls_mismatched,csp_domains_,final_url
*.carriersignal.info,,200,,carriersignal.info,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,2021-12-29T11:28:47Z,2023-01-30T11:28:47Z,CN=*.carriersignal.info,*.carriersignal.info,carriersignal.info,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",c2801c89ee6ea554e00fbe0aa8783b4d,7e37b9bc5465e6a22d0cf6579bab37bfd897e801d8a61efd31f8793234b129b2,True,ctls,carriersignal.info,,443,https://carriersignal.info:443,https,,text/plain,GET,52.38.114.247,/,-1840324437,52.38.114.247,,1,False,,,True,,,
*.doubleclick.net,Enterprise Advertising & Analytics Solutions - Google Marketing Platform,200,128610,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,,443,https://doubleclick.net:443,https,sffe,text/html,GET,142.250.186.46,/,708578229,2a00:1450:4001:827::200e,HTTP/3,2179,False,,,,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/enterprise/
*.fb.com,Facebook - log in or sign up,200,13090,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-05-22T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,f5fc3bba0f418cbedab48be5c3dfa0f4,d36845d603545547aca7f4a9f22c3ec33109e282ffbe4840a143fc8c9e67a260,True,ctls,m.facebook.com,,443,https://fb.com:443,https,,application/vnd.wap.xhtml+xml,GET,157.240.252.35,/,142313513,2a03:2880:f177:83:face:b00c:0:25de,HTTP/3,2,False,,"Meta Platforms, Inc.",,,*.doubleclick.net,https://m.facebook.com/
*.fbcdn.net,Facebook - log in or sign up,200,61651,www.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-05-22T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,f5fc3bba0f418cbedab48be5c3dfa0f4,d36845d603545547aca7f4a9f22c3ec33109e282ffbe4840a143fc8c9e67a260,True,ctls,www.facebook.com,,443,https://fbcdn.net:443,https,,text/html,GET,157.240.253.35,/,-257318384,2a03:2880:f108:83:face:b00c:0:25de,HTTP/3,29,False,,"Meta Platforms, Inc.",,,connect.facebook.net,https://www.facebook.com/
*.giphy.com,GIPHY - Be Animated,200,16199,giphy.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-29T22:27:14Z,2023-12-31T22:27:13Z,CN=giphy.com,giphy.com,www.giphy.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,abbe03d402fc564a91d813d208efb573,0b90433de6d90a7b8075ee48e9735213c0c8b4dea1784dde46d53642ab4d595e,,ctls,giphy.com,fastly,443,https://giphy.com:443,https,nginx,text/html,GET,151.101.193.185,/,175346534,151.101.1.185,Varnish,308,False,True,,,,,
*.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,,443,https://google-analytics.com:443,https,sffe,text/html,GET,142.250.186.164,/,302920777,2a00:1450:4001:82b::2004,HTTP/3,1831,False,,,,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/analytics/
*.google.com,Google,200,256739,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,,443,https://google.com:443,https,gws,text/html,GET,142.250.185.142,/,708578229,2a00:1450:4001:806::200e,HTTP/3,571,False,,,,,https://csp.withgoogle.com/csp/gws/other-hp,https://www.google.com/
*.gstatic.com,Error 404 (Not Found)!!1,404,1561,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,True,ctls,www.gstatic.com,,443,https://gstatic.com:443,https,sffe,text/html,GET,142.250.184.227,/,302920777,2a00:1450:4001:831::2003,HTTP/3,12,False,,,,,,https://www.gstatic.com/
*.tenor.co,Tenor GIF Keyboard - Bring Personality To Your Conversations,200,343066,tenor.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-30T21:42:19Z,2023-10-01T21:42:18Z,CN=tenor.com,tenor.com,tenor.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,ebf3adac442f231c1ade3f75bb423513,189d051b0d0e65d460dc64df9f369504a30cd53383fc6f2e7d97382c1fe0e560,,ctls,tenor.com,fastly,443,https://tenor.co:443,https,,text/html,GET,151.101.66.217,/,-446793542,151.101.2.217,Varnish,4,False,True,,,,https://www.facebook.com/tr/,https://tenor.com/
*.whatsapp.net,WhatsApp,200,242615,www.whatsapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-05-22T23:59:59Z,"CN=*.whatsapp.net, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.whatsapp.net,whatsapp.net,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,20c9604ca322622d3a8d19b9c04e6d40,ebc16eaa6d8520118ad005a00d45ff6f145dcf3fcfb3acc2c3d376c31a080521,True,ctls,www.whatsapp.com,,443,https://whatsapp.net:443,https,,text/html,GET,157.240.251.60,/,1735289686,2a03:2880:f276:cd:face:b00c:0:167,HTTP/3,32,False,,"Meta Platforms, Inc.",,True,*.facebook.com,https://www.whatsapp.com/
